marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,51121444,R2XKMDXZHQ26YX,B000OE2OLU,771086291,The Mountain Kids 100% Cotton Three Wolf Moon T-Shirt,Apparel,5.0,41278.0,41889.0,N,N,2008-11-11
US,24996076,R16DWLI3AVB432,B000NZW3IY,601200592,THREE WOLF MOON SHIRT ADULT SIZE M,Apparel,5.0,11350.0,11728.0,N,N,2009-05-19
US,9286343,RYRFJTR97GGJV,B002HJ377A,601200592,The Mountain Three Wolf Moon Short Sleeve Tee,Apparel,5.0,11219.0,11555.0,N,N,2013-04-24
US,36339023,R29Z83O4AK10UD,B000NZW3IY,601200592,THREE WOLF MOON SHIRT ADULT SIZE M,Apparel,5.0,6894.0,7615.0,N,N,2009-05-28
US,51333190,R362YS2CMYQ6RY,B0053O1KHA,610535855,Delicious PhD Darling Costume,Apparel,1.0,5341.0,5402.0,N,N,2014-10-31
US,9286343,R3GEVU71UGGQH8,B004VMQPFM,120656078,F500 American Flag Pants by Best Form,Apparel,5.0,5143.0,5228.0,N,N,2013-07-03
US,51780647,R14602SPZDSUBZ,B0053O1KHA,610535855,Delicious PhD Darling Costume,Apparel,1.0,5026.0,5219.0,N,N,2014-10-29
US,19225059,R29FR2W7TZGT9,B0053O1KHA,610535855,Delicious PhD Darling Costume,Apparel,1.0,4531.0,4610.0,N,N,2014-10-31
US,50890136,R392IQWODFIWS2,B0053O1QT2,610535855,Delicious PhD Darling Costume,Apparel,5.0,3972.0,4019.0,N,N,2014-11-01
US,9286343,R1REGDH4BYFLWW,B0077RT3ZM,440626467,Green Eyes Face T-Shirt,Apparel,5.0,3846.0,3882.0,N,N,2013-08-04
US,36318084,R3603YAPIE17OL,B000NZW3IY,601200592,THREE WOLF MOON SHIRT ADULT SIZE M,Apparel,5.0,3364.0,3723.0,N,N,2009-05-06
US,35847139,R20WGACW4D8NYV,B00RT1KB98,572383698,Voglee Lady Padded Bra Tops Bustier Cutout Vest Crop Top Bralette Tank Blouse,Apparel,1.0,3675.0,3714.0,N,N,2015-04-11
US,12903793,R3CFHYZ1M3Z9WP,B0053O1KHA,610535855,Delicious PhD Darling Costume,Apparel,1.0,3591.0,3711.0,N,N,2014-10-30
US,29969481,RGXE8R6OVTCPE,B00K0XOR3I,203794502,Men's USA Flag Tank Top America Stars & Stripes,Apparel,5.0,3024.0,3090.0,N,Y,2014-10-11
US,17096769,R1R2UTMYER1PDK,B0053O1QT2,610535855,Delicious PhD Darling Costume,Apparel,1.0,2938.0,3014.0,N,N,2014-11-01
US,47932542,R19DPOIA5DSI28,B001M0MN16,216301362,ExOfficio Men's Give-N-Go Boxer Brief,Apparel,5.0,2507.0,2630.0,N,Y,2013-05-09
US,52978663,R3SUI8RAVA6NFY,B000NZW3IY,601200592,THREE WOLF MOON SHIRT ADULT SIZE M,Apparel,1.0,2332.0,2590.0,N,N,2009-05-08
US,12063660,R1NAVIYXOXR0Z8,B000NZW3IY,601200592,THREE WOLF MOON SHIRT ADULT SIZE M,Apparel,5.0,2277.0,2424.0,N,N,2009-05-19
US,29890284,R38FLD33IRBWWG,B003AU5VZQ,145323900,MJ Soffe Men's Running Short,Apparel,5.0,2165.0,2261.0,N,Y,2012-12-11
US,39060474,R3EFRA1GOS8J93,B000NZW3IY,601200592,THREE WOLF MOON SHIRT ADULT SIZE M,Apparel,5.0,1960.0,2144.0,N,N,2009-05-05
US,16333572,R3S4IBAPCARJ43,B000NZW3IY,601200592,THREE WOLF MOON SHIRT ADULT SIZE M,Apparel,5.0,1922.0,2118.0,N,N,2009-05-21
US,50853780,RTQ03OL3QQRAO,B0053O1KHA,610535855,Delicious PhD Darling Costume,Apparel,1.0,1862.0,1947.0,N,N,2014-10-30
US,22105609,R1B4JESOEVV15U,B00180G8U2,50680368,i play. Baby & Toddler Snap Reusable Absorbent Swim Diaper,Apparel,5.0,1902.0,1919.0,N,Y,2010-02-24
US,48798112,R177L1WR93N9VO,B000NZW3IY,601200592,THREE WOLF MOON SHIRT ADULT SIZE M,Apparel,5.0,1652.0,1830.0,N,N,2009-05-19
US,49669241,R16BPONW8YB5NX,B0053O1KHA,610535855,Delicious PhD Darling Costume,Apparel,1.0,1704.0,1756.0,N,N,2014-10-31
US,11179759,R35TDBT0WXVI9B,B0020MMDZQ,792933508,Squeem 'Perfect Waist' Contouring Cincher,Apparel,5.0,1051.0,1687.0,N,N,2014-01-19
US,13901457,R2LX7UFJAGVUPS,B00WW8D2HG,640132942,ACEVOG Vintage 1950's Floral Spring Garden Party Picnic Dress Party Cocktail Dress,Apparel,5.0,1655.0,1679.0,N,Y,2015-06-21
