marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,9286343,R3PG4OX6C5KVN4,B000IZGIA8,72888427,Wheelmate Laptop Steering Wheel Desk,Automotive,5,26132.0,26382.0,N,N,2013-04-17
US,43717867,R3PZKG3BYWHO24,B000IZGIA8,72888427,Wheelmate Laptop Steering Wheel Desk,Automotive,5,9214.0,9394.0,N,N,2009-11-19
US,52708172,R3HESUQA4KOLP5,B000IZGIA8,72888427,Wheelmate Laptop Steering Wheel Desk,Automotive,4,6354.0,6821.0,N,N,2009-11-04
US,12218781,R1BZLL6EWQKQS9,B000IZGIA8,72888427,Wheelmate Laptop Steering Wheel Desk,Automotive,5,5852.0,6297.0,N,N,2009-10-26
US,52931564,R3KQKPEQ8IDBH5,B000IZGIA8,72888427,Wheelmate Laptop Steering Wheel Desk,Automotive,3,2628.0,2799.0,N,N,2009-11-22
US,32570050,R27ZC3LRM44115,B000IZGIA8,72888427,Wheelmate Laptop Steering Wheel Desk,Automotive,5,2086.0,2192.0,N,N,2010-07-30
US,52813884,R1XDY12DCUWG5K,B003IS3HV0,248496122,"Leather Honey Leather Conditioner, Best Leather Conditioner Since 1968. For Use on Leather Apparel, Furniture, Auto Interiors, Shoes, Bags and Accessories. Non-Toxic and Made in the USA!",Automotive,5,1967.0,2001.0,N,N,2011-11-14
US,13013926,R20QBM77MLFURS,B000IZGIA8,72888427,Wheelmate Laptop Steering Wheel Desk,Automotive,5,1875.0,1988.0,N,N,2009-05-07
US,13781185,R1PSSJZWPDHNP9,B000CIADLG,687098676,Sunforce 50048 60W Solar Charging Kit,Automotive,1,1937.0,1982.0,N,N,2010-05-10
US,38351505,R17WQUTKMLF22,B000HZFDOG,70772078,"Security Chain Company SZ115 Super Z6 Cable Chain for Passenger Cars, Pickups, and SUVs - Set of 2",Automotive,5,1658.0,1672.0,N,Y,2010-01-19
US,28205811,R2NVJE6X782YIA,B009PMO208,316969589,Wipe New,Automotive,4,1499.0,1619.0,N,Y,2013-01-27
US,13925883,R3KYT5OV87AWM,B006EGAIII,272470998,"RhinoGear 11909 RhinoRamps Vehicle Ramps (Pair, 12,000lb. GVW Capacity)",Automotive,1,1453.0,1602.0,N,N,2015-04-03
US,52405469,RGPRDW6DCVCV4,B000IZGIA8,72888427,Wheelmate Laptop Steering Wheel Desk,Automotive,3,1366.0,1525.0,N,N,2009-10-28
US,52145175,R3FNIYJQVZD0OK,B000IZGIA8,72888427,Wheelmate Laptop Steering Wheel Desk,Automotive,5,1378.0,1471.0,N,N,2009-11-04
US,44035320,R33SLBL235UFXL,B005ASY23I,78564749,Viair Portable Air Compressor and Digital Tire Pressure Gauge Bundle,Automotive,5,1223.0,1246.0,N,Y,2012-09-07
US,25953131,R3TCMN233IVOYR,B001LHVOVK,530284951,Autel MaxiScan MS300 CAN Diagnostic Scan Tool for OBDII Vehicles,Automotive,4,1078.0,1144.0,N,Y,2009-05-18
US,34876406,R2WELLAJ86RPG0,B00080QHMM,133025572,Accutire MS-4021B Digital Tire Pressure Gauge,Automotive,5,1085.0,1137.0,N,N,2006-03-11
US,50738297,R2GE0NFBFSMAE4,B000EJS9IM,604795416,BLACK+DECKER VEC026BD Electromate 400 Jump-Starter with Built-In Air Compressor,Automotive,4,1071.0,1096.0,N,N,2008-04-14
US,39069479,R2AYUOEIRC6VIL,B005NLQAHS,20279914,BAFX Products 34t5 Bluetooth OBDII Scan Tool for Android Devices,Automotive,5,992.0,1068.0,N,Y,2012-11-04
US,36365762,R1LYXGJQEUZE5P,B000CIADLG,687098676,Sunforce 50048 60W Solar Charging Kit,Automotive,4,1017.0,1057.0,N,Y,2008-01-21
US,40676556,R3AKQ18N28ZF1D,B00030DLEE,335476141,RoadPro 12-Volt Portable Stove Kit,Automotive,5,998.0,1015.0,N,N,2011-01-13
US,20081419,R15FRNW169RKXW,B00AYXM4DY,316969589,Wipe New Trim Restorer,Automotive,1,930.0,1009.0,N,N,2013-06-09
US,52436380,R2K9K2SH2SV7OP,B000CITK8S,545209301,Battery Tender Jr. Battery Charger,Automotive,5,964.0,1003.0,N,Y,2009-09-21
US,13668388,ROPPCISYGRTFJ,B00NFSNAS8,860932793,Kensun Air Compressor,Automotive,1,934.0,969.0,N,Y,2015-07-06
US,10917310,ROMBPQM9PLG7T,B002X6VXL4,634398197,Stanley Battery Maintainer 2,Automotive,3,879.0,960.0,N,N,2010-02-22
US,40958921,R3CHUNHQMJZZT6,B000JFJLP6,848813794,Jump-N-Carry,Automotive,1,823.0,896.0,N,Y,2014-01-29
US,51939334,R25B04LR4M67E9,B00FDQPCR2,981681791,Sunforce 82080 80-LED Solar Motion Light,Automotive,4,857.0,882.0,N,Y,2014-11-11
US,52439492,R2P8RVPPI9KN5Z,B000H6P55W,944528161,Keeper 07203 Waterproof Roof Top Cargo Bag (15 Cubic Feet),Automotive,4,826.0,855.0,N,N,2008-11-15
US,17053339,R18H5FU1T85MS,B0052SF0LO,46294478,Sunforce 82156 60-LED Solar Motion Light,Automotive,1,788.0,828.0,N,Y,2013-09-27
US,52849823,R1CQLKT48L7B1I,B000BQSIWK,130525411,Schumacher SC-1200A-CA SpeedCharge 12Amp 6/12V Fully Automatic Battery Charger,Automotive,5,809.0,822.0,N,Y,2013-04-23
US,11944410,R3V9K1RDLN0QKN,B000CITK8S,545209301,Battery Tender Jr. Battery Charger,Automotive,1,744.0,810.0,N,Y,2011-10-20
US,19002615,R1LTOSNXJKHEFJ,B000IZGIA8,72888427,Wheelmate Laptop Steering Wheel Desk,Automotive,5,736.0,806.0,N,N,2009-11-11
US,42512473,RXGRI95KCH8B1,B0012WHBSO,782758550,Viair 00073 70P Heavy Duty Portable Compressor,Automotive,5,786.0,802.0,N,N,2008-04-11
US,37149974,R2QUG6H9PCZRJU,B000SL4AA2,602330649,AAA Air Compressor,Automotive,4,777.0,793.0,N,N,2011-07-26
US,50785492,R1JAPZEAB92OMS,B001AIZ5HY,506117024,3M 39008 Headlight Lens Restoration System,Automotive,5,776.0,791.0,N,Y,2012-02-22
US,52813884,R3O9WKZ56OPWXC,B001CS8G3C,98180222,Bickmore Bick 4 Leather Conditioner - Best Since 1882 - Cleaner & Conditioner - Restore Polish & Protect All Smooth Finished Leathers,Automotive,5,780.0,790.0,N,Y,2011-11-14
US,37259585,RIQITVMV1553G,B002ZBWKAU,805031581,Slime 40022 12-Volt Digital Tire Inflator,Automotive,4,732.0,766.0,N,Y,2011-11-05
US,35411112,R2G9HZUM11ACE6,B000M5Y720,471174209,"Sylvania 9003/HB2/H4 SU SilverStar Ultra Halogen Headlight Bulb (Low/High Beam), (Pack of 2)",Automotive,1,668.0,750.0,N,N,2008-08-29
US,19014915,R13AGU9URFJ9AT,B00VNBDWPK,790984844,"OPT7 Fluxbeam LED Headlight Kit - All Bulb Sizes - 60w 7,000Lms 6K Cool White CREE - 2 Yr Warranty",Automotive,5,685.0,750.0,N,Y,2015-04-22
US,36570703,R23DX7KR0AXCT2,B000IZGIA8,72888427,Wheelmate Laptop Steering Wheel Desk,Automotive,1,637.0,713.0,N,N,2009-11-17
