marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,49731108,R1SYIVJAAO64D6,B00171WXII,250517482,FridaBaby NoseFrida The SnotSucker Nasal Aspirator,Baby,5,5245.0,5471.0,N,Y,2010-12-03
US,20956632,R4C1HKI1LDFYA,B00BLBLR1I,186458204,"Spectra Baby USA S2 Double/Single Breast Pump, 3.3 Pound",Baby,5,2777.0,2803.0,N,N,2015-05-12
US,52225443,R3FLGAIB11MCAK,B00B3G8UGQ,779187553,CTA Digital 2-in-1 iPotty with Activity Seat for iPad,Baby,3,2482.0,2739.0,N,N,2013-03-13
US,32702859,R2VC74WN54ZU7A,B0011URFRE,800046243,Graco Nautilus 3-in-1 Car Seat,Baby,4,2621.0,2738.0,N,N,2009-05-20
US,44138227,R3B5DVPWH12GAG,B005MQRAAK,721637198,"Diono Radian RXT All-In-One Convertible Car Seat, Shadow",Baby,5,2123.0,2183.0,N,N,2013-11-29
US,47341987,R1ELFB8E08WF4U,B004GEC8LU,917704022,"Graco Highback TurboBooster Car Seat, Spitfire",Baby,4,2016.0,2166.0,N,N,2013-01-10
US,47341987,R3KMK5RWXY422Y,B007UYBOJU,496254323,Graco Backless TurboBooster Car Seat,Baby,5,2008.0,2115.0,N,N,2013-01-17
US,37725294,R2LBTZOH29KP8E,B00B3G8UGQ,779187553,CTA Digital 2-in-1 iPotty with Activity Seat for iPad,Baby,2,1923.0,1978.0,N,N,2013-12-04
US,22481023,R2BD07MZG8KEBZ,B003AJXY1A,533404581,Thirsties Snap Duo Wrap,Baby,5,1889.0,1901.0,N,Y,2013-05-19
US,44183128,RY4ZH927N5C4J,B00E8KJYNC,484465527,Baby Brezza Formula Pro One Step Food Maker,Baby,5,1824.0,1873.0,N,N,2014-12-06
US,23592193,R1M6G8T9SFRYCQ,B00B3G8UGQ,779187553,CTA Digital 2-in-1 iPotty with Activity Seat for iPad,Baby,4,1714.0,1864.0,N,N,2013-11-30
US,30887035,R34FW0UWRWQG9H,B00016BPA2,950375707,Pump In Style Advanced Breastpump,Baby,3,1811.0,1820.0,N,N,2004-09-28
US,50299028,R5I5PIC436TAZ,B000IDSLOG,574807396,Vulli Sophie la Girafe,Baby,5,1701.0,1753.0,N,N,2009-06-04
US,27191045,R130WZMDSVEGRJ,B000OS8BP4,250517482,Nosefrida Nasal Aspirator,Baby,5,1680.0,1752.0,N,N,2007-12-10
US,52292893,R18NL3WA7Z1RFW,B00ECHYTBI,378012592,Infant Optics DXR-8 Video Baby Monitor with Interchangeable Optical Lens,Baby,5,1550.0,1631.0,N,Y,2015-03-18
US,35547524,RWOIDD8ND3JOX,B005MQRAAK,721637198,"Diono Radian RXT All-In-One Convertible Car Seat, Shadow",Baby,5,1588.0,1608.0,N,Y,2014-07-17
US,52403783,R3H93U55IRPTZ4,B0012OV1O2,827224227,My Brest Friend Original Pillow,Baby,5,1570.0,1599.0,N,Y,2015-04-05
US,25433773,RCYJV6MJECVJ3,B00P7TQ0ZS,780443102,"Baby Pocket Cloth Diapers Reusable with Adjustable Snaps, 6 pcs + 6 Inserts combined",Baby,5,1576.0,1593.0,N,Y,2015-06-27
US,13723553,R19I80SMENX9O7,B00171WXII,250517482,FridaBaby NoseFrida The SnotSucker Nasal Aspirator,Baby,5,1506.0,1587.0,N,N,2014-01-29
US,47513535,R2XYO55CMSZ245,B005PK1G76,630106451,Aottop Strollers & Accessories,Baby,5,1537.0,1542.0,N,N,2012-04-09
US,25038545,RWCJQJ8GTDCH3,B00003TL7P,197400029,Baby Trend Diaper Champ (Discontinued by Manufacturer),Baby,5,1500.0,1539.0,N,N,2004-03-19
US,2062356,R1Y2HL4HNDEAFR,B00ECHYTBI,378012592,Infant Optics DXR-8 Video Baby Monitor with Interchangeable Optical Lens,Baby,5,1410.0,1515.0,N,Y,2014-04-11
US,19973027,R31POG90R1ZO82,B000O3GCFU,109968006,THERMOS FOOGO Vacuum Insulated Stainless Steel 10-Ounce Food Jar,Baby,5,1441.0,1493.0,N,Y,2011-01-16
US,16527507,RW9TNUINXCTWJ,B0006HBS1M,941086150,Medela Harmony Manual Breast Pump,Baby,5,1443.0,1488.0,N,N,2005-04-14
US,30957213,R30CISZ23Y6HCK,B0009OLSZ8,889114228,BABYBJORN Potty Chair,Baby,5,1467.0,1479.0,N,N,2005-07-25
US,48362612,R1R4U9Y6ABRTT,B006SFUEF2,449090600,"Munchkin Nursery Projector and Sound System, White",Baby,5,1410.0,1431.0,N,N,2012-07-21
US,17555338,RX6O0B6ATTYWI,B000JHN3AS,336487545,Traveling Toddler Car Seat Travel Accessory,Baby,1,1366.0,1429.0,N,N,2010-11-28
US,38414281,R3VOWIJMF18WVA,B0010PW3A4,173395679,Ergobaby Original Baby Carrier,Baby,4,1406.0,1423.0,N,Y,2009-09-25
US,51197013,R31IVH986RZ0C3,B0013O9RX8,72258726,Medela Freestyle Breast Pump [Model - 67060],Baby,3,1349.0,1391.0,N,N,2011-12-02
US,33338284,R27659DNXKI0V6,B00081MLRG,985518895,Ameda Purely Yours Breast Pump with Carry-All,Baby,5,1366.0,1385.0,N,N,2005-12-18
US,12022658,R1BWB48KFNIIZ1,B0042D69WY,325381537,"Fisher-Price Cradle 'N Swing, My Little Snugabunny (Discontinued by Manufacturer)",Baby,5,1284.0,1321.0,N,Y,2012-12-28
US,51014396,R12KBJRTA7UEAU,B006YBHE6M,362994028,Baby Einstein Sea Dreams Soother,Baby,3,1279.0,1303.0,N,N,2012-11-07
US,26651738,R2SHX3Y11YJRWV,B00AJSIVWW,84369894,Evenflo Amp High Back Booster Car Seat,Baby,5,1243.0,1273.0,N,Y,2014-03-03
US,43666151,R3VDIJ4LSGBBSE,B000GWWA96,158317089,Prince Lionheart Wheely Bug,Baby,5,1219.0,1266.0,N,Y,2008-02-13
US,50783406,R4IZ53R60IQTR,B0013O9RX8,72258726,Medela Freestyle Breast Pump [Model - 67060],Baby,1,1183.0,1258.0,N,N,2011-09-02
US,9936042,RUFCWESH1M3K6,B0034G5UZW,840400455,Carter's Bound Keepsake Memory Book of Baby's First 5 Years,Baby,4,1242.0,1247.0,N,Y,2010-07-06
US,29287167,R2W3IN1J0RV8HD,B0091E31KM,920026182,HoMedics SoundSpa Portable Sound Machine color-Green/White,Baby,5,1215.0,1235.0,N,Y,2013-12-05
US,38819082,R23HN5LBESO0YL,B00B3G8UGQ,779187553,CTA Digital 2-in-1 iPotty with Activity Seat for iPad,Baby,5,1155.0,1231.0,N,N,2014-01-13
US,50983722,R13TAIR6JMUDJL,B0011URFRE,800046243,Graco Nautilus 3-in-1 Car Seat,Baby,4,1163.0,1216.0,N,Y,2013-03-26
