marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,14425763,R2WXS4OG6MTBUN,B00383I8T6,660093984,Radiancy No!no! 8800 Series Hair Removal Device - Pink,Beauty,1,13362.0,13636.0,N,N,2011-02-19
US,18267561,R7U56MY458IO9,B0029OSN4U,849808786,Tria® Laser Hair Removal System - Gen 3 Previous Model (Discontinued),Beauty,4,10265.0,10374.0,N,Y,2010-04-06
US,43552412,R2H7SCLBX4FGXJ,B000NL0T1G,585793391,"Merkur Futur MK 23C Long-Handled Traditional Double Edge Safety Razor - Excellent Comfort, Control, and Design - 4.2 Inches, Chrome Finish",Beauty,4,6245.0,6382.0,N,Y,2008-03-12
US,51918881,R2LI72CVT761C9,B00756HQNQ,859510699,Microplane Colossal Pedicure Rasp Foot File,Beauty,5,5789.0,5895.0,N,Y,2013-09-09
US,17538553,R2B9YUBVVDZQ7P,B00461F4PA,608719013,"Baby Foot Exfoliant Foot Peel, Lavender Scented, 2.4 Fl. Oz.",Beauty,5,5693.0,5844.0,N,N,2013-01-27
US,25976532,R3AEMZ1NMNAGA2,B0018A32XS,512234015,"Panasonic ES2207P Ladies Electric Shaver, 3-Blade Cordless Women’s Electric Razor with Pop-Up Trimmer, Use Wet or Dry",Beauty,5,4786.0,4888.0,N,Y,2012-02-02
US,39370217,R1JQ4IMFLNR40,B00383I8T6,660093984,Radiancy No!no! 8800 Series Hair Removal Device - Pink,Beauty,5,3994.0,4365.0,N,N,2010-05-09
US,13035394,R2AW92C3VGO9U,B007VDUKT0,219913121,Nerium Age Defying Treatment 30ml (1bottle),Beauty,1,3864.0,4266.0,N,N,2012-08-24
US,10423276,R58XKR9WDXV5X,B00EOXX5YM,11336647,Tan Physics True Color Sunless Tanner 8 fl oz,Beauty,1,3916.0,4068.0,N,Y,2014-03-02
US,51714163,RYGFW7WFPOH8G,B00PYK2UI6,332807086,Essential Skin Solutions - Face and Body Brush Cleansing System - Exfoliating Facial Brush Microdermabrasion Pore Minimizer to Clean Skin + Help Get Rid of Acne - Dark Spots - and Blackheads,Beauty,1,3809.0,4007.0,N,Y,2015-05-14
US,24531356,R3UM7PK8WT0DH1,B0046VGPHQ,918979097,"Fake Bake Flawless, 6-Ounce",Beauty,5,3681.0,3789.0,N,Y,2012-07-10
US,52643790,R3F9G1IIEZW2Z5,B003YJAZZ4,160492640,Braun,Beauty,5,3622.0,3722.0,N,N,2010-12-30
US,11187582,R3N1RNUHEADN19,B0014P8L9W,124566986,Aztec Secret Indian Healing Clay Deep Pore Cleansing,Beauty,5,3301.0,3644.0,N,Y,2015-02-24
US,36822080,R3BD1VR4FNI5W2,B005EM6N2I,31583021,Keranique Hair Regrowth Treatment,Beauty,1,3487.0,3600.0,N,N,2011-12-28
US,46636994,R3KH8BMPJS0OVP,B0037HP9OA,803210120,Philips Norelco Bodygroom Series,Beauty,5,3354.0,3504.0,N,N,2011-01-10
US,38365762,RHONKCIB2ITD2,B002LBK5QU,529543874,"No!no! Hair Removal Unit, Pink",Beauty,1,3355.0,3438.0,N,N,2010-08-27
US,33985722,R18K27H2Y265YJ,B008LDFU26,219913121,Nerium Ad - Age Defying Night Cream (30ml) One Bottle,Beauty,1,2999.0,3198.0,N,N,2014-12-22
US,10623741,RIDVWLE45YW7I,B00064JGBO,984675869,"DR TUNG'S PRODUCTS THRUG0001-X3 Stainless Steel Tongue Cleaner, 3 Count",Beauty,5,3091.0,3174.0,N,Y,2011-07-06
US,21275448,RRTX7BTXDGJI2,B002LBK5QU,529543874,"No!no! Hair Removal Unit, Pink",Beauty,1,3035.0,3166.0,N,N,2010-08-16
US,45006336,R2SGJFTFF07ZK1,B007VDUKT0,219913121,Nerium Age Defying Treatment 30ml (1bottle),Beauty,3,2871.0,3159.0,N,N,2013-03-09
US,11422399,R2QE1D2IUXBESL,B002CVTVVY,475096748,Philips Sonicare HX6972 FlexCare Plus Rechargeable Electric Toothbrush,Beauty,5,3096.0,3129.0,N,N,2009-11-17
US,16020943,R2QCKJU4VHYP9V,B000ICRDSW,442244000,Dermawand Retail Kit with Preface - LOOK YEARS YOUNGER,Beauty,5,2946.0,3089.0,N,N,2008-02-15
US,40824941,R25FJRFVGG7KTD,B00DPE9EQO,512373020,OZNaturals- Vitamin C Serum For Your Face (Packaging May Vary),Beauty,5,2919.0,3038.0,N,Y,2014-05-27
US,38317020,RYED7G0DA84JR,B0011XWPNK,64772603,LifeCell All In One Anti-Aging Treatment 2.54 oz,Beauty,1,2936.0,3006.0,N,N,2008-05-06
US,42547202,R25QYMFNK7B4P2,B0014P8L9W,124566986,Aztec Secret Indian Healing Clay Deep Pore Cleansing,Beauty,5,2690.0,2992.0,N,N,2015-05-16
US,30356104,R2HEUJ9T4EKNFD,B00383I8T6,660093984,Radiancy No!no! 8800 Series Hair Removal Device - Pink,Beauty,1,2796.0,2966.0,N,N,2013-11-06
US,15187138,R31H67AMM7XGC9,B0014P8L9W,124566986,Aztec Secret Indian Healing Clay Deep Pore Cleansing,Beauty,5,2549.0,2928.0,N,Y,2014-04-22
US,53072570,R3L92ENSE5G6JC,B00HFQQ0VU,311309827,Waterpik Aquarius Water Flosser,Beauty,5,2826.0,2890.0,N,Y,2015-08-03
US,29849576,RP6UHA5MDHH3M,B00XTAFYKY,537992609,Pure Body Naturals Purifying Dead Sea Mud Mask Facial Treatment,Beauty,5,2598.0,2827.0,N,Y,2015-08-24
US,53090839,R2HEG12C48KXPW,B000GLRREU,600361628,Waterpik Waterpik Ultra Dental Water Jet Flosser Wp-100,Beauty,5,2663.0,2775.0,N,Y,2011-10-24
US,28248666,R1FEGFJ8MB8IEZ,B00461F4PA,608719013,"Baby Foot Exfoliant Foot Peel, Lavender Scented, 2.4 Fl. Oz.",Beauty,5,2581.0,2757.0,N,Y,2015-04-23
US,52621867,RLLBDMDPXWF17,B00HFQQ0VU,311309827,Waterpik Aquarius Water Flosser,Beauty,3,2606.0,2708.0,N,N,2014-02-16
