marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,53083975,R2VDKZ4X1F992Q,0670672238,630361089,The Story about Ping (Viking Kestrel picture books),Books,5.0,15835.0,16352.0,N,N,2000-01-26
US,13525963,RPUSBNNCSTI4B,0764553224,752056426,English Grammar For Dummies,Books,5.0,6539.0,6634.0,N,N,2005-05-15
US,52027907,R1T5UD2858KHTO,0553573403,268067011,"A Game of Thrones (A Song of Ice and Fire, Book 1)",Books,5.0,5385.0,5657.0,N,Y,2001-05-09
US,47847727,R27KG7MNJ5C9LD,0446677450,156348512,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Books,1.0,4452.0,4936.0,N,N,2000-10-15
US,51247650,R31JSQX1A6IESE,0385504209,315416156,The Da Vinci Code,Books,5.0,2968.0,4025.0,N,Y,2003-06-11
US,41706678,R3D51K9T88JGSC,0064471195,607344832,The Chronicles of Narnia Boxed Set,Books,2.0,3517.0,3836.0,N,N,2002-12-09
US,49095994,R1MCT7PY7X515W,0451191145,604964480,Atlas Shrugged,Books,5.0,3179.0,3543.0,N,N,2005-07-27
US,52188043,R3V2FRSXWS7JHB,0975991477,766400438,"The Biology Of Belief: Unleashing The Power Of Consciousness, Matter And Miracles",Books,5.0,3345.0,3489.0,N,N,2005-06-26
US,45685650,R22D7C0DULO855,0833030477,930674187,"A Million Random Digits with 100,000 Normal Deviates",Books,1.0,3339.0,3445.0,N,N,2005-07-28
US,49931443,R3RPPCPDM4QLM,1932100385,675366508,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss and Long-term Health",Books,5.0,3176.0,3397.0,N,N,2005-01-26
US,29115438,R370A5CNKW3PRQ,0895260174,829131114,Unfit For Command: Swift Boat Veterans Speak Out Against John Kerry,Books,5.0,2079.0,3392.0,N,N,2004-08-13
US,53005541,R1WLJRS5X06ZTS,1580627560,916830225,Why Men Love Bitches: From Doormat to Dreamgirl―A Woman's Guide to Holding Her Own in a Relationship,Books,2.0,2928.0,3243.0,N,N,2004-01-23
US,47166604,R3URUU4G9A1FO1,0684818868,458361116,Lies My Teacher Told Me : Everything Your American History Textbook Got Wrong,Books,4.0,3049.0,3232.0,N,N,2001-08-06
US,33296191,RUGSCP3XBNBUV,1579550088,20378952,A New Kind of Science,Books,1.0,3081.0,3215.0,N,N,2003-02-28
US,38523539,RL345VSFPB7R4,0316829455,94733763,Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss,Books,5.0,2980.0,3142.0,N,Y,2003-06-26
US,51067904,R37ZXODUGD65UE,0064471195,607344832,The Chronicles of Narnia Boxed Set,Books,5.0,2902.0,3068.0,N,N,2001-08-27
US,52545329,R2HN40RKHWH2DJ,0895260131,108102441,The Politically Incorrect Guide to Islam (and the Crusades),Books,5.0,2469.0,2886.0,N,N,2005-07-30
US,52966385,R10XI57RK1Y3HJ,0310205719,36906356,The Purpose Driven Life,Books,3.0,2334.0,2833.0,N,N,2003-10-31
US,47321917,R2HQ3WX26XBRFG,0967089735,792248668,Nourishing Traditions: The Cookbook that Challenges Politically Correct Nutrition and Diet Dictocrats,Books,3.0,2466.0,2816.0,N,N,2003-05-31
US,52754824,R1Y557JBALMN8K,0393317552,733405472,"Guns, Germs, and Steel: The Fates of Human Societies",Books,3.0,2387.0,2763.0,N,N,2001-01-24
US,53059422,R3OMRHI6JOKQ4W,0895260174,829131114,Unfit For Command: Swift Boat Veterans Speak Out Against John Kerry,Books,1.0,866.0,2751.0,N,N,2004-08-14
US,37234590,R3A9IZQNNM9W3K,0156027321,843703088,Life of Pi,Books,5.0,2545.0,2641.0,N,N,2005-02-09
US,39475234,R17FRD3D03DHK8,0140280197,184172254,The 48 Laws of Power,Books,4.0,2476.0,2627.0,N,N,2004-03-15
US,53074803,R36D4QUKS1NBPK,0375826688,342317933,Eragon (Inheritance),Books,2.0,1972.0,2596.0,N,N,2003-11-15
US,50884570,R1FFHE354D563L,0062502182,472619578,The Alchemist: A Fable About Following Your Dream,Books,4.0,2429.0,2577.0,N,N,2003-03-01
US,44262818,R1CXKOPOW0K2I9,0812929985,441816588,"Change Your Brain, Change Your Life: The Breakthrough Program for Conquering Anxiety, Depression, Obsessiveness, Anger, and Impulsiveness",Books,3.0,2472.0,2529.0,N,N,2001-04-22
US,34759984,R3L67TB57GUJL3,0071381392,576456892,The No-Cry Sleep Solution: Gentle Ways to Help Your Baby Sleep Through the Night,Books,5.0,2309.0,2428.0,N,N,2002-10-01
US,38509217,R35E602YIU3XL4,0895260174,829131114,Unfit For Command: Swift Boat Veterans Speak Out Against John Kerry,Books,5.0,1547.0,2309.0,N,N,2004-08-15
US,53048959,RH2NZEPRWAKTS,1400042127,100769891,French Women Don't Get Fat: The Secret of Eating for Pleasure,Books,5.0,2198.0,2265.0,N,N,2005-01-05
US,49524801,R2KEEEVV8Y1NFI,1878424319,991834329,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Books,5.0,2118.0,2229.0,N,Y,2003-10-28
US,35961141,R259GTDWTK33M5,1577311523,155458601,The Power of Now: A Guide to Spiritual Enlightenment,Books,2.0,1662.0,2141.0,N,N,2003-08-26
US,53074803,REZVCBI3L2685,1582344167,481973042,Jonathan Strange & Mr. Norrell,Books,5.0,1996.0,2102.0,N,Y,2004-09-17
US,52280532,R3HQKUPKY7SCLU,0969276818,400975855,Breaking the Vicious Cycle: Intestinal Health Through Diet,Books,5.0,2074.0,2100.0,N,N,2000-07-05
US,52525655,R6PNB8TTTA6SM,0670899240,287617479,Getting Things Done: The Art of Stress-Free Productivity,Books,5.0,1956.0,2057.0,N,N,2001-01-09
US,51369093,R2S2WP2FQVEARG,0375507256,851412948,Cloud Atlas: A Novel,Books,5.0,1981.0,2046.0,N,Y,2004-12-19
US,49623163,R3JLSN6LGREPGM,0399144463,305463091,Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life,Books,1.0,1685.0,2010.0,N,N,2004-06-29
