marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,50200276,R3CSHZYGZT7JS6,B00AWKJPOA,840491020,Instax Parent,Camera,5,5132,5287,N,Y,2015-06-15
US,35950007,R3SLJAG34OOCG5,B00009XVCZ,458565249,Canon EF 50mm f/1.4 Parent ASIN,Camera,5,5109,5181,N,N,2005-03-16
US,50294235,R1Y0PA7SS1UX4N,B005IGVY92,797133993,Nikon COOLPIX AW100 16 MP CMOS Waterproof Digital Camera with GPS and Full HD 1080p Video,Camera,5,4965,5010,N,N,2011-12-20
US,42549936,R5O3RQJXIOBDC,B004J3V90Y,594283986,Canon EOS Rebel T3i 18 MP CMOS Digital SLR Camera and DIGIC 4 Imaging,Camera,5,4675,4756,N,N,2011-02-27
US,11362849,R1KCF39XVQCDBJ,B004V4IWHY,919440426,Nikon D5100 16.2MP CMOS Digital SLR Camera,Camera,5,4491,4553,N,N,2011-10-13
US,24936774,R25AGEGV14RLYG,B0023B14TU,869081799,"Flip UltraHD Camcorder, 120 Minutes",Camera,5,3582,3615,N,Y,2009-11-07
US,18691391,R2L4Q5OURK8L7S,B005KP473Q,847103564,AmazonBasics Lightweight Tripod with Bag,Camera,5,2878,2923,N,Y,2014-01-25
US,35360512,R4EOUJ5QS2EJP,B00PMEG8YQ,420693246,Amcrest 960H 8CH 1TB Security System - Eight 800+ TVL IP66 Bullet and Dome cameras (Black),Camera,5,2680,2798,N,N,2015-02-02
US,48198985,R33LNUMEWSVG00,B003ZYF3LO,325928196,Nikon D3100 14.2MP Digital SLR Camera,Camera,5,2607,2673,N,N,2010-09-24
US,51224204,R1V23D8ZZWZCTH,B00006I53S,895451807,Canon 2562A002 EF 28-135mm f/3.5-5.6 IS USM Standard Zoom Lens for Canon SLR Cameras,Camera,5,2580,2611,N,N,2004-07-17
US,40109303,R16KPMS065H1TF,B00005LEN4,620785414,Nikon AF FX NIKKOR 50mm f/1.8D Lens with Auto Focus for Nikon DSLR Cameras,Camera,5,2565,2609,N,N,2006-10-09
US,11362849,R1C7IFG69T6MVK,B0042X9LC4,69308196,Nikon D7000 Digital SLR,Camera,5,2535,2589,N,N,2011-10-11
US,37655550,R3AMTDCW73QB03,B004J3V90Y,594283986,Canon EOS Rebel T3i 18 MP CMOS Digital SLR Camera and DIGIC 4 Imaging,Camera,5,2529,2588,N,N,2011-03-21
US,40922908,R36NNUXNMQ8EKZ,B00ZPM7BOG,496038735,3DR Solo Drone Quadcopter Parent,Camera,1,2463,2575,N,N,2015-07-23
US,11523530,R182ZQ9TU1FOCN,B00AWKJPOA,840491020,Instax Parent,Camera,5,2403,2562,N,N,2013-07-23
US,31498152,R1SV9JQVB3WUZG,B00VSITBJO,881011787,DJI Phantom 3 Professional Parent,Camera,1,2375,2514,N,N,2015-07-05
US,36224152,RK1QX7TJ0499O,B009B0MZ8U,478788227,Canon 6D Bundle,Camera,5,2448,2505,N,N,2012-12-07
US,49987710,R17V047TFUC1YE,B004P8K24W,324601690,D-Link Wireless Day/Night microSD Network Surveillance Camera with mydlink-Enabled,Camera,5,2369,2411,N,Y,2013-06-30
US,51028455,RUHDJ0ZTSDGVB,B001XURPQS,252821948,Canon EOS Rebel T1i 15.1 MP CMOS Digital SLR Camera,Camera,5,2380,2406,N,N,2009-04-29
US,23350199,R1J6PTA3I8D17N,B00NIYJF6U,544023639,GoPro Hero4 CHDHY-401 Waterproof Digital Video Camera,Camera,5,2330,2381,N,Y,2014-10-10
US,46933247,R3MQZV48ZUIEPK,B000V1MLBE,982189003,Flip Video Ultra Series Camcorder,Camera,5,2317,2356,N,N,2007-09-17
US,52685771,R2EO98P7J8ZSRZ,B006P88VSE,465145422,Dropcam Wi-Fi Wireless Video Monitoring Camera,Camera,3,2237,2324,N,Y,2012-07-25
US,31904950,R2UFUWT71VRQZW,B007VGGFZU,890765010,Nikon D3200 Digital SLR,Camera,5,2227,2313,N,Y,2012-05-08
