marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,50423635,R1LT38SAC0FA4G,B007J4T2G8,600633062,"Fifty Shades of Grey (Fifty Shades, Book 1)",Digital_Ebook_Purchase,1,18429.0,19368.0,N,N,2012-03-25
US,39786950,R2HHBQETYNMKCX,B0052U59F4,600633062,Fifty Shades of Grey,Digital_Ebook_Purchase,1,7627.0,8192.0,N,Y,2012-03-06
US,12439838,R31VD2FOG3JSQK,B00571F26Y,657488375,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",Digital_Ebook_Purchase,5,6376.0,6517.0,N,Y,2011-09-02
US,39785119,ROO6BOG4MMK4,B00BRUQ7ZY,401864376,Zealot: The Life and Times of Jesus of Nazareth,Digital_Ebook_Purchase,4,4730.0,4998.0,N,Y,2013-07-28
US,41000507,RCWYARI7AGLFY,B00136D39U,785472998,Holy Bible: New American Standard Bible (NASB),Digital_Ebook_Purchase,1,2895.0,4163.0,N,N,2008-10-24
US,34297840,R3CEF1AYQAKFFP,B000QCS8TW,268067011,"A Game of Thrones (A Song of Ice and Fire, Book 1)",Digital_Ebook_Purchase,2,3455.0,3699.0,N,Y,2011-04-13
US,50781887,R1O3PU6GQXCIL2,B00555X8OA,366130389,"Thinking, Fast and Slow",Digital_Ebook_Purchase,1,3025.0,3378.0,N,N,2011-11-20
US,15951256,R30YI8D3RGZOFK,B00ALYY6ZA,770497487,"The FastDiet - Revised & Updated: Lose Weight, Stay Healthy, and Live Longer with the Simple Secret of Intermittent Fasting",Digital_Ebook_Purchase,2,2743.0,2976.0,N,Y,2013-03-13
US,35539438,R1OCQIE6SIT6I5,B007B5EDEG,268067011,"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",Digital_Ebook_Purchase,3,2286.0,2518.0,N,N,2012-08-24
US,14993984,R3U5QP4M5M1SAU,B005IGVS6Q,59010011,Unfinished Business (Silhouette Intimate Moments),Digital_Ebook_Purchase,5,2165.0,2233.0,N,Y,2011-10-30
US,13213666,R1LBT9GRPJR4EF,B007P7HRS4,543673826,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Digital_Ebook_Purchase,5,2155.0,2222.0,N,Y,2013-06-25
US,45297729,R1EQ31MX8ECXH1,B0071XO8RA,721926847,Wool Omnibus Edition [Kindle in Motion] (Silo series Book 1),Digital_Ebook_Purchase,5,1910.0,2152.0,N,Y,2012-02-09
US,23746712,R36J3BMBEEB1Q7,B007SGM084,600633062,Fifty Shades Trilogy Bundle: Fifty Shades of Grey; Fifty Shades Darker; Fifty Shades Freed,Digital_Ebook_Purchase,5,1946.0,2092.0,N,Y,2012-05-29
US,35672680,R2SJ4STFVV2SQ7,B007SGM084,600633062,Fifty Shades Trilogy Bundle: Fifty Shades of Grey; Fifty Shades Darker; Fifty Shades Freed,Digital_Ebook_Purchase,2,1705.0,2058.0,N,N,2012-04-19
US,14806764,R2NQVHBTYTM8VJ,B004FGMDOQ,333044434,Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children Book 1),Digital_Ebook_Purchase,3,1829.0,1952.0,N,Y,2011-06-26
US,51644164,R3HVWLJ8PPY7O2,B00BRUQ7ZY,401864376,Zealot: The Life and Times of Jesus of Nazareth,Digital_Ebook_Purchase,1,217.0,1936.0,N,N,2013-07-22
US,40908341,R2V65BDO93RMR7,B0052U59F4,600633062,Fifty Shades of Grey,Digital_Ebook_Purchase,3,1552.0,1933.0,N,Y,2011-09-22
US,20029077,R2YC85A17F7K9V,B007THA4FI,165338194,The Casual Vacancy,Digital_Ebook_Purchase,4,1773.0,1913.0,N,Y,2012-09-27
US,21866124,RA313RWFY7ERR,B004HFRJCG,820763465,Smokin' Seventeen: A Stephanie Plum Novel,Digital_Ebook_Purchase,1,1821.0,1889.0,N,N,2011-07-02
US,38074462,R1VAP69OQ8D07S,B004G5Z1HM,9315904,"NIV, Holy Bible, eBook",Digital_Ebook_Purchase,1,1383.0,1870.0,N,N,2011-11-28
US,41950277,R1GCPDSE8AIOGY,B003ZSILSW,764540236,The Greek Seaman,Digital_Ebook_Purchase,2,1836.0,1848.0,N,N,2011-03-28
US,36330299,R3N017DHGRL0TU,B008AK8FHM,635355086,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Digital_Ebook_Purchase,5,1631.0,1826.0,N,Y,2012-10-23
US,42087601,R33QBHBYHMMY0,B003WUYOQ6,258892233,Why We Get Fat: And What to Do About It,Digital_Ebook_Purchase,5,1707.0,1758.0,N,N,2011-11-04
US,13647566,R2P17HISC3QXI2,B00BRUQ7ZY,401864376,Zealot: The Life and Times of Jesus of Nazareth,Digital_Ebook_Purchase,1,186.0,1708.0,N,N,2013-07-25
US,49240213,RPVYF7LM2OIM5,B002Q6XUE4,553088469,Start with Why: How Great Leaders Inspire Everyone to Take Action,Digital_Ebook_Purchase,3,1610.0,1655.0,N,Y,2010-05-28
US,19700274,R3AVRFV9P4KXXM,B004T4KQYS,571026639,The End of Illness,Digital_Ebook_Purchase,3,1496.0,1576.0,N,Y,2012-01-22
