marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,15060814,R3L16VPS7T19GG,B0051QIGP4,710124392,Born This Way,Digital_Music_Purchase,5.0,572.0,736.0,N,Y,2011-05-23
US,26314258,R2R4GWJM8PFXQT,B0041RKLZC,999623290,A Thousand Suns [Explicit],Digital_Music_Purchase,4.0,609.0,680.0,N,N,2010-09-14
US,33399773,R11FIFR7UHEZNE,B004NYQYNQ,218937759,21,Digital_Music_Purchase,5.0,603.0,632.0,N,N,2011-02-22
US,27997953,R20IGUHLOT5RU7,B00CS65JS2,117182852,Random Access Memories,Digital_Music_Purchase,5.0,470.0,499.0,N,N,2013-05-21
US,46197557,R1TAHDUJM8B5SH,B00NJT3A5Q,780153659,That's Christmas To Me,Digital_Music_Purchase,5.0,452.0,472.0,N,Y,2014-10-22
US,41606161,R176BQ4NOB3A3T,B0098TPQ9O,540234311,Big Baroque Box,Digital_Music_Purchase,5.0,452.0,455.0,N,Y,2012-09-11
US,52665749,R232JZMNQWGF9C,B0051QU0M6,370198705,99 Must-Have Chillout Classics,Digital_Music_Purchase,5.0,436.0,439.0,N,Y,2011-06-02
US,43803939,R1OPA4NTGQ51J9,B003O3MTM2,232665443,The 99 Most Essential Relaxing Classics (Amazon Exclusive),Digital_Music_Purchase,5.0,425.0,428.0,N,Y,2010-07-01
US,25374666,R2QM407EAA1777,B004XRY8XG,942162143,The Tree Of Life (Original Motion Picture Soundtrack),Digital_Music_Purchase,5.0,419.0,427.0,N,N,2011-07-09
US,47167230,RO1FPI4Q60ZCH,B00NQWTGZE,260957349,The Endless River,Digital_Music_Purchase,3.0,372.0,417.0,N,Y,2014-11-11
US,48862435,R1WXBLETRXDFHL,B00EQUP3Q6,982865714,Hesitation Marks [Explicit],Digital_Music_Purchase,5.0,335.0,397.0,N,Y,2013-09-03
US,46387317,R20D9LR5MEOUD7,B009G3T01M,411217559,The Heist [Clean],Digital_Music_Purchase,5.0,329.0,361.0,N,N,2012-10-10
US,45049362,R28GZWCHJK5LYG,B00IB73QTG,338262524,Morning Phase,Digital_Music_Purchase,5.0,328.0,360.0,N,Y,2015-02-10
US,19003669,R12MDI4IRQ2N8V,B0051QIGP4,710124392,Born This Way,Digital_Music_Purchase,5.0,260.0,331.0,N,Y,2011-05-23
US,30330729,RN8FW0XRQXMR2,B007MU85D0,984357607,My Head Is An Animal,Digital_Music_Purchase,1.0,15.0,308.0,N,N,2012-05-15
US,33559568,R1L7R6L94IP5MI,B0051QIGP4,710124392,Born This Way,Digital_Music_Purchase,1.0,128.0,306.0,N,N,2011-05-23
US,46330372,RSQZBZ3LTYNOH,B00CWM3F4C,799096068,The Devil Put Dinosaurs Here,Digital_Music_Purchase,4.0,280.0,303.0,N,N,2013-05-29
US,3724710,R2XJM4YN5WWIEH,B00MI6J75S,360127387,"PTX, Vol. III",Digital_Music_Purchase,5.0,291.0,303.0,N,N,2014-09-24
US,37274160,R201AA5TDORL2S,B003MOHX8S,843098768,Invincible,Digital_Music_Purchase,5.0,295.0,298.0,N,Y,2010-09-19
US,21495715,R2A58Y1GL03JYF,B004NYQYNQ,218937759,21,Digital_Music_Purchase,5.0,272.0,294.0,N,N,2011-03-03
US,23143811,R3JBTYKW3FVHV0,B004DBXRBG,649892011,Goodbye Worries,Digital_Music_Purchase,5.0,287.0,290.0,N,Y,2011-02-05
US,16589159,R14T1LK2CLFKDM,B001K5AAJA,842617404,Rain for Sleeping and Relaxation,Digital_Music_Purchase,5.0,277.0,282.0,N,N,2008-11-16
US,50200167,R3J087VXNY8OJ7,B0053V0JYI,619242546,Dream With Me,Digital_Music_Purchase,5.0,273.0,281.0,N,N,2011-06-14
US,52665749,R2ZPCHEQBE6BHA,B0041W6VXI,864919894,The 99 Most Essential Classical Pieces For Your Mind,Digital_Music_Purchase,5.0,274.0,278.0,N,Y,2010-09-06
US,37135769,RZXL0NPT0FCVG,B002LHY37Q,348187990,Internet Leaks EP,Digital_Music_Purchase,4.0,252.0,278.0,N,N,2009-08-28
US,34314796,R2C12SY3TGLRJ6,B004QNMI6G,829213248,The 99 Most Essential Cello Masterpieces,Digital_Music_Purchase,5.0,274.0,275.0,N,Y,2011-04-27
US,33399773,R1ZVF8R57LTOQ5,B00FAEPX9Y,518130307,Pure Heroine [Explicit],Digital_Music_Purchase,4.0,252.0,272.0,N,Y,2013-09-30
US,18940116,R15FDQ1DZBXHYE,B002P314WI,239220728,Here Comes Science (Amazon Exclusive Version),Digital_Music_Purchase,1.0,23.0,270.0,N,N,2011-01-13
US,16835386,R3HMOT98L51FHR,B00H05M8IA,539121608,The Weight Is Over : Hypnosis/Meditation for Lasting Weight Loss,Digital_Music_Purchase,5.0,258.0,263.0,N,N,2014-10-14
US,53080082,R34L834RV44TST,B004DBXRBG,649892011,Goodbye Worries,Digital_Music_Purchase,5.0,253.0,259.0,N,Y,2012-03-05
US,26780109,R2LINMLF64CNDH,B00DIURS22,194183514,Collapsible Lung,Digital_Music_Purchase,5.0,239.0,255.0,N,N,2013-07-08
US,24183841,R27QFCER6FBHDA,B009FOCUVY,608434945,Songs From The Silver Screen,Digital_Music_Purchase,5.0,242.0,251.0,N,Y,2012-10-04
US,33600023,RNP25O2KV22ES,B0092MKFIY,990344076,Night Visions,Digital_Music_Purchase,2.0,219.0,245.0,N,N,2012-11-02
US,17225698,R3P9LE4C82D3AK,B004ZCLL16,570268002,The Book Of Mormon [Explicit],Digital_Music_Purchase,5.0,217.0,239.0,N,N,2011-06-10
US,52523584,R23P0RQT3Z6Q5K,B00G7HG10I,222299968,111 Amazing Classical: Cello,Digital_Music_Purchase,5.0,235.0,235.0,N,Y,2013-11-05
US,52665749,R2BLKEW5ZUFGAF,B0048NUUS2,701068856,The 99 Darkest Pieces Of Classical Music,Digital_Music_Purchase,5.0,227.0,233.0,N,Y,2010-10-31
US,43093949,R3787YB5269K3M,B001LYX17S,412555628,Slower Than Christmas (Explicit),Digital_Music_Purchase,1.0,197.0,232.0,N,N,2009-12-04
US,17436279,R2XP76P54IVSJN,B0083H9KI0,709203625,100 Must-Have Movie Classics,Digital_Music_Purchase,1.0,3.0,229.0,N,N,2012-06-11
US,32731900,RASN756GJUHIA,B0068JAB7O,37727086,Beg For Mercy (Amazon Exclusive Version),Digital_Music_Purchase,1.0,202.0,228.0,N,Y,2011-11-22
US,36310936,RCHANAK2DHROO,B00UMRU4ZW,222491882,To Pimp A Butterfly [Explicit],Digital_Music_Purchase,5.0,204.0,227.0,N,N,2015-03-16
US,17679882,RPF4PIO7WYMEE,B00EU98VVC,453557387,Valkyrja,Digital_Music_Purchase,5.0,218.0,225.0,N,Y,2013-10-13
US,29449497,R2Q2R5Y4JQB47B,B00G00AASG,779982486,Duck The Halls: A Robertson Family Christmas,Digital_Music_Purchase,1.0,20.0,224.0,N,N,2013-11-08
US,16661400,R3F3XPUGSLGBZN,B00SBGMXQO,932774603,Carrie & Lowell,Digital_Music_Purchase,1.0,8.0,224.0,N,N,2015-03-31
US,35302630,R3TWHIKC2UWC7O,B00LLMFAAG,377550314,Guardians of the Galaxy: Awesome Mix Vol. 1 (Original Motion Picture Soundtrack),Digital_Music_Purchase,1.0,8.0,221.0,N,Y,2014-08-12
US,18264028,R1HCVHQE66Z2FP,B002B0LJMK,355110851,Schumann's Resonance - 7.83 Hz,Digital_Music_Purchase,5.0,216.0,219.0,N,Y,2012-10-01
US,34545290,R3K4IK42ZI41GZ,B00L6GKD36,882826836,Mandatory Fun,Digital_Music_Purchase,5.0,202.0,217.0,N,Y,2014-07-15
US,10580822,R3LCPE2H7U1D4E,B00A0HQ7H8,224093494,Paradise [Explicit],Digital_Music_Purchase,4.0,203.0,217.0,N,N,2012-11-17
US,51784684,R1WJ2URPJRRZL2,B00UV25MY6,892922422,The Epic,Digital_Music_Purchase,4.0,209.0,213.0,N,Y,2015-07-08
US,31170798,R3FXTWEK3XRUEU,B005FSPZDY,181968466,66 Must-Have Sensual Classics,Digital_Music_Purchase,5.0,170.0,213.0,N,N,2011-12-13
US,35365179,R1G6QSM39PNW3G,B002AR9YPI,269358985,Veckatimest,Digital_Music_Purchase,1.0,3.0,213.0,N,N,2009-05-26
US,50106921,R2DTCZEFX4VYIE,B0077UCVGC,669602228,Voice Of Ages,Digital_Music_Purchase,5.0,207.0,213.0,N,Y,2012-02-21
US,51462173,R3F4ZQZ4SZT3KW,B001NYO28S,951469761,Motown #1's,Digital_Music_Purchase,1.0,11.0,211.0,N,N,2009-01-18
US,50890330,R3O8W8VHJS0C5S,B00A2KV7XW,495863035,Big Christmas Box,Digital_Music_Purchase,5.0,205.0,210.0,N,Y,2012-11-23
US,45935487,R31NQFQM3RKBT8,B00OXE341G,558420564,1989,Digital_Music_Purchase,3.0,161.0,209.0,N,Y,2014-10-30
US,50565545,R1DA4F4L3C8E80,B00LSHG2L0,79351231,Mistakes Were Made: The B Sides [Explicit],Digital_Music_Purchase,1.0,185.0,208.0,N,N,2014-09-13
US,33399773,R2N5ULYRL5YZ5G,B00E3Q14KW,804712681,The Civil Wars,Digital_Music_Purchase,5.0,189.0,206.0,N,Y,2013-08-06
US,34484043,R3SKE8VEYFAKEV,B005GSY23M,790412369,Drive (Original Motion Picture Soundtrack),Digital_Music_Purchase,5.0,198.0,205.0,N,N,2011-09-19
US,51193975,R1PA6M0OYQLLOH,B00OAVDDYU,949386713,Nothing Has Changed,Digital_Music_Purchase,5.0,196.0,203.0,N,Y,2014-11-19
US,43322925,R3AZK5MTFFZ68R,B003V25ZTU,79604289,The House You're Building,Digital_Music_Purchase,5.0,196.0,203.0,N,Y,2010-09-04
US,37444296,R33KM8HQFTPC4O,B009ZAY8MM,121325027,PTXmas,Digital_Music_Purchase,4.0,179.0,202.0,N,N,2012-12-07
US,42533367,RJDADVZO39QKJ,B00LSHG2L0,79351231,Mistakes Were Made: The B Sides [Explicit],Digital_Music_Purchase,1.0,189.0,201.0,N,N,2014-09-15
US,49077458,R2WKQW9ZFDISRY,B00CXL6XP0,533760036,Queensryche,Digital_Music_Purchase,4.0,184.0,200.0,N,N,2013-06-25
US,38169443,R14Q6FKAITQHGF,B002OMB4PC,40789634,Where The Action Is! Los Angeles Nuggets 1965-1968,Digital_Music_Purchase,1.0,4.0,200.0,N,N,2009-09-22
US,19223286,R57KZK2C566CF,B0092MKFIY,990344076,Night Visions,Digital_Music_Purchase,1.0,184.0,199.0,N,Y,2013-08-15
US,52255678,R36GSQFGP8WTD,B007PBKG5G,379608627,Boys & Girls,Digital_Music_Purchase,5.0,194.0,199.0,N,Y,2012-04-13
US,24302568,R2S2KIG6JQVAMV,B00HFWY75K,223143825,Beyoncé [Explicit],Digital_Music_Purchase,5.0,173.0,196.0,N,Y,2013-12-23
US,41339450,R2B1OHX3Y9694U,B002WMP162,283209660,The 50 Greatest Pieces of Classical Music,Digital_Music_Purchase,4.0,188.0,194.0,N,Y,2013-09-06
US,26159834,RH5BX9UHLI7D3,B0018CGEBS,377133540,Momofuku,Digital_Music_Purchase,1.0,4.0,191.0,N,N,2008-05-08
US,13759399,R1QV0Q088TD4IY,B00LSHG2L0,79351231,Mistakes Were Made: The B Sides [Explicit],Digital_Music_Purchase,1.0,167.0,189.0,N,N,2014-09-14
US,48831254,R1GFKZ7NGI8D9Q,B001UQSE7O,930328267,Christmas Tree [feat. Space Cowboy],Digital_Music_Purchase,1.0,143.0,189.0,N,Y,2009-12-02
US,33760543,R1E0KCF15MS77M,B002NYB712,447912612,The Incident,Digital_Music_Purchase,4.0,178.0,189.0,N,Y,2009-09-21
US,37367616,R3PUNMPJU7OD7S,B002RHVBHU,866027950,"I Love the 80s, Vol. 1 (1880s)",Digital_Music_Purchase,5.0,186.0,189.0,N,Y,2009-10-23
US,38948346,R3KO5H9E4IW1OR,B002RHVBHU,866027950,"I Love the 80s, Vol. 1 (1880s)",Digital_Music_Purchase,3.0,178.0,187.0,N,N,2009-10-07
