marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,16110901,R2I167RDKRWB5X,B009AJDDQU,827187473,Prometheus,Digital_Video_Download,1,3248,3974,N,Y,2012-09-24
US,46087012,R1IGU4Z8JVEUVS,B00I3MP3SG,47146773,Pilot,Digital_Video_Download,5,1484,1638,N,N,2014-02-06
US,46964127,R3D37ASD654872,B00I3MPDP4,853694223,Pilot,Digital_Video_Download,5,1498,1568,N,N,2014-02-06
US,16208343,R3A65N9EY9K7AB,B00RSI5EHQ,68901493,The New World,Digital_Video_Download,5,1280,1412,N,Y,2015-01-15
US,51196292,R2Z0G59RK0LYAV,B00I3MPDP4,853694223,Pilot,Digital_Video_Download,5,1338,1394,N,Y,2014-02-06
US,12840152,RJ5H1YIV6IKFR,B00LPRKH5U,532518373,God's Not Dead,Digital_Video_Download,1,889,1259,N,Y,2015-03-27
US,12685037,R8E1XQI5SO12T,B00JKR2L88,532518373,God's Not Dead,Digital_Video_Download,5,794,1200,N,N,2014-06-07
US,42242609,R3KKH2UILRM66B,B00RFHVCFI,406574302,American Sniper,Digital_Video_Download,3,1025,1127,N,N,2015-02-18
US,53008111,R1PYS6H474P68P,B00LPRK68S,532518373,God's Not Dead,Digital_Video_Download,1,790,1117,N,N,2015-03-27
US,47894406,R1IFBGNE1ROQAP,B00I3MNF6S,360747388,Pilot,Digital_Video_Download,5,901,1026,N,N,2014-02-18
US,47321917,R2E1WU7VRA9RC6,B00I3MP3SG,47146773,Pilot,Digital_Video_Download,1,707,954,N,N,2014-02-17
US,51344109,R2RFKL848JS4GX,B00H71RTQS,530546487,Season 4 Preview,Digital_Video_Download,3,692,895,N,N,2014-01-07
US,18828219,R3VIEIML8E4GSZ,B0134985TQ,479335063,Sneaky Pete - Season 1,Digital_Video_Download,5,782,852,N,Y,2015-08-07
US,49806995,RJY1VW6KJKX8Z,B00KIGRRRU,787190572,X-Men: Days of Future Past,Digital_Video_Download,3,725,850,N,Y,2014-09-26
US,51737404,R18MUUNHVHRH0M,B00VWPQNJ4,718553378,Ex Machina,Digital_Video_Download,5,749,844,N,N,2015-04-18
US,12194179,R1SCV33C4IFR9Z,B00MR9UWVO,123599100,Pilot,Digital_Video_Download,5,749,814,N,Y,2014-08-28
US,52129907,R8QYKECCMUSLY,B00OLI95R6,955620049,Fury,Digital_Video_Download,5,723,793,N,N,2014-10-19
US,15004000,RNDLFNYVSEX3C,B00F3WOE52,524596506,Straw,Digital_Video_Download,1,636,760,N,Y,2013-09-21
US,46715884,R3H1QHGWCFX1T2,B00I3MPDP4,853694223,Pilot,Digital_Video_Download,5,711,757,N,N,2014-02-06
US,49428289,R3OLGD9HJVLOQ0,B004V4ASGC,108542102,"Fat, Sick & Nearly Dead",Digital_Video_Download,5,699,722,N,Y,2011-06-05
US,14019497,R36RIWF12C22HC,B00HQAHHQ2,297169450,Summer in February,Digital_Video_Download,1,680,722,N,N,2014-03-26
