marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,26834793,R3MHPUOS7SBOHK,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,1,5068,5251,N,Y,2013-03-06
US,37248460,RH1PGSV60QJME,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,1,3789,3948,N,N,2013-03-06
US,50432755,R2MC4X10C5KZFO,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,5,2509,2974,N,Y,2013-03-07
US,44692602,R28IYKQ2AM70KM,B004RMK4P8,384246568,Playstation Network Card,Digital_Video_Games,5,2384,2541,N,N,2013-11-14
US,26458957,R3TD4ZVF0G6OON,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,1,1823,1943,N,N,2013-03-08
US,13560072,R12CYZ04A33M00,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,1,1139,1212,N,N,2013-03-06
US,29805145,R2QI8KUKOZ9LZX,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,1,1100,1151,N,N,2013-03-09
US,12708262,R1DIKEV0TQNCB,B002VBWIP6,232803743,Xbox Live Subscription,Digital_Video_Games,5,993,1077,N,Y,2011-08-24
US,34790787,R4J30P1CV0Z1Y,B004RMK4BC,384246568,Playstation Network Card,Digital_Video_Games,5,882,959,N,Y,2011-06-28
US,52990130,R1Q4ELO9TG7JCW,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,1,685,735,N,N,2013-03-06
US,14637800,R12930RK075N9J,B002VBWIP6,232803743,Xbox Live Subscription,Digital_Video_Games,5,623,688,N,Y,2014-01-07
US,26834219,R2CD96UAPMPE1H,B004RMK4BC,384246568,Playstation Network Card,Digital_Video_Games,5,546,625,N,Y,2011-03-26
US,38320678,R1GNL67L9RCPP1,B008MAYXI0,689407426,Guild Wars 2 [Download],Digital_Video_Games,5,596,622,N,N,2012-08-01
US,18153918,R1007PT85CIPMD,B004RMK5QG,395682204,Playstation Plus Subscription,Digital_Video_Games,5,541,588,N,N,2011-06-03
US,46923815,R2S0U5WQTS5Z34,B00ENQXEX2,289370895,Sims 4,Digital_Video_Games,1,525,587,N,N,2014-09-05
US,17761088,R1T4ON6EEXJVGD,B00A4MWX04,196500025,Scribblenauts Unlimited [Download],Digital_Video_Games,1,8,516,N,Y,2012-12-15
US,21460607,R3KMT6UQWVLE2Q,B009PNLAAW,750879807,Absolutely Great Square Pack [Download],Digital_Video_Games,1,142,515,N,N,2012-10-14
US,12402415,R3K34YTD6CZ0O5,B00904XVS0,573269440,Grand Theft Auto IV Complete and Max Payne 3 Complete bundle [Online Game Code],Digital_Video_Games,1,10,508,N,N,2012-08-28
US,34500467,R2Z4OOY6DXWGJO,B001V7QIDY,225309182,Xbox 360 Live Points Card,Digital_Video_Games,5,421,485,N,N,2009-04-10
US,20952261,RPVPQTYWNFXO0,B004RMK4BC,384246568,Playstation Network Card,Digital_Video_Games,5,407,477,N,Y,2011-03-30
US,21840866,RJ281SB999AFL,B004RMK4P8,384246568,Playstation Network Card,Digital_Video_Games,1,371,456,N,Y,2015-01-30
US,17239785,R2AYOR7QTS6IMH,B009PNLAAW,750879807,Absolutely Great Square Pack [Download],Digital_Video_Games,5,408,443,N,N,2012-10-14
US,11390842,R2JFTJ8F9MPYY3,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,5,301,431,N,N,2013-03-07
US,49222567,R1U46C1NVZVAMV,B00I4BGLOG,433924898,The Elder Scrolls Online Imperial Edition [Download],Digital_Video_Games,2,342,420,N,N,2014-04-08
US,32479799,R3SDRMDRXRIU0I,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,1,385,412,N,N,2013-03-05
US,26967140,R3P15QFWDVN6NZ,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,1,381,407,N,Y,2013-03-06
US,4504612,RA4VH1FCNXUD2,B00H2008JO,97837545,Saints Row IV - Thank You Pack [Online Game Code],Digital_Video_Games,1,3,393,N,Y,2013-12-19
US,25598004,R36YOLOEIC1R65,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,1,366,390,N,N,2013-03-06
US,12152131,R2GO3NHS5CABI8,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,4,155,387,N,N,2013-03-05
US,13022559,R26RZGNQNS6NH6,B007VTVRFA,402222185,SimCity - Limited Edition,Digital_Video_Games,1,358,380,N,N,2013-03-06
US,21992553,R2OIA4WECHU4CO,B0083LD2TE,938297969,Stronghold Kingdoms [Game Connect],Digital_Video_Games,1,309,378,N,Y,2012-09-29
