marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,9286343,R2H5U4H5NGGAR0,B000I1X6PM,432487709,Denon AKDL1 Dedicated Link Cable (Discontinued by Manufacturer),Electronics,3,12786,12944,N,N,2013-05-15
US,48204012,R3I8VKTCITJCX6,B000J36XR2,179484019,AudioQuest K2 Terminated Speaker Cable - UST 2.44 m Plugs 8' Pair (Discontinued by Manufacturer),Electronics,1,8937,9072,N,N,2010-11-16
US,48270034,R31D05IE78MJSI,B003EM6AOG,921315865,Panasonic ErgoFit In-Ear Earbud Headphone,Electronics,5,8421,8680,N,Y,2012-01-25
US,42755983,R1HPACVRRXUOOI,B001FA1O18,957060365,Apple iPod touch 8GB (4th Generation),Electronics,5,6012,6353,N,N,2010-09-07
US,49418441,R273H6FER3R5L3,B000I1X6PM,432487709,Denon AKDL1 Dedicated Link Cable (Discontinued by Manufacturer),Electronics,1,5417,5546,N,N,2008-06-23
US,52451493,R20W8PY7F0TXPA,B002M3SOBU,604677120,Apple iPod touch 8 GB 2nd Generation,Electronics,5,4469,4595,N,Y,2009-09-11
US,33197096,R2OY8GJV8HM5X7,B0054JJ0QW,842723490,Bose QuietComfort 15 Acoustic Noise Cancelling Headphones (Discontinued by Manufacturer),Electronics,4,4420,4556,N,N,2011-08-23
US,51120727,R1MO1407840EVJ,B003ELYQGG,921315865,Panasonic ErgoFit In-Ear Earbud Headphone,Electronics,5,4191,4341,N,N,2012-04-24
US,13183493,R3Q7ZHCZOL738D,B001UEBN42,349284908,"X-Mini II XAM4-B Portable Capsule Speaker, Mono",Electronics,1,4144,4260,N,Y,2010-06-02
US,42013714,R1P37H5L0NVOAN,B000I1X6PM,432487709,Denon AKDL1 Dedicated Link Cable (Discontinued by Manufacturer),Electronics,2,4187,4242,N,N,2008-06-23
US,33197096,RY0AGJ0A02RUH,B002HWJT1A,223566001,Audio-Technica ATH-ANC7B QuietPoint Active Noise-Cancelling Closed-Back Headphones,Electronics,5,4140,4184,N,N,2009-12-11
US,52847433,R3IG20M10IP8P3,B004QK7HI8,663821832,"Mohu Leaf 30 TV Antenna, Indoor, 30 Mile Range, Original Paper-thin, Reversible, Paintable, 4K-Ready HDTV, 10 Foot Detachable Cable, Premium Materials for Performance, USA Made, MH-110583",Electronics,5,3794,4017,N,Y,2011-04-21
US,53071743,R3TGCOG9YAU6LF,B0002L5R78,871765831,"High Speed HDMI Cable (1.5 Feet) With Ethernet - CL3 Certified - Supports 3D and Audio Return Channel, 1-Pack",Electronics,5,3748,3908,N,Y,2007-08-24
US,15963426,RK9H195473Q6M,B0001FTVEK,796776495,Sennheiser On-Ear 926MHz Wireless RF Headphones with Charging Cradle,Electronics,5,3718,3801,N,N,2004-11-14
US,43199817,R3674BKNUALAPC,B0001FTVEK,796776495,Sennheiser On-Ear 926MHz Wireless RF Headphones with Charging Cradle,Electronics,3,3476,3669,N,Y,2005-08-03
US,51104454,R1CEUVD9HWJXDK,B00N32ICIO,915537237,Bose SoundLink Color Bluetooth Speaker (Black),Electronics,5,3287,3369,N,Y,2015-01-22
US,52502837,R1RWB62MPP2QFH,B002M3SO10,706935065,Apple iPod nano 16 GB Blue,Electronics,4,3199,3277,N,N,2010-09-07
US,30669680,R2QVW9U1ISXVGV,B004UG41XW,205980167,Sanyo NEW 1500 eneloop AA Ni-MH Pre-Charged Rechargeable Batteries,Electronics,5,3057,3118,N,Y,2011-04-21
US,52621867,RSLGII8YD20VX,B00D429Y12,378212718,Bose QuietComfort 20 Headphones,Electronics,5,2679,2756,N,N,2013-08-19
US,12057054,RF074827BNTI6,B000I1X6PM,432487709,Denon AKDL1 Dedicated Link Cable (Discontinued by Manufacturer),Electronics,1,2629,2730,N,N,2008-06-11
US,52934745,R2MBG53YJEKQCI,B000I1X6PM,432487709,Denon AKDL1 Dedicated Link Cable (Discontinued by Manufacturer),Electronics,5,2631,2721,N,N,2008-06-17
US,34462630,R1ZMN6YI16GG4V,B010OYASRG,697093909,"OontZ Angle 3 Portable Bluetooth Speaker : Louder Volume 10W+ Power, More Bass, IPX5 Water Resistant, Perfect Wireless Speaker for Home Travel Beach Shower Splashproof, by Cambridge SoundWorks (Black)",Electronics,5,2506,2720,N,Y,2015-08-19
US,51183828,R36UT5971I71A1,B008EWNVI4,381373607,Bose Solo TV Sound System,Electronics,4,2561,2688,Y,N,2012-08-22
US,36224152,RRQEQQ6PCEMZF,B00429N192,186799518,CyberPower PFC Compatible Pure Sine Wave Tower UPS,Electronics,4,2583,2630,N,Y,2011-04-26
US,49216642,R8FE8DADMKJYW,B00AEMGGU2,653358345,SONOS PLAYBAR TV Sound Bar/Wireless Streaming Music Speaker,Electronics,2,2431,2583,N,Y,2013-03-08
