marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,36097268,R16UXNTZ09LKHT,B003CT37LA,880806683,Sleep Innovations Shiloh Memory Foam Mattress,Furniture,5,6390,6509,N,Y,2011-02-26
US,32629067,R1T11K3MYSLRE,B00QBZ25R4,637686095,Tuft & Needle Mattress,Furniture,5,5404,5813,N,N,2015-05-15
US,15053459,R3RJCCKD2J8EQ,B005A4OQ9W,901624184,"Signature Sleep 6-Inch Memory Foam Mattress, Twin",Furniture,5,3749,3956,N,Y,2013-08-10
US,43370331,RDNFX9TLHBULC,B004LQ1RKQ,999119538,Signature Sleep Contour 8 Inch Independently Encased Coil Mattress with Low VOC CertiPUR-US Certified Foam,Furniture,5,3369,3653,N,Y,2013-03-14
US,47803689,R9T4SRJSA0FVG,B00M9CODDW,447142612,Casper Sleep Mattress,Furniture,4,2803,3555,N,N,2014-12-16
US,50987191,R9PA2CJ62NX0R,B003CT37L0,880806683,Sleep Innovations Shiloh Memory Foam Mattress,Furniture,2,3001,3288,N,Y,2011-12-12
US,11172342,R36VBUYHS78JJ4,B006MIVR06,941823468,"Zinus SC-SBBK-14NT-FR Smartbase Bed Frame Metal, Narrow Twin",Furniture,1,2343,2638,N,Y,2014-01-26
US,32530579,R2ZL10EUFK2PBI,B005G5RZIY,382367578,Sleep Master Ultima Comfort Memory Foam 6 Inch Mattress,Furniture,4,2489,2582,N,Y,2013-04-18
US,47658367,R37C20GYWFH4IU,B007HD9YYQ,208929208,LUCID 12 Inch Gel Memory Foam Mattress - Triple-Layer - 4 Pound Density Ventilated Gel Foam - CertiPUR-US Certified - 25-Year Warranty,Furniture,5,2458,2510,N,Y,2013-02-09
US,45092469,R15CHJWV7ZARE4,B0055DXL1C,454865594,"Big Joe Large Fuf in Comfort Suede, Black Onyx",Furniture,1,2239,2365,N,N,2014-12-12
US,10481693,R38UBFHD82IRWT,B006L9U4PK,576353628,Sleep Master Ultima Comfort Memory Foam Mattress,Furniture,4,1753,1847,N,Y,2013-08-25
US,26498296,R2OL8XVK0ELNX4,B000PWGZOI,653457339,"SPACE Seating Professional AirGrid Dark Back and Padded Black Eco Leather Seat, Fixed Arms and Lumbar Support Sled Base Visitors Chair",Furniture,4,1586,1618,N,Y,2010-04-28
US,40362464,R1QFH0IS0VLIXI,B00KUPS4HG,545535271,Flash Furniture Mid-Back Swivel Task Chair with Flip-Up Arms,Furniture,5,1530,1545,N,Y,2015-07-11
US,23186884,R3NIWEZ6HJHMUN,B006MIUM20,941823468,"Zinus SC-SBBK-14NT-FR Smartbase Bed Frame Metal, Narrow Twin",Furniture,5,1414,1497,N,N,2015-06-19
US,48517230,R1WVLPHS1ZZOA8,B004LQ1RJ2,999119538,Signature Sleep Contour 8 Inch Independently Encased Coil Mattress with Low VOC CertiPUR-US Certified Foam,Furniture,1,1289,1463,N,Y,2015-02-28
