marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,50733118,R12LGU9RL181NG,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,1,5987,6323,N,Y,2015-06-13
US,15174414,R3R6F4E0Q0UIW5,BT00DDVMVQ,20546152,Amazon eGift Card - Smile,Gift Card,4,2383,2763,N,Y,2011-04-14
US,48581504,R45HG9RR090FV,B007V6ETDK,924812503,Amazon eGift Card - Happy Birthday (Presents),Gift Card,2,2231,2557,N,Y,2012-10-31
US,52166758,R1TAEA92J71QXD,BT00CTOUNS,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,5,2004,2253,N,Y,2010-12-09
US,41038000,R2L57AKAALS514,B004LLIL2I,249994915,Amazon eGift Card - Happy Birthday (Balloons),Gift Card,1,1202,1433,N,Y,2012-10-21
US,47967635,R1U4ZC27SN6OZR,B005ESMF5G,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,1,1208,1303,N,Y,2012-12-20
US,21281420,R26T5UIRAJSA7C,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,5,892,1113,N,Y,2012-08-22
US,51362072,R3PJ7H5QUNZ9UV,BT00DDVMVQ,20546152,Amazon eGift Card - Smile,Gift Card,2,902,1111,N,Y,2011-06-22
US,37735998,R3L73QB6DV5VO9,B005S28ZES,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,1,948,1038,N,N,2012-04-17
US,42223524,R31FFDKC32YL33,B004LLIL2I,249994915,Amazon eGift Card - Happy Birthday (Balloons),Gift Card,1,875,1028,N,Y,2012-10-18
US,52330092,R2AT44VR8AX0TC,BT00CTOUNS,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,5,694,827,N,N,2011-01-25
US,38802918,RIFCVZUG8QHNC,B0066AZGD4,136017760,Amazon eGift Card - Upload Your Photo - Gift for You,Gift Card,1,629,778,N,Y,2012-10-22
US,14056626,R24VNM4806L6OQ,BT00CTOUNS,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,5,629,751,N,N,2010-11-15
US,37546510,R2Y8EMJS3C3K1N,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,1,627,744,N,Y,2012-10-24
US,41021473,R3M9UKKKPVQVF0,B001H53QDK,246986987,Amazon.com Gift Cards,Gift Card,1,576,688,N,Y,2008-12-15
US,40968307,R2LA22U6AN3B0T,B005ESMF5G,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,1,572,633,N,Y,2013-01-03
US,44615556,RW4P0WXH3B3OC,BT00CTP230,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,2,531,615,N,Y,2010-12-21
US,44026747,RPXCW9O5TGFIG,B005ESMGZU,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,1,501,557,N,Y,2012-09-07
US,27786012,R2893LIITM2PDS,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,1,441,549,N,Y,2012-09-11
US,52540230,R1XNO68OHJM5SW,B001H53QDK,246986987,Amazon.com Gift Cards,Gift Card,1,452,545,N,Y,2008-12-11
US,21656487,R1ROH95558GLFT,B004LLIL4G,307223063,Amazon eGift Card - Happy Birthday (Birds),Gift Card,1,422,515,N,Y,2012-09-18
US,32974201,RHAPCUVMJUBGS,B004KNWWU4,326384774,Amazon Gift Card - Print - Happy Birthday (Birds),Gift Card,2,379,466,N,Y,2012-11-01
US,39766826,R8EVNU6H1HF7G,BT00DDVMVQ,20546152,Amazon eGift Card - Smile,Gift Card,4,367,460,N,Y,2011-05-30
US,16367699,R3HICS9CXHZF7O,B005ESMF5G,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,1,404,454,N,Y,2013-01-03
US,14328450,RLHCO333CEZQD,BT00CTOYSY,363749704,Amazon.com $50 Gift Card in a Greeting Card (Amazon Surprise Box Design),Gift Card,5,353,443,N,Y,2010-10-10
US,42946407,R39HU28003URKD,B005S28ZES,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,1,404,441,N,Y,2011-12-26
US,12632662,R1MRQ0G93X2L57,B00A4EK2XW,129396926,Amazon eGift Card - Cheers!,Gift Card,3,359,436,N,Y,2013-04-01
US,12541556,R3VG9XD77ZEXWA,B004Q7CKC4,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,1,305,369,N,Y,2012-10-17
US,23021289,R8FAU5IWKWJBE,B0091JKU5Q,340283309,Amazon.com Gift Card for Any Amount in a Snowflake Tin (Happy Holidays Card Design),Gift Card,3,341,367,N,N,2014-12-10
US,11276921,R3B8NLDYZ3VO8J,B005ESMHN6,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,1,325,354,N,N,2014-11-07
US,33067086,RSLM3WNVCM9AO,BT00DDC7CE,802996579,Amazon.com Gift Cards - Print at Home,Gift Card,5,287,347,N,Y,2011-07-19
US,49256035,R2SBMEHG83RMT0,B00ADR339U,676326750,Amazon.com Gift Card in a Brown & Blue Tin (Classic Blue Card Design),Gift Card,1,292,330,N,Y,2012-12-14
US,47734417,R3DV3Y0KTJORQ9,BT00DDC7CE,802996579,Amazon.com Gift Cards - Print at Home,Gift Card,5,263,330,N,Y,2010-11-10
US,44978197,REOM3YNGX8ZBS,B005S28ZES,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,5,280,322,N,N,2011-12-10
US,26291733,R2CK1UHPYNT5R2,B0066AZGD4,136017760,Amazon eGift Card - Upload Your Photo - Gift for You,Gift Card,3,226,282,N,Y,2012-12-13
US,36699207,R2E1M8C2YCJU92,B005ESMF5G,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,2,253,281,N,Y,2012-01-22
US,52639359,R37MUPB54E5E2H,B001GXRQW0,246986987,Amazon.com Gift Cards,Gift Card,5,219,263,N,N,2009-06-18
US,16174617,R16UIF361DAH5N,B004LLIL4G,307223063,Amazon eGift Card - Happy Birthday (Birds),Gift Card,1,212,260,N,N,2012-10-24
US,39230280,R18KVPY0TO33BM,B00JDQJVF2,255898874,Amazon.com Gift Card in a Birthday Cupcake Tin (Birthday Cupcake Card Design),Gift Card,5,241,248,N,Y,2015-08-16
US,52209164,R1N30U0O5Y49FH,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,1,215,248,N,Y,2013-07-22
US,11881945,R1VNM9KFMDKWVI,BT00DDVMVQ,20546152,Amazon eGift Card - Smile,Gift Card,1,186,236,N,N,2012-09-11
US,52819773,R26BUF7MWYKASJ,B0091JKIQ2,717587109,Amazon.com Gift Card in a Plaid Gift Box (Various Card Designs),Gift Card,1,213,229,N,Y,2012-12-28
US,15348738,R2KPA5J1MXBJSD,B001GXRQW0,246986987,Amazon.com Gift Cards,Gift Card,1,186,222,N,Y,2008-12-22
US,17239785,RP0J4AZ5LW9MX,B00ADR3HS2,340283309,Amazon.com Gift Card for Any Amount in a Snowflake Tin (Happy Holidays Card Design),Gift Card,5,203,219,N,Y,2012-12-12
US,51878033,R2POYRGVRBJH79,BT00DDC7BK,802996579,Amazon.com Gift Cards - Print at Home,Gift Card,5,173,212,N,N,2012-01-28
US,30671263,R2AW3P9JPEQBFL,B005S28ZES,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,1,187,202,N,N,2012-02-23
US,10347947,R1QKNBKRA1GWWW,BT00DDVMVQ,20546152,Amazon eGift Card - Smile,Gift Card,1,156,202,N,Y,2012-10-19
US,49602303,R2KNMWVY5J0UFH,B004LLIKY2,918740469,Amazon eGift Card - Amazon Kindle,Gift Card,1,161,201,N,Y,2012-10-01
US,41579934,R80TP98L3CK0C,B007V6ERJG,545022824,Amazon eGift Card - Happy Birthday (Over the Hill),Gift Card,1,161,197,N,Y,2012-10-20
US,25833665,R3FVF83QS7ZBNK,BT00CTOUNS,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,1,153,196,N,N,2011-01-26
US,51247375,R1KAA9LC74F3MU,B004LLIL4G,307223063,Amazon eGift Card - Happy Birthday (Birds),Gift Card,1,156,196,N,Y,2012-10-26
US,40390174,R1F1H94R96PVU6,BT00DDVMVQ,20546152,Amazon eGift Card - Smile,Gift Card,1,149,188,N,Y,2012-08-11
US,43856165,R1RP5V585KUKDK,B00JDQJVF2,255898874,Amazon.com Gift Card in a Birthday Cupcake Tin (Birthday Cupcake Card Design),Gift Card,5,177,183,N,N,2015-01-22
US,35546392,R2L9QWRIJ7W19J,B0091JKU5Q,340283309,Amazon.com Gift Card for Any Amount in a Snowflake Tin (Happy Holidays Card Design),Gift Card,1,158,182,N,Y,2013-12-14
US,34741294,R19PRJU3RH17YN,B001GXRQW0,246986987,Amazon.com Gift Cards,Gift Card,1,152,181,N,N,2009-01-20
US,23248113,R1WK2LJBSJXCG0,B005ESMF5G,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,5,149,179,N,Y,2011-12-11
US,13702555,R2K2W9UDXHAHKX,B001GXRQW0,246986987,Amazon.com Gift Cards,Gift Card,3,146,175,N,N,2008-12-16
US,14774640,R1Z6R8PD7QIEYD,B004WKPVBC,879477749,Amazon eGift Card - Love,Gift Card,1,139,170,N,Y,2012-12-15
US,951826,RJM6DBBNLCOLF,B005DHMZJY,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,5,147,168,N,N,2015-01-01
US,15981007,R17D2QON4XMZ8M,B001H53QDK,246986987,Amazon.com Gift Cards,Gift Card,2,136,162,N,N,2009-01-15
US,12656930,R1QQ1WX7729HUP,B00ADR2XIC,743153911,Amazon.com Gift Card in a White Gift Box (Classic White Card Design),Gift Card,2,145,162,N,N,2012-12-14
US,47666771,R5ZTBN5XEJJ19,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,5,133,159,N,Y,2012-12-15
US,15411597,R1ZMG5YYY9Z2DL,B00BWDH368,473048287,Amazon.com eGift Cards,Gift Card,5,124,159,N,Y,2015-05-26
US,13599232,R2GRO2LXFOBHI9,B0091JKY0M,941945933,Amazon.com Gift Card for Any Amount in a Santa Tin (Ho! Ho! Ho! Card Design),Gift Card,3,144,158,N,Y,2012-12-07
US,22284607,R119RCYKVEK84I,B00ADR3HS2,340283309,Amazon.com Gift Card for Any Amount in a Snowflake Tin (Happy Holidays Card Design),Gift Card,1,139,157,N,Y,2013-12-19
US,43909578,ROFT4MHG8V30A,BT00DDVMVQ,20546152,Amazon eGift Card - Smile,Gift Card,1,125,156,N,Y,2012-09-23
US,17945189,R2MUD8KLC19DY3,B005ISQ69I,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,5,129,155,N,N,2015-01-19
US,52787909,R2SMQ5V2OXGVW1,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,1,139,153,N,Y,2013-10-25
US,21419506,R2QZYWI1TL3NDM,B001H53QDK,246986987,Amazon.com Gift Cards,Gift Card,1,133,153,N,N,2009-01-07
US,13864979,R1W4EGK04PI1Q8,BT00CTP2GM,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,2,122,153,N,Y,2010-11-04
US,18943136,RIJMG3B1J9X4S,BT00DDC7BK,802996579,Amazon.com Gift Cards - Print at Home,Gift Card,3,120,152,N,N,2012-01-28
US,37430078,R240PXVEATM1Y6,BT00CTOUNS,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,2,130,151,N,Y,2010-11-21
US,338223,R32PHGNOUNJVY2,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,1,111,150,N,Y,2015-07-06
US,30510060,R1CF3KSFQGIGWA,B001GXRQW0,246986987,Amazon.com Gift Cards,Gift Card,1,129,150,N,Y,2008-12-23
US,36070432,R385QWM9329ZY3,B00IX1I3G6,926539283,Amazon.com Gift Card Balance Reload,Gift Card,3,117,148,N,Y,2015-05-03
US,25541702,R1BVG0N11GIASC,BT00DDBSA6,45067361,Amazon.com Gift Cards - Facebook Delivery,Gift Card,3,132,146,N,Y,2012-01-22
US,42109601,R3F8P9RKJY9BQL,BT00CTP8KC,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,1,120,146,N,Y,2011-12-05
US,31046668,RDOIM444VIQQF,B007RFEL42,743153911,Amazon.com Gift Card in a White Gift Box (Classic White Card Design),Gift Card,3,126,145,N,Y,2012-08-14
US,42777870,R1UMNV7QG693SD,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,1,127,143,N,Y,2015-02-17
US,13509309,R122Z65JMSIOVO,B001GXRQW0,246986987,Amazon.com Gift Cards,Gift Card,1,119,141,N,N,2008-12-28
US,51117975,R3RVDQ6P8U04IH,B0091JKY0M,941945933,Amazon.com Gift Card for Any Amount in a Santa Tin (Ho! Ho! Ho! Card Design),Gift Card,1,127,141,N,Y,2012-12-11
US,16713848,RSUL5IVJXO8C7,B005S28ZES,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),Gift Card,2,127,140,N,N,2012-01-27
US,47786447,RB3CYW26MS11Z,B005DHN0L6,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),Gift Card,1,114,140,N,Y,2013-07-08
US,52166758,R2W8QHB54X1RSG,B00CMD8F50,268718841,Amazon.com Gift Card in a Ornament Tin (Merry Christmas Card Design),Gift Card,5,134,139,N,Y,2013-12-14
US,14390659,RQBDTLIFMSMIL,B007RFEL42,743153911,Amazon.com Gift Card in a White Gift Box (Classic White Card Design),Gift Card,5,135,138,N,Y,2013-05-31
US,13430483,RSI0XBJG7EYLW,B004LLIKVU,473048287,Amazon.com eGift Cards,Gift Card,1,111,138,N,Y,2012-10-14
US,26184352,R384JOUQJMAA7I,B005ESMGGY,379368939,"Amazon.com Gift Cards, Pack of 3 (Various Designs)",Gift Card,1,114,137,N,Y,2013-04-01
