marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,47364506,RXXPVOUH9NLL3,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,5,23755.0,24170.0,N,N,2008-07-08
US,29857793,R2DQNJRV27D3P0,B000EVOSE4,990977895,"Haribo Gummi Candy Gold-Bears,",Grocery,5,11045.0,11901.0,N,N,2014-10-22
US,49234072,RKT07YYORZMZE,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,3,9986.0,10304.0,N,N,2006-10-30
US,9286343,R3SC3RFGX29KPJ,B00012182G,554396858,Fresh Whole Rabbit,Grocery,1,7886.0,8076.0,N,N,2013-05-10
US,809523,R2JGNJ5ZPJT4YC,B000EVOSE4,990977895,"Haribo Gummi Candy Gold-Bears,",Grocery,1,6201.0,6900.0,N,N,2015-06-05
US,52173100,R2EM6PW9OUY2M6,B005F3IAPE,865843265,"Ekobrew Cup, Refillable Cup for Keurig 1.0, 2-Count",Grocery,5,4953.0,5119.0,N,Y,2011-08-16
US,53028980,R3K9PWS2J0S7AK,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,5,4595.0,4987.0,N,N,2006-08-10
US,42474371,RBGN1QI9NLHK8,B004CHQ1SM,575807584,Bragg Organic Raw Apple Cider Vinegar,Grocery,5,4597.0,4762.0,N,N,2013-11-05
US,52646151,R12WH787IYYYKN,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,5,3833.0,3979.0,N,N,2006-08-06
US,40198393,R20BTQ7K563AAX,B00012182G,554396858,Fresh Whole Rabbit,Grocery,4,3735.0,3964.0,N,N,2007-08-07
US,51692288,R2ZK0M3IKOKY89,B00012182G,554396858,Fresh Whole Rabbit,Grocery,5,3525.0,3606.0,N,N,2012-09-23
US,21155548,RHWQOBVFCXJL8,B002BHSKAC,82023917,Amazing Grass Green Superfood,Grocery,4,2869.0,3244.0,N,N,2010-02-06
US,29756036,R1I8XFCZD3QYN7,B006CQ1ZHI,178240057,"Death Wish Ground Coffee, Fair Trade and USDA Certified Organic",Grocery,5,2921.0,3085.0,N,Y,2013-11-13
US,16178857,R3B06L95DS9EIG,B00J074W7Q,2499702,"Orgain Organic Plant Based Protein Powder, Packaging May Vary",Grocery,5,2555.0,2649.0,N,Y,2014-12-15
US,29708975,R375AJCUKK1HC4,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,5,2410.0,2525.0,N,N,2006-08-10
US,11659941,R13K6BSNEGJFEM,B004391DK0,283534737,"Betty Crocker Bisquick Baking Mix, Gluten Free Pancake and Waffle Mix, 16 Oz Box",Grocery,5,2506.0,2518.0,N,N,2010-10-31
US,16123269,R1UY8VDG2ODEW,B000EVOSE4,990977895,"Haribo Gummi Candy Gold-Bears,",Grocery,1,2041.0,2457.0,N,N,2014-01-25
US,30680,R1J5BBXRX9CHUY,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,5,2334.0,2436.0,N,N,2014-09-15
US,36963320,R2IRWLDE3XV77E,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,5,2290.0,2433.0,N,N,2014-09-15
US,225978,R3PPXR9K4XQEHN,B002BHSKAC,82023917,Amazing Grass Green Superfood,Grocery,4,2208.0,2416.0,N,Y,2015-06-20
US,46566684,R3EKKEOXSSX02Z,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,5,2144.0,2243.0,N,N,2008-03-09
US,32001863,R5PVG0RWV5FYX,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,5,2135.0,2235.0,N,N,2014-09-15
US,49790186,R1WQS8H0LTDF9B,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,5,1996.0,2160.0,N,N,2009-05-25
US,27418577,R6XV5Q1ZZZVIP,B00012182G,554396858,Fresh Whole Rabbit,Grocery,3,1796.0,2002.0,N,N,2009-09-09
US,38147130,R2KXRTNFNFBIXH,B000FFLHU2,761498827,"Navitas Naturals Organic Maca Powder, 1 Pound Pouches",Grocery,1,1943.0,1988.0,N,N,2012-01-31
US,27684162,RWKCKR1Z45RBV,B00EKLPLU4,398216137,Healthworks Cacao Powder Parent,Grocery,1,1749.0,1857.0,N,Y,2015-01-28
US,38147130,R2VG2R52JGCO83,B0015P54R8,257105368,Healthworks Maca Powder Parent,Grocery,1,1705.0,1817.0,N,N,2014-04-13
US,22963362,RTNI3Z4D2T288,B00GN92KQ4,670665392,"Quirky Egg Minder Wink App Enabled Smart Egg Tray, PEGGM-WH01",Grocery,5,1719.0,1816.0,N,N,2013-11-25
US,45149195,R3J0HBZJTXSY4U,B000LL0R8I,572710338,Vita Coco Coconut Water,Grocery,5,1603.0,1724.0,N,N,2009-01-10
US,45666955,R2U1KVCGTGD0HN,B006J1FBLM,348455192,"Haribo SUGAR FREE Classic Gummi Bears, 1 Lb",Grocery,5,1542.0,1685.0,N,N,2014-04-25
US,47548279,RD3H21ZFMGPPO,B006CQ1ZHI,178240057,"Death Wish Ground Coffee, Fair Trade and USDA Certified Organic",Grocery,4,1544.0,1683.0,N,Y,2015-06-15
US,43534782,RRH7T5LGYJ4E2,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,3,1561.0,1666.0,N,N,2006-09-19
US,49099774,RH9XL59NS0OWA,B007TGDXNO,267956568,San Francisco Bay One Cup,Grocery,5,1513.0,1591.0,N,Y,2014-01-13
US,40572066,R17LAP66N24MJC,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,5,1504.0,1581.0,N,N,2014-09-15
US,14948685,R16SPNVFOJXWXE,B001PQTYN2,369606718,"Dave's Gourmet Sauce, 5 Ounce",Grocery,5,1549.0,1579.0,N,N,2009-12-15
US,36536873,R3HQTOYRJ3ABGI,B001F10XUU,844518523,"Vita Life Brand Matcha Green Tea Powder, 10.58oz.",Grocery,1,1488.0,1523.0,N,N,2011-07-02
US,15071070,R26EYBEDOKH4SC,B007TGDXMK,267956568,San Francisco Bay One Cup,Grocery,5,1445.0,1496.0,N,Y,2013-02-14
US,19709545,R3VMRG0YZIYUMY,B00FJYTGBG,166681885,Death Wish Single Serve Capsules for Keurig K-Cup Style Brewing Systems,Grocery,5,1406.0,1472.0,N,Y,2014-10-30
US,33655569,R1YBIKZK08B8KB,B00V4KWGEI,187479379,"Epic All Natural Meat Bar, 100% Natural",Grocery,1,1377.0,1463.0,N,Y,2015-08-15
US,42621512,RWR25XYKEAQXN,B0032RPLSY,49027455,Grassfed Organic Ghee - Pure Indian Foods Brand,Grocery,3,1316.0,1451.0,N,Y,2013-01-09
US,43449752,RN0CAVDL8IL89,B001ELLBJS,356715615,"Great Lakes Unflavored Gelatin, Kosher, 16 Ounce Can",Grocery,5,1373.0,1438.0,N,N,2013-05-02
US,10359052,R30NYYXJFMIXVM,B001BM4JLC,715219734,Earth's Best Organic Soy Infant Formula with Iron,Grocery,1,1207.0,1415.0,N,N,2010-01-09
