marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,48970756,R3IZ72Z3AJ1DCF,B00N2BW2PK,366100425,Fitbit Charge HR Wireless Activity Wristband,Health & Personal Care,5,16401.0,17182.0,N,Y,2015-01-17
US,20087834,R2QP56S5P2DEGA,B000KKNQBK,988199592,Veet for Men Hair Removal Gel Creme 200ml (1),Health & Personal Care,5,12983.0,13272.0,N,N,2012-07-03
US,21396359,RFWM0CFO0UMWY,B00B9OYLC4,833576761,"Kleenex Facial Tissue, White",Health & Personal Care,5,10763.0,10867.0,N,N,2013-12-08
US,9286343,R3IKIXCIYNNWVD,B005MR3IVO,778348557,"Passion Lubes, Natural Water-Based Lubricant",Health & Personal Care,3,8020.0,8312.0,N,N,2013-06-15
US,25213868,R31RH7W0AX7OJA,B00BGO0Q9O,305113156,"Fitbit Flex Wireless Wristband with Sleep Function, Black",Health & Personal Care,2,7721.0,8160.0,N,N,2013-04-16
US,40182057,R3SNTSII1C8R1X,B007BISCT0,696915084,"Squatty Potty The Original Bathroom Toilet Stool, White, 9""",Health & Personal Care,5,7890.0,8130.0,N,Y,2013-11-06
US,2389997,R15Z5HQKB7HZCZ,B000VY8836,351432341,Banana Bunker (Color: Yellow),Health & Personal Care,3,7482.0,7526.0,N,N,2013-09-07
US,31334469,ROJHG7VFKPZOC,B001KXZ808,949699275,EatSmart Precision Digital Bathroom Scale with Extra Large Lighted Display,Health & Personal Care,5,6792.0,6981.0,N,Y,2009-01-23
US,50529140,R1DDQJ9WK0NH5V,B001ADL1SG,940397460,Crane Drop Ultrasonic Cool Mist Humidifier - Aqua,Health & Personal Care,5,6643.0,6757.0,N,N,2009-12-19
US,42170574,R16VHJLYVB5VZV,B004VGIGVY,365187901,"GermGuardian AC4825 3-in-1 Air Purifier with True HEPA Filter, UV-C Sanitizer, Captures Allergens, Smoke, Odors, Mold, Dust, Germs, Pets, Smokers, 22-Inch Germ Guardian Air Purifier",Health & Personal Care,5,6200.0,6300.0,N,Y,2012-07-21
US,14185349,RUKNVFK4ADF7O,B000QSNYGI,194076346,"Optimum Nutrition Gold Standard 100% Whey Protein Powder, Double Rich Chocolate",Health & Personal Care,5,4999.0,5746.0,N,N,2011-08-28
US,25769100,R3PZXY6D68YF3E,B007S6Y74O,226932576,Garden of Life Raw Organic Meal,Health & Personal Care,3,5378.0,5650.0,N,Y,2014-03-28
US,34191903,R1LF7VHD9NF8GI,B005MR3IVO,778348557,"Passion Lubes, Natural Water-Based Lubricant",Health & Personal Care,4,5237.0,5468.0,N,N,2011-10-12
US,43640861,R1IPY6W08W0V36,B00V9JP8EE,301579594,"InnoGear Aromatherapy Essential Oil Diffuser Portable Ultrasonic Diffusers with Color LED Lights Changing and Waterless Auto Shut-off Function for Home Office Bedroom Room, 100 mL",Health & Personal Care,1,5126.0,5378.0,N,Y,2015-07-27
