marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,21392702,R1E4ES1MR64TVI,B00DR0PDNE,343185803,Google Chromecast HDMI Streaming Media Player,Home Entertainment,5,10020,10462,N,N,2013-07-27
US,15339219,RA1DUT58FNLNX,B00DR0PDNE,343185803,Google Chromecast HDMI Streaming Media Player,Home Entertainment,4,7228,7911,N,Y,2013-07-24
US,18295203,R46J4PFCGPCJ7,B00L403O8U,962211121,Samsung UN105S9 Curved 105-Inch 4K Ultra HD 120Hz 3D Smart LED TV,Home Entertainment,5,7564,7854,N,N,2014-10-16
US,16212322,R1LX3I0YLAQJJQ,B00CMEN95U,511941195,Samsung UN85S9 Framed 85-Inch 4K Ultra HD 3D Smart LED TV,Home Entertainment,5,7170,7662,N,N,2013-12-04
US,18515497,R2L9HN8REXAAN6,B00CMEN95U,511941195,Samsung UN85S9 Framed 85-Inch 4K Ultra HD 3D Smart LED TV,Home Entertainment,5,7154,7490,N,N,2013-12-05
US,28588816,R1ZPXBKTYAMN25,B00CMEN95U,511941195,Samsung UN85S9 Framed 85-Inch 4K Ultra HD 3D Smart LED TV,Home Entertainment,1,5937,6471,N,N,2013-12-04
US,47534425,RJ0BES0I3OHXN,B007I5JT4S,806432372,Apple TV MD199LL/A (Current Version),Home Entertainment,5,5372,5683,N,N,2012-03-18
US,52938899,R1905PDEZ1CIHQ,B00BGGDVOO,219655965,Roku 3 Streaming Media Player,Home Entertainment,5,5202,5430,N,N,2013-03-06
US,52938899,R10324LW9R08XZ,B00INNP5VU,30853641,Roku Streaming Stick (3500R) (2014 Model),Home Entertainment,5,5263,5357,N,Y,2014-03-27
US,42796400,R30C461L39YLF8,B001T6K7G6,869162601,Toshiba DVD/VHS Recorder (DVR620) (Discontinued 2009 Model),Home Entertainment,4,4939,4999,N,Y,2009-12-16
US,39265891,R2Z1JJHPMGQCIZ,B00CMEN95U,511941195,Samsung UN85S9 Framed 85-Inch 4K Ultra HD 3D Smart LED TV,Home Entertainment,5,3482,4058,N,N,2013-12-01
US,12097769,R32I98JASZGB8D,B00L403O8U,962211121,Samsung UN105S9 Curved 105-Inch 4K Ultra HD 120Hz 3D Smart LED TV,Home Entertainment,4,3627,3801,N,N,2014-11-20
US,50343993,R25762TKJ7KH4I,B00CMEN95U,511941195,Samsung UN85S9 Framed 85-Inch 4K Ultra HD 3D Smart LED TV,Home Entertainment,3,3458,3730,N,N,2014-01-02
US,34616816,R2RJ027JAOMF5I,B00CMEN95U,511941195,Samsung UN85S9 Framed 85-Inch 4K Ultra HD 3D Smart LED TV,Home Entertainment,5,3387,3646,N,N,2014-01-28
US,34119691,R38RQLZVFEWVZE,B00CMEN95U,511941195,Samsung UN85S9 Framed 85-Inch 4K Ultra HD 3D Smart LED TV,Home Entertainment,5,3265,3619,N,N,2013-12-04
US,52866618,R2B25O0TNDSL26,B0074FGNJ6,837596520,Samsung UNEH5300 1080p 60 Hz LED HDTV (Black),Home Entertainment,5,3488,3604,N,Y,2012-06-16
US,18792620,R3J3RDH5QXHZ9X,B00CMEN95U,511941195,Samsung UN85S9 Framed 85-Inch 4K Ultra HD 3D Smart LED TV,Home Entertainment,5,3137,3374,N,N,2014-01-28
US,51879656,R3RABS3UJNFDZL,B00CMEN95U,511941195,Samsung UN85S9 Framed 85-Inch 4K Ultra HD 3D Smart LED TV,Home Entertainment,3,2967,3293,N,N,2013-12-04
US,44499038,R8LWEW3H3RYWN,B00CMEN95U,511941195,Samsung UN85S9 Framed 85-Inch 4K Ultra HD 3D Smart LED TV,Home Entertainment,5,2942,3260,N,N,2013-12-04
US,29182364,R3PKR8AD71F0CI,B00VVKCA9C,548886188,TCL 32S3800 32-Inch 720p 60Hz Smart LED TV (Roku TV),Home Entertainment,5,3058,3202,N,Y,2015-08-05
US,48359540,R33MLGU6CWDCN0,B00BGGDVOO,219655965,Roku 3 Streaming Media Player,Home Entertainment,5,2815,2971,N,Y,2013-03-08
US,45189192,R32G9D1HHDBR45,B00723QKVQ,599641152,Samsung 1080p LED HDTV,Home Entertainment,3,2506,2656,N,N,2012-10-21
US,50929961,R1CN46NY9IG342,B00I94IPXS,681704590,Samsung 75-Inch 1080p 120Hz Smart LED TV,Home Entertainment,1,2245,2568,N,Y,2014-05-21
US,35761600,R350ZOTGO2ZOJ4,B00L403O8U,962211121,Samsung UN105S9 Curved 105-Inch 4K Ultra HD 120Hz 3D Smart LED TV,Home Entertainment,5,2407,2557,N,N,2014-12-09
US,49837039,RE4Q151MVB4RV,B005CLPP84,820971376,Roku 2 XS 1080p Streaming Player (Old Model),Home Entertainment,5,2394,2463,N,N,2011-07-29
US,23523092,RL2RS1NOE894I,B00L403O8U,962211121,Samsung UN105S9 Curved 105-Inch 4K Ultra HD 120Hz 3D Smart LED TV,Home Entertainment,5,2250,2434,N,N,2014-10-27
US,53095958,R2OOI5BIV90OW3,B00BGGDVOO,219655965,Roku 3 Streaming Media Player,Home Entertainment,5,2254,2410,N,Y,2013-03-12
