marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,52961859,R3IMEYJFO6YWHD,B00FLZEQH2,182457121,"Honeywell Home/Bldg Center RTH9580WF1005/W1 Wi-Fi Thermostat, 7-Day, Touch-Screen",Home Improvement,5,13267.0,13736.0,N,N,2014-03-26
US,11047660,R1KD7Q92LDK4KK,B009GDHYPQ,269683078,"Nest Learning Thermostat, 2nd Generation, Works with Amazon Alexa",Home Improvement,1,5394.0,5628.0,N,N,2013-12-18
US,30998596,R3AEEHRYY6BFJN,B00N2ZDXW2,876003358,Ring Wi-Fi Enabled Video Doorbell,Home Improvement,3,5399.0,5573.0,N,N,2015-04-17
US,46988209,R2RPGVN5XJVFA5,B009GDHYPQ,269683078,"Nest Learning Thermostat, 2nd Generation, Works with Amazon Alexa",Home Improvement,1,3020.0,3384.0,N,Y,2013-04-09
US,14905473,R2SYN7DGUUCYQV,B005IF5LW4,533954598,Paint Zoom Paint Sprayer,Home Improvement,1,2896.0,2970.0,N,N,2011-10-02
US,52847433,R1KU2FZ8194S5N,B001PBYQHG,919865743,SimpliSafe Wireless Home Security Command,Home Improvement,4,2795.0,2912.0,N,N,2012-12-04
US,42964219,R1SOHBS8V4BTVI,B000HZ8RN0,737393628,Southwest Specialty Products 30007C Barbasol Can Safe,Home Improvement,5,2576.0,2710.0,N,N,2010-03-03
US,52481410,R21Y7PIUCDCM5O,B001892AX2,448452019,Himalayan Glow Natural Himalayan Lamp with Light Bulb and Dimmer Switch,Home Improvement,5,2286.0,2405.0,N,Y,2011-03-22
US,31785135,R7ZECIGIZ09AA,B001C3YADM,448452019,Himalayan Glow Natural Himalayan Lamp with Light Bulb and Dimmer Switch,Home Improvement,5,2216.0,2359.0,N,Y,2013-11-11
US,19341785,R1Y7TFKIZ6ZWK4,B00002ND64,468107572,"Kidde FA110 Multi Purpose Fire Extinguisher 1A10BC, 1 Pack",Home Improvement,1,2152.0,2246.0,N,N,2015-01-23
US,45431873,RRYIGMIMGWLNJ,B002635ODW,879567291,Ecosmart ECO,Home Improvement,5,2179.0,2212.0,N,N,2013-11-13
