marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,53090835,R2YSBSJ205MQQZ,B00009R66F,501912850,"Hoover SteamVac Carpet Cleaner with Clean Surge, F5914900",Home,5.0,7917.0,8000.0,N,N,2005-12-01
US,26344955,R4PRF7ZPMCBVQ,B0028MB3HM,50790877,Shark Steam Pocket Mop (S3501),Home,5.0,6908.0,7003.0,N,N,2009-09-17
US,47727200,R1EFRWD7XY7W90,B007LLNMEC,854182644,MyPillow Go Anywhere Travel Bed Pillow - My Pillow - 12” wide x 18” long - Made in USA,Home,5.0,6489.0,6783.0,N,N,2012-04-30
US,47936304,RTFHWBWBEPU6O,B008LX6OC6,269721749,iRobot Roomba 650 Robot Vacuum,Home,5.0,6459.0,6635.0,N,Y,2012-11-16
US,48826248,R3L27WDTUA6Y5D,B00AZBIZTW,997519815,"BISSELL CleanView Upright Vacuum with OnePass, 9595A (Same as 9595)",Home,5.0,6405.0,6520.0,N,Y,2013-04-07
US,40206972,R7BCZTFBSI7KP,B0000CBK1L,97137943,Brother 1034D 3/4  Thread Serger with Differential Feed,Home,5.0,6441.0,6483.0,N,Y,2006-09-13
US,24936774,R2J8JRXPEBJAY6,B001LYFBHG,870379245,"Eureka Enviro Hard-Surface Floor Steamer, 313A",Home,5.0,6299.0,6348.0,N,Y,2009-08-07
US,47796335,R2XOBBSOA99ELJ,B009ZJ2M7G,965785990,Hoover FH50150 Carpet Basics Power Scrub Deluxe Carpet Cleaner,Home,5.0,5670.0,5758.0,N,N,2014-05-02
US,24936774,R2U0WBRUIMTHZI,B000RPVHZU,597196152,"Bissell Steam Mop Hard-Floor Cleaner, Green Tea, 1867-7",Home,1.0,5550.0,5600.0,N,N,2009-11-02
US,53084141,R26E85ID3835QN,B005KMDV9A,493942428,Shark Navigator Lift-Away Professional Vacuum,Home,4.0,5027.0,5166.0,N,N,2012-03-08
US,21870131,RPK089GRGVMP9,B00007E7RY,490089398,Honeywell True HEPA Air Purifier,Home,5.0,5018.0,5110.0,N,Y,2007-03-05
US,36695257,R1M3I80G3VINOH,B000UUBCNO,26009159,"iRobot 560 Roomba Vacuuming Robot, Black and Silver",Home,4.0,4993.0,5033.0,N,Y,2007-09-17
