marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,52800105,RVP2P53DDS5NX,B007TIE0GQ,19854895,Magic Bullet NutriBullet 12-Piece Hi-Speed Blender/Mixer System,Kitchen,5.0,11173.0,11501.0,N,N,2012-06-14
US,38042381,R309EP2VIHELN5,B00FLYWNYQ,757165655,"Instant Pot IP-DUO60 7-in-1 Multi-Functional Pressure Cooker, 6Qt/1000W",Kitchen,5.0,9369.0,9800.0,N,Y,2014-01-16
US,49975247,R3QNE7XECEKO3R,B000MDHH06,221004561,Breville BJE200XL Compact Juice Fountain 700-Watt Juice Extractor,Kitchen,5.0,6457.0,6552.0,N,Y,2007-08-24
US,15618093,R1Y6HAG192M0KV,B001KYT6CS,38611314,Sodastream Fountain Jet Soda Maker Starter Kit,Kitchen,5.0,6109.0,6356.0,N,N,2011-11-17
US,28920008,R361WUT8KSFUZA,B0007Y9WHQ,49516583,Paderno World Cuisine Spiral Vegetable Slicer / Countertop-Mounted Plastic Spiralizer Basic incl. 3 Different Blades Made of Stainless Steel,Kitchen,5.0,5971.0,6226.0,N,Y,2011-05-04
US,21255155,R1SU8RMZ930Y3T,B000GXZ2GS,302242452,AeroPress Coffee Maker,Kitchen,5.0,5966.0,6031.0,N,N,2010-08-24
US,53043933,R1WN790YI25X21,B0007Y9WHQ,49516583,Paderno World Cuisine Spiral Vegetable Slicer / Countertop-Mounted Plastic Spiralizer Basic incl. 3 Different Blades Made of Stainless Steel,Kitchen,5.0,5684.0,5787.0,N,Y,2010-07-04
US,53068139,R28TRKV59BXCSC,B0002VAFVG,4794165,Breville 800JEXL Juice Fountain Elite 1000-Watt Juice Extractor,Kitchen,5.0,5369.0,5495.0,N,N,2005-12-12
US,52058716,R1ELE0MHC595VF,B001L7OIVI,128015556,Omega J8006 Nutrition Center masticating Dual-stage Juicer Juice Extractor,Kitchen,4.0,5159.0,5245.0,N,Y,2012-02-09
US,38675933,R1A8ZYV4SN8EAC,B0047E0EII,173435325,Hutzler 571 Banana Slicer,Kitchen,2.0,4276.0,4827.0,N,N,2012-12-19
US,34834740,R4JR2ELZR8PY9,B001N0BBAY,310632085,EatSmart Precision Pro - Multifunction Digital Kitchen Scale w/ Extra Large LCD and 11 Lb. Capacity,Kitchen,2.0,4520.0,4603.0,N,Y,2009-05-19
US,44167324,RPOTTCVHOJ70J,B001802PIQ,77569690,Hario Skerton Ceramic Coffee Mill (100g),Kitchen,5.0,4515.0,4546.0,N,Y,2012-09-26
US,50321374,R5JC52JZSR1J6,B003R28HWQ,654475665,Breville JE98XL Juice Fountain Plus 850-Watt Juice Extractor,Kitchen,5.0,4475.0,4546.0,N,N,2011-12-14
US,49715050,R1GQ6B0IMV4ILS,B008P8LAVW,980279941,Breville BJS600XL Fountain Crush Masticating Slow Juicer,Kitchen,3.0,4009.0,4426.0,N,N,2012-11-05
US,9286343,R22XFS5M1XDO8X,B0050386CG,655041327,"Westland Giftware Star Trek Magnetic Spock and Captain Kirk Salt and Pepper Shaker Set, 4-1/2-Inch",Kitchen,3.0,3921.0,3964.0,N,N,2013-06-11
US,34623448,R382B3E5C0AEZS,B0000645YL,260097074,Cuisinart DLC-2A Mini-Prep Plus Food Processor (White),Kitchen,4.0,3895.0,3943.0,N,Y,2004-09-25
US,44444520,RLHJ8NCVZM4W6,B00006JSUA,459085011,Lodge Skillset,Kitchen,5.0,3793.0,3925.0,N,Y,2007-11-17
US,9286343,R3TME1B7I8BMV,B004DNIXEK,181080877,Deer Rear with Bottle Opener,Kitchen,5.0,3853.0,3893.0,N,N,2013-05-31
US,52173100,R202R0V25WWOM4,B000TYBWIG,203002594,Presto FlipSide Belgian Wafflemaker,Kitchen,5.0,3828.0,3887.0,N,Y,2011-11-12
US,16418331,R39EAXTUTTOIMF,B0047E0EII,173435325,Hutzler 571 Banana Slicer,Kitchen,1.0,3374.0,3753.0,N,N,2013-01-04
US,32768809,R19XNTNXP3BKPN,B000F49XXG,813710857,De'Longhi EC155 15 BAR Pump Espresso and Cappuccino Maker,Kitchen,5.0,3609.0,3676.0,N,Y,2007-04-23
US,38547629,R3CSWHGDK1D8DZ,B005L3NIRS,969092350,Melitta 46894 10-Cup Thermal Coffeemaker with Standard Packaging,Kitchen,3.0,3572.0,3614.0,N,Y,2012-07-24
US,13353138,R1U5V42ZNZ2JPC,B00MZZXO4W,218695051,Power Pressure Cooker XL,Kitchen,5.0,3495.0,3614.0,N,N,2014-11-04
US,44777060,R2YLXN83KGLS4O,B00AQ9NIO0,111621633,Keurig K45 Elite Coconut White Single Cup Home Brewing System,Kitchen,5.0,3514.0,3607.0,N,N,2013-06-21
US,12144348,R1QFQUKRUW6P6U,B000AQSMPO,840314152,Keurig B60 Special Edition Brewing System,Kitchen,5.0,3483.0,3566.0,N,N,2005-11-15
US,30895204,R1N7DVTDPZAAM8,B000F49XXG,813710857,De'Longhi EC155 15 BAR Pump Espresso and Cappuccino Maker,Kitchen,5.0,3470.0,3538.0,N,Y,2011-08-29
US,53004461,R2LD10TAEEJ5O7,B001KYWRZG,456196282,"SodaStream Jet Starter Kit, White",Kitchen,1.0,3105.0,3519.0,N,N,2009-06-26
US,16114717,R96INS5O68TWK,B00MZZXO4W,218695051,Power Pressure Cooker XL,Kitchen,1.0,3005.0,3438.0,N,N,2014-11-30
US,16833612,R1FJDWPUM5BU59,B003VWXXXK,748325832,Ninja Professional Blender (NJ600) (Discontinued),Kitchen,1.0,3133.0,3436.0,N,N,2010-11-28
US,36435775,RUW4IYXTV5BTF,B000FFVJ3C,968290076,"Englewood Marketing Group FD-75PR Professional Food Dehydrator, 5 Trays, 600-Watt",Kitchen,5.0,3384.0,3430.0,N,Y,2007-05-15
