marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,9286343,R1MDX0KWYURSG9,B00CMB2JVS,15959980,Matrix Zorb Cold Weather Human Hamster Ball Zorb Inflatable 3M Industrial TPU,Lawn and Garden,5.0,5841.0,5904.0,N,N,2013-08-09
US,36622842,RQYWWM0ZZ4ZOF,B00004R9VV,29698804,Flowtron Electronic Insect Killer,Lawn and Garden,5.0,4135.0,4264.0,N,Y,2009-06-24
US,47206290,R2PBMWUR66R7JQ,B000668Z96,842660215,Victor M230A and Combo,Lawn and Garden,5.0,3328.0,3364.0,N,Y,2010-06-04
US,11359586,RXBMM9F7QE4UV,B00CPGMUXW,828631786,Sun Joe SPX3000 Pressure Joe 2030 PSI 1.76 GPM 14.5-Amp Electric Pressure Washer,Lawn and Garden,5.0,3038.0,3163.0,N,Y,2014-03-23
US,34708527,RB3S7M85N199O,B000E1RIUU,149173301,Victor Electronic Mouse Trap,Lawn and Garden,5.0,3046.0,3074.0,N,N,2008-11-19
US,53089094,R2BJ7GXCST6H7S,B001I8ZTJ0,990251148,"Weber 711001 Smokey Mountain Cooker 14-Inch Charcoal Smoker, Black",Lawn and Garden,5.0,2867.0,2909.0,N,Y,2010-08-17
US,10466686,R2MNFZKKTUETT0,B00025H2PY,592807498,Diatomaceous Earth Food Grade 10 Lb,Lawn and Garden,5.0,2429.0,2513.0,N,Y,2013-04-16
US,38828424,RU1N9NUY1O869,B002Z8E52Y,199845000,"AR Blue Clean AR383 1,900 PSI 1.5 GPM 11 Amp Electric Pressure Washer With Hose Reel",Lawn and Garden,3.0,2255.0,2291.0,N,Y,2010-08-22
US,12957561,R2EI63CK2Z6CUD,B0015MF8O0,875775650,"Lifetime 6405 Outdoor Storage Shed with Window, Skylights, and Shelving, 8 by 10 Feet",Lawn and Garden,3.0,2255.0,2279.0,N,N,2009-10-19
US,28297512,RLDCFUR1X57S,B00HHO0IEU,151911415,Intex PureSpa Portable Bubble Massage Spa Set,Lawn and Garden,2.0,2165.0,2255.0,N,N,2014-08-27
US,48995766,R2A1M8ZCWJTLSN,B000HJBKMQ,834273114,TERRO T300 Liquid Ant Baits - 6 Pack,Lawn and Garden,5.0,2138.0,2197.0,N,Y,2009-04-15
US,44086587,R3KLOCR9VN9HW9,B009IH0BZ0,337202031,Weber 6492 Original Instant-Read Thermometer,Lawn and Garden,5.0,2046.0,2088.0,N,Y,2013-04-05
US,52825479,R1T4O0DII68KML,B002ZVOLXE,766277751,GreenWorks 25022 12 Amp Corded 20-Inch Lawn Mower,Lawn and Garden,5.0,2018.0,2055.0,N,N,2011-08-25
US,47635166,R3KNN2M4523G4N,B000071NUS,525403212,Ortho 0401604 Scarecrow Motion Activated Animal Repellent,Lawn and Garden,5.0,1993.0,2019.0,N,N,2010-08-13
US,38627994,R363G89WT334IA,B0051OA7QC,975261441,Survival Seed Vault - Heirloom Emergency Survival Seeds - Plant a Full Acre Crisis Victory Garden - 20 Easy-to-grow Varieties,Lawn and Garden,2.0,1878.0,1928.0,N,N,2013-12-03
US,11997054,R3F1TNACKYJX6Q,B00025H2PY,592807498,Diatomaceous Earth Food Grade 10 Lb,Lawn and Garden,5.0,1823.0,1914.0,N,Y,2013-02-19
US,24196735,R1MBX5CB8I2MV3,B00CPGMUXW,828631786,Sun Joe SPX3000 Pressure Joe 2030 PSI 1.76 GPM 14.5-Amp Electric Pressure Washer,Lawn and Garden,3.0,1805.0,1868.0,N,Y,2015-07-15
US,30928512,RZIBO8H50MQAO,B0045VL1OO,219070182,Fiskars 18 Inch Staysharp Max Reel Mower,Lawn and Garden,5.0,1822.0,1866.0,N,Y,2011-02-03
US,49442598,R8M7XLZ6WK19B,B00004RA3E,582733498,Great States 2000-20S 20-In. Classic Reel Mower,Lawn and Garden,5.0,1789.0,1845.0,N,N,2001-08-28
US,44546284,RT63DILE4VLBB,B00104WRCY,480581003,"Masterbuilt 20070910 30-Inch Black Electric Digital Smoker, Top Controller",Lawn and Garden,4.0,1672.0,1740.0,N,N,2009-01-08
