marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,44130500,R2F0QWDSFE4FWH,B004HKSENY,484479082,Rockland Melbourne 20-Inch Expandable Abs Carry On Luggage,Luggage,3.0,1992.0,2030.0,N,N,2014-07-27
US,36886119,R1388A5JLKT2BY,B003IT7490,535869953,U.S. Traveler New Yorker 4 Piece Luggage Set Expandable,Luggage,5.0,1027.0,1059.0,N,Y,2011-05-19
US,48027112,R17EFWJBACTRH,B001QYEC6W,394024281,"Olympia Luggage 22"" 8 Pocket Rolling Duffel Bag",Luggage,5.0,1010.0,1014.0,N,Y,2015-02-08
US,12135645,R2ZS9AUN31WJLR,B00JQXSO6O,236963598,Everest Signature Waist Pack - Standard,Luggage,5.0,926.0,948.0,N,N,2014-07-02
US,27075790,R1AGAG6A6WKO8L,B003SMJCE2,809642356,U.S Traveler Rio Two Piece Expandable Carry-on Luggage Set (15-Inch and 21-Inch),Luggage,5.0,922.0,937.0,N,Y,2012-12-20
US,35170890,R1CHOWQSXF4OT2,B007UNSHHI,810480328,American Tourister Pop Spinner - 3 Piece,Luggage,4.0,895.0,921.0,N,Y,2013-01-02
US,12614099,R24E1CH0MH069W,B00DVIF8DW,456194987,American Tourister Luggage Fieldbrook II 4 Piece Set,Luggage,2.0,726.0,767.0,N,Y,2014-05-06
US,11277189,R3L7YM0A9KI364,B002VECWXG,826569695,Kenneth Cole Risky Business Messenger Bag,Luggage,5.0,749.0,761.0,N,N,2010-04-11
US,53048570,RIUE7PEQNJ995,B004C0ZW8O,795891549,eBags Medium Packing Cubes - 3pc Set,Luggage,5.0,744.0,751.0,N,Y,2011-02-17
US,50193598,R1XJT1MPQH1V6J,B001CZT4I6,421164636,"Travelon Set of 7 Packing Envelopes, Assorted Sizes",Luggage,1.0,711.0,728.0,N,Y,2010-06-25
US,46353120,R3MNRB55VTFBEL,B004XAVT8K,681410218,Samsonite Colombian Leather Flap-Over Laptop Messenger Bag,Luggage,5.0,719.0,727.0,N,Y,2014-02-17
