marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,48401385,R2WHCIU5P5HBYW,B00AW04ZMM,962476921,Panda Small Compact Portable Washing Machine 7.9-15lbs with Spin Cycle …,Major Appliances,5,1724,1761,N,N,2013-06-12
US,47456445,R1HULR41LNQPBK,B002C8HR9A,713534827,The Laundry Alternative Wonderwash Non-electric Portable Compact Mini Washing Machine,Major Appliances,4,1451,1479,N,N,2009-09-23
US,12735699,R1UKTJB42AVO4Q,B00AW04ZMM,962476921,Panda Small Compact Portable Washing Machine 7.9-15lbs with Spin Cycle …,Major Appliances,4,1279,1331,N,Y,2013-04-27
US,38614358,R3IGYBBPK1MGX9,B002HT0958,387104338,Mini Portable Countertop Spin Dryer,Major Appliances,4,1267,1311,N,Y,2010-04-29
US,38614358,R1JFPKCJCABJN4,B002UYSHMM,429051224,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,Major Appliances,5,1194,1233,N,N,2010-05-23
US,48401385,R36TSZGK4NR8KO,B005GM942C,788261054,Panda Small Mini Counter Top Portable Compact Washer Washing Machine 5.5-10lbs,Major Appliances,5,1089,1108,N,Y,2011-11-28
US,18910601,R34U8Q8AXJNPIV,B002C8HR9A,713534827,The Laundry Alternative Wonderwash Non-electric Portable Compact Mini Washing Machine,Major Appliances,3,894,938,N,N,2011-04-04
US,19687813,R13VJIOLTQ5JRJ,B000N6302Q,425600013,"NewAir AI-100R 28-Pound Portable Icemaker, Red",Major Appliances,5,889,900,N,Y,2013-07-30
US,39708454,R21QC66WP1CLFZ,B004MX8XO6,451436203,SPT Countertop Dishwasher,Major Appliances,5,874,894,N,Y,2011-10-10
US,53035876,RX1ZUVGBH3HKC,B00NQFSSWS,692404913,Samsung Counter Top Microwave,Major Appliances,5,814,848,Y,N,2015-01-19
US,38575075,R3L6I1VQJR7M2A,B007V7G5TU,423421857,Danby 0.7 cu.ft. Countertop Microwave,Major Appliances,5,763,811,N,N,2014-10-17
US,7436215,R2QZHH2ID0I9QO,B004MX8XO6,451436203,SPT Countertop Dishwasher,Major Appliances,5,762,776,N,N,2013-07-11
US,49763188,R3RXUOXML1JENE,B0057WCGJ4,745613395,"Bosch 800 Series SHX68T55UC Fully Integrated Built-in Dishwasher 24"" in Stainless Steel",Major Appliances,5,720,731,N,N,2014-05-12
US,21025014,R3NEZJZKUJ9SQ6,B00IY7BNUW,874236579,Avalon Bay Portable Ice Maker,Major Appliances,4,652,675,N,Y,2014-08-12
US,43342040,R3QYWPJBYGX4HU,B002MPLYEW,183067183,"Danby 120 Can Beverage Center, Stainless Steel DBC120BLS",Major Appliances,5,630,671,N,Y,2014-04-18
US,46458481,R198FD4BB6D1U2,B00LIAP2ZY,545041103,"LG WM3997HWA Ventless 4.3 Cu. Ft. Capacity Steam Washer/Dryer Combination with TurboWash, TrueBalance Anti-Vibration System, NeveRust Stainless Steel Drum, Allergiene Cycle in White",Major Appliances,5,650,659,N,N,2015-05-03
US,50952309,R2WTS0WM91N01E,B0002KXMT4,316014543,Haier HLP21N 6.6-Pound Pulsator Wash with Stainless Steel Tub,Major Appliances,4,626,636,N,N,2006-12-04
US,41517642,R1POHYCR4931NA,B00BJPXXEA,3732010,Igloo Ice Maker,Major Appliances,5,611,630,N,Y,2014-12-15
US,26292529,R2FPUQ2LQDNXRQ,B002C8HR9A,713534827,The Laundry Alternative Wonderwash Non-electric Portable Compact Mini Washing Machine,Major Appliances,5,580,602,N,Y,2013-10-30
US,12446780,R3EZQEC04VZP28,B002UYSHMM,429051224,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,Major Appliances,3,579,602,N,N,2010-03-31
US,51097811,R1QSF6VKDCBIU2,B004MX8XO6,451436203,SPT Countertop Dishwasher,Major Appliances,5,570,589,N,Y,2011-10-27
US,52894624,R2TQ1DNW8TYY3F,B0051OKX2U,541805727,The pureWash Professional-Grade Ionic Laundry Purifier (High-Efficiency Washers),Major Appliances,5,572,588,N,Y,2012-05-09
US,47817090,R16GKF7SM8ELZH,B0046JM2H0,117338289,Speed Queen AWN432 - Washer Top Load,Major Appliances,5,570,577,N,N,2011-09-29
US,24042059,R3QHAOSS9CPCW2,B005AHL2FA,543777005,Speed Queen AWN412S 26 Top-Load Washer 3.3 cu. ft. Capacity,Major Appliances,5,555,571,N,N,2013-02-05
US,27323392,RSGQ33UW8MU94,B00BJPXXEA,3732010,Igloo Ice Maker,Major Appliances,1,514,568,N,N,2014-05-26
