marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,44529272,R2GGKSP6N1H43O,B00B2V66VS,148127986,Temple Run 2,Mobile_Apps,5,10466,12016,N,Y,2013-01-24
US,23140056,R2NUCQP4QK549U,B009UX2YAC,879319057,Subway Surfers,Mobile_Apps,5,8803,10514,N,Y,2012-11-23
US,46730149,R1VXCSQJFH200N,B00B2V66VS,148127986,Temple Run 2,Mobile_Apps,5,9124,10485,N,Y,2013-01-24
US,21730287,R1YHX7YAW3DNP6,B009UX2YAC,879319057,Subway Surfers,Mobile_Apps,5,7722,9220,N,Y,2012-10-24
US,25451642,R2HSZTINA332XT,B008PPGFZG,775500639,Instafire - Instagram Client,Mobile_Apps,5,7696,8681,N,N,2012-11-18
US,46647819,R2BSMJQ7IOJ5GF,B00B2V66VS,148127986,Temple Run 2,Mobile_Apps,5,7402,8516,N,Y,2013-01-25
US,48243885,R3Q7O0ZYNUVPLM,B005ZXWMUS,607278579,Netflix,Mobile_Apps,2,6860,8516,N,Y,2011-11-28
US,8764918,R3PCTKSZCR0R7H,B005ZXWMUS,607278579,Netflix,Mobile_Apps,5,6286,7778,N,Y,2012-12-12
US,20893396,R308XQ7AZOT70W,B009HKL4B8,982869767,The Sims Freeplay,Mobile_Apps,5,6803,7748,N,Y,2012-11-29
US,47077975,R3GHRZPA5UV5UT,B00AREIAI8,265040255,My Horse,Mobile_Apps,5,7098,7639,N,Y,2013-01-15
US,13447874,R11VZRYW7XEODH,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,6523,7387,N,Y,2013-01-16
US,46671309,R21C2052W3VRS7,B0086700CM,770088543,Temple Run,Mobile_Apps,5,6285,7294,N,Y,2012-05-27
US,45446077,R2RXIB1HO5LUMB,B009UX2YAC,879319057,Subway Surfers,Mobile_Apps,5,6096,7278,N,Y,2012-10-28
US,43630250,R2EUXFAMK3CJK3,B009HKL4B8,982869767,The Sims Freeplay,Mobile_Apps,5,6330,7235,N,Y,2012-10-01
US,51210076,R3SBD0WN3SRLA5,B0086700CM,770088543,Temple Run,Mobile_Apps,5,5722,6678,N,Y,2012-06-12
US,51106361,RIU75GXM8F55T,B0094BB4TW,569156287,Facebook,Mobile_Apps,1,5073,6502,N,Y,2012-10-26
US,49232844,R10IYB6TY0ZTEB,B005V1N71W,604741418,Pandora,Mobile_Apps,5,5678,6441,N,N,2012-04-26
US,47462710,R2TDEFORO8IHLO,B009VSW15Y,710798833,HD Camera,Mobile_Apps,1,5643,6436,N,Y,2012-11-21
US,14034615,R1JAPQ81U84997,B004SJ3BCI,798420614,Angry Birds Free,Mobile_Apps,5,5523,6306,N,Y,2011-12-29
US,46747643,R39Y5XNKGGGYIE,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,5144,5950,N,N,2012-10-21
US,47033604,R2V78SDCSQ0P07,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,5156,5834,N,N,2012-12-17
US,42722870,R2Z5BWEOL64RI4,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,5032,5689,N,Y,2012-12-24
US,34638004,R39DA5SLOR24RL,B0094BB4TW,569156287,Facebook,Mobile_Apps,3,4367,5596,N,Y,2012-09-15
US,43688217,R3G8NKWWNP3JWB,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,4910,5555,N,Y,2012-12-25
US,16357392,R287T0ZSJ64ZBM,B009ZKSPDK,546522927,Survivalcraft,Mobile_Apps,5,4789,5547,N,N,2012-11-13
US,43734936,R3HC7MW8VFKFW4,B004GJDQT8,36653526,Amazon Underground,Mobile_Apps,1,4811,5546,N,N,2011-08-01
US,17837650,R3AH8BG4ZXIIOK,B009VSW15Y,710798833,HD Camera,Mobile_Apps,1,4971,5508,N,N,2012-12-02
US,51213321,R3OILQ4BA28HMW,B009ZKSPDK,546522927,Survivalcraft,Mobile_Apps,5,4777,5487,N,N,2013-01-22
US,37475206,R3LNUDWJA525NA,B0094BB4TW,569156287,Facebook,Mobile_Apps,1,4186,5369,N,Y,2012-10-22
US,24171085,R17T95T1WDBA9E,B0064X7B4A,509180847,Words With Friends,Mobile_Apps,5,4480,5268,N,N,2012-05-27
US,21545945,RWSNQKAW1484A,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,4548,5148,N,Y,2013-01-16
US,18254739,R2NR6AO4R8RLF0,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,4509,5102,N,Y,2013-01-23
US,37322283,RPCRU0RQWINL9,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,4489,5078,N,Y,2013-01-24
US,13294313,R3UVSOUCRGOFNJ,B00AREIAI8,265040255,My Horse,Mobile_Apps,4,4593,5033,N,Y,2013-01-15
US,52813082,R19FJE9RX8NGGC,B004GJDQT8,36653526,Amazon Underground,Mobile_Apps,1,4365,5002,N,N,2015-05-19
US,47759081,R1UB86EUJTN24Z,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,4360,4935,N,Y,2012-11-21
US,43092795,R3Q8TD19VQE6Q4,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,4271,4901,N,Y,2013-01-14
US,41808814,RDJ59T8OXMS9L,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,4311,4877,N,Y,2013-01-04
US,29715949,R2839LWS7I25OS,B009ZXT4BY,634768556,Survivalcraft Demo,Mobile_Apps,5,4104,4847,N,Y,2012-11-10
US,13932833,R2T2G76IGNT1MI,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,4218,4775,N,Y,2013-01-20
US,12522064,R2YZKI787SXCBK,B00AREIAI8,265040255,My Horse,Mobile_Apps,5,4308,4733,N,Y,2013-01-15
US,47698562,RZ46T9ICY8EH8,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,4082,4620,N,Y,2012-11-15
US,23177003,RN3EJN1DUAIH9,B008PPGFZG,775500639,Instafire - Instagram Client,Mobile_Apps,1,3662,4608,N,N,2012-08-23
US,39534332,RQACQ3BGNC78V,B009H4I7WS,910099150,WorldCraft - block building game with multiplayer,Mobile_Apps,5,4041,4607,N,Y,2012-11-05
US,10245132,R2HA9JM8W2920B,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,4056,4592,N,Y,2012-10-02
US,26437375,R2QCPCUSXAND06,B009HKL4B8,982869767,The Sims Freeplay,Mobile_Apps,4,3951,4576,N,Y,2012-10-10
US,15708232,R2XVXTHSHKG29X,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,3990,4512,N,Y,2012-12-23
US,32077441,R1MZNEVBJLDIOJ,B00N28818A,838378762,Amazon Prime Video,Mobile_Apps,1,4062,4498,N,Y,2014-09-12
US,37572754,R3S2UMNNHUVZ49,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,3971,4491,N,Y,2012-12-20
US,40583464,R5TW8EJ7MXBRE,B00992CF6W,9632738,Minecraft,Mobile_Apps,5,3904,4420,N,Y,2013-01-12
