marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,52615096,R15NZ47QWFG3AO,B005S1CYO6,459926372,Kindle Fire anti-glare Screen Protector,Mobile_Electronics,5.0,769.0,791.0,N,Y,2011-11-21
US,52101625,R2AJMFBMSZQ754,B002FA3R08,120061985,15-Item Accessory Bundle for Apple iPod Touch 2G and 3G,Mobile_Electronics,3.0,435.0,448.0,N,Y,2009-10-31
US,48814959,RWF03LXVXC22A,B00EP0SIOG,628459233,Orbotix Sphero 2.0 App Controlled Robotic Ball - Retail Packaging - White/Blue,Mobile_Electronics,3.0,396.0,445.0,Y,N,2013-11-06
US,42651247,R203WXG4O3HOJP,B0042SNZNK,104482478,Black Genuine Leather Case/Cover With Adjustable Stand For Kindle 3 (Keyboard),Mobile_Electronics,5.0,425.0,429.0,N,Y,2010-10-27
US,49155568,R2ZE4SAM8HBB0Z,B001M8YWJE,488583881,Bose Wave Connect Kit for iPod,Mobile_Electronics,1.0,415.0,427.0,N,N,2009-03-04
US,14035052,R1Q1TFIZMVAQJ,B004911E9M,423996186,"Wall AC Charger USB Sync Data Cable for iPhone 4, 3GS, and iPod",Mobile_Electronics,1.0,323.0,337.0,N,Y,2011-05-05
US,46125656,R1E5YBZEWCBACE,B0067XVNTG,563475445,"Generic Car Dashboard Video Camera Vehicle Video Accident Recorder (2.0"" 1080P)",Mobile_Electronics,5.0,310.0,318.0,N,Y,2012-01-06
US,52554497,R51C1SWZ7LR84,B003TPQBJW,409283898,splash Masque Clear Screen Protector for iPhone 4 4G  4S AT&T and Verizon (3-Pack + 2 Bonus Back Films),Mobile_Electronics,5.0,306.0,314.0,N,Y,2010-07-11
US,35734269,R2U5ZTNIJW03HV,B002MWYUFU,47964699,Sony PRS-600BC Touch Edition E-Book Reader,Mobile_Electronics,1.0,257.0,311.0,N,N,2009-12-13
US,52927360,R2SW571Y0V66KI,B002FA3R08,120061985,15-Item Accessory Bundle for Apple iPod Touch 2G and 3G,Mobile_Electronics,1.0,293.0,301.0,N,Y,2009-10-28
US,25750755,R13W3EMIUV120L,B00YO3UYXW,913911909,Jensen MCR-100 Cassette Player/Recorder 1 Touch Recording with Headphone Jack & Aux Line-in,Mobile_Electronics,4.0,288.0,294.0,N,Y,2015-08-28
