marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,35360153,R2WI4EUSPYZVSI,B00HVLUR86,917022054,Audio-Technica ATH-M50x Professional Studio Monitor Headphones,Musical Instruments,5,4709,4805,N,Y,2014-02-15
US,35360153,R2QH6LTZRSZJE2,B000ULAP4U,549834898,Audio-Technica ATH Professional Studio Monitor Headphones,Musical Instruments,5,3894,4038,N,Y,2011-09-13
US,20208400,R1Y8HFT08I470L,B002VA464S,165236328,Blue Yeti USB Microphone - Blackout Edition,Musical Instruments,5,2416,2485,N,Y,2012-07-17
US,43290945,R22QGS76XJ1Y5O,B002GYTPAE,180838444,"Audio Technica AT-LP60BK-BT Fully Automatic Bluetooth Wireless Belt-Drive Stereo Turntable, Black",Musical Instruments,5,1929,1998,N,Y,2011-12-10
US,44167324,R3DFBFHLFXFCOY,B000978D58,32400562,"On Stage MS7701C Tripod Microphone Boom Stand, Chrome",Musical Instruments,4,1960,1993,N,Y,2010-02-25
US,26890033,R1OWD76SUJX9KK,B002VA464S,165236328,Blue Yeti USB Microphone - Blackout Edition,Musical Instruments,5,1392,1475,N,N,2010-03-08
US,13481244,R2DEZKCEGVBLGK,B001AIQGUO,679874190,CAD Audio USB Cardioid Condenser Studio Recording Microphone,Musical Instruments,4,1426,1463,N,N,2012-04-28
US,36416073,R10IXLXJDA8TOM,B000065BPB,299152713,Sennheiser HD 280 Pro Headphones,Musical Instruments,5,1298,1350,N,Y,2003-02-05
US,52205639,R389RWEXDNINZQ,B000VG802I,870785395,ION Audio Tape 2 PC | USB Cassette Deck Conversion System with RCA & USB cables,Musical Instruments,1,1261,1323,N,Y,2007-11-28
US,49198774,R3A3NPEGALRHJK,B000EOPQ7E,104891617,Blue Snowball USB Microphone (Textured White),Musical Instruments,5,1277,1320,N,Y,2009-04-21
US,17434926,R1FE87UYW68ZAZ,B003LPTAYI,175592866,Sennheiser HD 202 II Professional Headphones (Black),Musical Instruments,3,1221,1298,N,Y,2011-05-12
US,16682362,R3HYLRYQE8LCMG,B0037JT95I,181293292,The Singing Machine Disco Light Karaoke System,Musical Instruments,4,1230,1269,N,N,2013-12-21
US,48553838,R1GLP69EPVTB5Y,B000AJIF4E,286542630,Sony MDR7506 Professional Large Diaphragm Headphone,Musical Instruments,5,1203,1254,N,N,2005-11-16
US,35560940,R14XCMW7GOBKCJ,B002026DR0,140977758,"Mendini 1/2 MV Solid Wood Violin with Hard Case, Shoulder Rest, Bow, Rosin and Extra Strings",Musical Instruments,5,1194,1244,N,Y,2011-10-27
US,50789695,R1PNDL84VR40L3,B0058MJX4O,714592399,Sony ECMCS3 Clip style Omnidirectional Stereo Microphone,Musical Instruments,5,1153,1166,N,N,2013-09-26
US,51012264,R9XL4ZCZWV81K,B000065BP9,467691882,Sennheiser  HD 202 Dynamic Headphones (Old Version),Musical Instruments,5,1122,1144,N,Y,2002-11-17
US,12394877,R2XKFKA7I44UP1,B001LU1SFO,565154303,Kala Mahogany KA-15s-RLE Mahogany Soprano Ukulele,Musical Instruments,5,1101,1127,N,Y,2014-06-15
US,48094607,R3A0XMRVPGCB95,B0002F58TG,466914968,"Jasmine S35 Acoustic Guitar, Natural",Musical Instruments,5,1099,1126,N,Y,2012-12-03
US,48438858,RKKNC1WSQVYMD,B0002F58TG,466914968,"Jasmine S35 Acoustic Guitar, Natural",Musical Instruments,5,1078,1111,N,Y,2011-10-28
US,3358790,RJOKLVENQN4YA,B00P03P778,735499177,Williams Legato 88-Key Digital Piano,Musical Instruments,5,1095,1110,N,Y,2015-01-17
US,53090839,R1YGIX6E25AQHX,B003VWJ2K8,195373332,Snark SN-1 Tuner,Musical Instruments,5,1088,1109,N,Y,2012-02-11
US,29521893,R2LZDHON5HNBEN,B003LPTAYI,175592866,Sennheiser HD 202 II Professional Headphones (Black),Musical Instruments,3,980,1028,N,Y,2011-11-16
US,37766729,R2L6B6IU19Q5Y6,B003LPTAYI,175592866,Sennheiser HD 202 II Professional Headphones (Black),Musical Instruments,5,977,1017,N,Y,2011-01-24
US,30703493,R25TI8ABRZZ1UM,B002GYTPAE,180838444,"Audio Technica AT-LP60BK-BT Fully Automatic Bluetooth Wireless Belt-Drive Stereo Turntable, Black",Musical Instruments,5,857,911,N,Y,2010-02-06
US,45194665,R13D9SJ8TYRPGF,B00007E7C8,772439428,Audio-Technica ATH-M30 Closed-Back Headphones,Musical Instruments,5,871,901,N,N,2004-02-12
US,52423367,R1MF4YAVJLLW6O,B000G3FNVM,175351925,"Numark TTUSB | 33 1/3 & 45 RPM Turntable with USB Audio Interface, 1/8"" Input, & RCA Output",Musical Instruments,4,865,871,N,N,2006-12-30
US,50776471,ROLB6ZZIR901X,B002HJ9PTO,856467556,Audio-Technica ATR3350 Omnidirectional Condenser Lavalier Microphone (Discontinued),Musical Instruments,5,846,859,N,Y,2010-05-04
US,27226461,R2ZZY2QK3AJE70,B005DJOIHE,980278919,Neewer 3.5mm Hands Free Computer Clip on Mini Lapel Microphone (3X Lapel Microphone),Musical Instruments,5,825,842,N,Y,2012-11-27
US,19747520,R3F286UZNFG15R,B0085M6SUQ,458311520,Karaoke USA Karaoke System with 7-Inch TFT Color Screen and Record Function (GF829),Musical Instruments,4,811,840,N,Y,2013-06-11
US,53019847,RCTIFK1B46BWU,B0002CZUV0,134873153,"Epiphone LP Special II Les Paul Electric Guitar, Vintage Sunburst",Musical Instruments,5,816,839,N,Y,2010-10-04
US,50683425,R3FRRPZ182IDSH,B001QWBM62,49980879,Zoom H4N Handy Portable Digital Recorder - 2009 Version,Musical Instruments,4,804,821,N,Y,2010-03-07
US,10158192,R2MBHZUDQAX8AT,B00K8EDPWI,358335012,Tzou 12 Hole Zelda Ocarina From Legend of Zelda Alto C,Musical Instruments,1,776,806,N,Y,2014-11-10
US,15856184,RC2REQMIYMOGS,B008ADBTNQ,883062905,"38"" Acoustic Guitar Starter Package, Guitar, Gig Bag, Strap, Pitch Pipe & DirectlyCheap(TM) Translucent Blue Medium Guitar Pick",Musical Instruments,3,729,772,N,Y,2013-03-13
US,51523789,R2QZC00RNBVGPE,B000VSM4MS,806365617,"Crescent MG38-NR 38"" Acoustic Guitar Starter Package, Natural (Includes CrescentTM Digital E-Tuner)",Musical Instruments,4,734,768,N,Y,2013-01-10
US,50146974,RWOKBJK1YSL9U,B0049J6FWA,198739434,"Best Choice Products38"" Acoustic Guitar Starter Package (Guitar, Gig Bag, Strap, Pick)",Musical Instruments,4,731,762,N,Y,2011-06-12
US,20834141,RHFBVTZ7E07TA,B0007L8BQW,418236234,Pyle-Pro PDWM96 Lavalier Wireless Microphone System,Musical Instruments,4,738,757,N,Y,2013-11-02
US,25110677,RFYAGWEGR38XX,B003FO0LG6,147989141,iMBAPrice USB-MFAN USB Mini Desktop Fan,Musical Instruments,5,618,735,N,Y,2012-03-23
US,12335098,R2BVHM83PEZFD5,B00JBJ2HNO,593313367,Microphone for Use with Karaoke System,Musical Instruments,4,695,712,N,N,2014-12-26
US,13384135,R3CV80WS11R2Q8,B000EOPQ7E,104891617,Blue Snowball USB Microphone (Textured White),Musical Instruments,5,665,701,N,N,2009-04-17
US,10522762,RN9DFG0FPD79Q,B002RGPQJ0,196640373,New Drum Set Black 5-Piece Complete Full Size with Cymbals Stands Stool Sticks,Musical Instruments,5,673,699,N,Y,2011-08-29
US,51825345,R3RMHFWL1X1R5R,B000065BP9,467691882,Sennheiser  HD 202 Dynamic Headphones (Old Version),Musical Instruments,5,672,697,N,N,2005-10-08
US,50377561,R1K8IHYDJM72VW,B0083FTVB8,647516839,Memorex MKS-SS2 SingStand 2 Home Karaoke System,Musical Instruments,5,662,693,N,Y,2012-09-19
US,16979448,REUPJ9CCUAWCV,B00DWJ1WYY,710510085,Yamaha DGX650B Digital Piano,Musical Instruments,5,675,688,N,Y,2014-02-21
US,48493520,R26UBYH6FZY3CN,B00007E7C8,772439428,Audio-Technica ATH-M30 Closed-Back Headphones,Musical Instruments,5,591,647,N,Y,2004-03-02
US,31623126,R2FKSZ8875ZOOX,B0083FTVB8,647516839,Memorex MKS-SS2 SingStand 2 Home Karaoke System,Musical Instruments,4,588,644,N,Y,2013-08-06
US,12983193,RUXC9QNXXSZN7,B00BHN05H2,113449494,Rode Smartlav Lavalier Microphone for iPhone and Smartphones (OLD MODEL),Musical Instruments,5,638,641,N,Y,2013-03-22
US,15364097,R34XL5V2QUWQ9J,B000815CF4,852510162,Olympus ME-15 Microphone,Musical Instruments,4,581,635,N,Y,2008-03-03
US,41890768,R2K1W0BNO2K597,B004ZG9TMA,549834898,Audio-Technica ATH Professional Studio Monitor Headphones,Musical Instruments,5,556,611,N,N,2012-04-01
US,13185710,R1EL4740PM9KWO,B002472BYK,363226279,"Mendini Brass Bb Trumpet + Tuner, Case, Stand, Mouthpiece, Pocketbook & More - MTT+SD+PB+92D",Musical Instruments,1,539,609,N,N,2012-09-29
US,11314772,R2W9AN7VQ7I6VM,B008R7F32I,147933020,CTK Keyboard,Musical Instruments,4,582,605,N,Y,2014-10-01
US,13708061,RZZKB8K70HBLL,B00HVLUQW8,371523043,Audio-Technica ATH-M30x Professional Studio Monitor Headphones,Musical Instruments,5,587,603,N,Y,2014-03-05
US,16990140,R3HWC8LTC085I6,B001CMEKGK,379568655,Yamaha YPG 235 76-Key Portable Grand Piano Keyboard,Musical Instruments,5,558,583,N,N,2008-10-12
US,43921816,RWSJELCS7FGSS,B00HVLUR86,917022054,Audio-Technica ATH-M50x Professional Studio Monitor Headphones,Musical Instruments,5,528,577,N,Y,2014-02-07
