marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,50268169,R19XO9PS38WRWO,B004F9QBE6,596552794,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Office Products,5,41393.0,41866.0,N,N,2012-08-24
US,29167258,R2PKU2MR4GXKG7,B004F9QBE6,596552794,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Office Products,1,18217.0,18648.0,N,N,2012-08-28
US,36648314,R19VDCH6ME7S72,B004F9QBE6,596552794,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Office Products,4,16053.0,16308.0,N,N,2012-08-28
US,36714916,R300JT745JOIWZ,B001B0CTMU,662043758,Avery Durable View Binder,Office Products,5,13375.0,14085.0,N,N,2012-10-17
US,21411516,R3DVRM2VKMSS5X,B001B0CTMU,662043758,Avery Durable View Binder,Office Products,3,9362.0,9932.0,N,N,2012-10-18
US,17616229,R3HEN5NT1CUXNS,B001B0CTMU,662043758,Avery Durable View Binder,Office Products,2,8509.0,9028.0,N,N,2012-10-17
US,22299892,R2U0XX4STGCRX3,B004F9QBE6,596552794,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Office Products,5,6833.0,7456.0,N,N,2012-08-27
US,19622614,R180TYQS2ZKNJ7,B001B0CTMU,662043758,Avery Durable View Binder,Office Products,5,6821.0,7235.0,N,N,2012-10-19
US,23956847,R3VRMWPRRRDCCT,B00AVWKUJS,646333008,"Canon Office and Business MX922 All in One Printer, Wireless and mobile printing",Office Products,4,6832.0,6995.0,N,Y,2014-07-01
US,34559353,ROMVB218ZKP5Y,B001B0CTMU,662043758,Avery Durable View Binder,Office Products,5,5948.0,6322.0,N,N,2012-10-18
US,51392522,R3NTDS2UC3SHXL,B004F9QBE6,596552794,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Office Products,1,5430.0,5720.0,N,N,2012-08-27
US,23092565,R2M4E8IE7OREAP,B004F9QBE6,596552794,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Office Products,5,4588.0,5009.0,N,N,2012-08-15
US,17588606,RBIS8ZY9P2N5O,B004F9QBE6,596552794,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Office Products,1,4328.0,4445.0,N,N,2013-04-19
US,45711397,R33SE932117JNH,B004F9QBE6,596552794,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Office Products,1,4232.0,4340.0,N,N,2013-04-22
US,37646531,R1FZABSJCI7MBH,B004F9QBE6,596552794,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Office Products,1,3838.0,4187.0,N,N,2012-08-22
US,23523556,R2T0QY5XA1H6B3,B001B0CTMU,662043758,Avery Durable View Binder,Office Products,5,3608.0,3857.0,N,N,2012-10-18
US,37417006,R2CPN6JZYNXEWY,B004F9QBE6,596552794,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Office Products,1,3606.0,3807.0,N,N,2012-08-28
US,17211427,R1WERK9KG9CXUZ,B004F9QBE6,596552794,"BIC Cristal For Her Ball Pen, 1.0mm, Black, 16ct (MSLP16-Blk)",Office Products,4,3388.0,3486.0,N,N,2013-04-15
