marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,17063956,R35XE3G8NNGC9S,B0009V1BDA,333391855,Coleman Road Trip Propane Portable Grill LXE,Outdoors,4,2703.0,2751.0,N,N,2006-07-09
US,42216608,RSQET9EMO7CL3,B000AU9PEC,551880931,Sawyer Products B4 Extractor Pump Kit,Outdoors,1,2663.0,2701.0,N,N,2014-05-17
US,16316106,R2MHD9H0PWCXE7,B004I576SM,113452986,Magnet Steel Bike Bicycle Indoor Exercise Trainer Stand by FDW,Outdoors,5,2478.0,2600.0,N,Y,2011-10-13
US,52259140,RKZOCIM2VFFUH,B0058EOAUE,239198245,Defence Technology First Defense 1.3% MK-9 Stream OC Aerosol,Outdoors,1,2449.0,2556.0,N,N,2011-11-22
US,34490348,R18GPM5UHCIQ5C,B006QF3TW4,215012885,"LifeStraw Personal Water Filter for Hiking, Camping, Travel, and Emergency Preparedness",Outdoors,5,2362.0,2496.0,N,Y,2014-04-19
US,30530118,RBGZFXUBOJOIK,B00FAW4O0A,863230011,SoundAsleep Dream Series Air Mattress with ComfortCoil Technology & Internal High Capacity Pump,Outdoors,5,2350.0,2420.0,N,Y,2013-10-04
US,35554264,R22O2PHMT7VDD8,B006QF3TW4,215012885,"LifeStraw Personal Water Filter for Hiking, Camping, Travel, and Emergency Preparedness",Outdoors,5,1864.0,1961.0,N,Y,2013-05-18
US,51624877,R3SMZD3JD2VX2Z,B003QUT9OE,613205554,"Coleman 2000018295 8-Person Instant Tent, Black (14x10 Feet)",Outdoors,4,1802.0,1839.0,N,N,2010-08-23
US,6262999,R2SWUI9VB5TAOK,B00FAW4LAS,863230011,SoundAsleep Dream Series Air Mattress with ComfortCoil Technology & Internal High Capacity Pump,Outdoors,5,1722.0,1792.0,N,Y,2013-10-24
US,18195395,R2DXM6IC77F7UY,B005YPK8G2,315916353,Kryptonite KryptoLok Series 2 Standard Heavy Duty Bicycle U Lock with 4ft Flex Bike Cable,Outdoors,1,1682.0,1735.0,N,Y,2014-11-06
