marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,52994074,R3R24QH3CDS83N,B000FI73MA,796637267,Kindle: Amazon's Original Wireless Reading Device (1st generation),PC,5,47524,48362,N,Y,2007-11-25
US,53025525,R2YVZNKUMWGYJ4,B003FSUDM4,57096051,"Kindle Keyboard 3G, Free 3G + Wi-Fi, 6"" E Ink Display",PC,5,31924,32373,N,Y,2010-08-28
US,12267963,R1PL1U31XQG8KG,B0083PWAPW,270935683,"Kindle Fire HD 7"", Dolby Audio, Dual-Band Wi-Fi",PC,4,31417,32166,N,Y,2012-09-17
US,51835976,RBUNL9QWDYTD7,B0051VVOB2,341475382,Kindle Fire (Previous Generation - 1st),PC,4,28611,29433,N,Y,2011-11-14
US,50629044,RV0R3AODMRNJZ,B00154JDAI,419585077,"Kindle Wireless Reading Device (6"" Display, U.S. Wireless)",PC,1,24714,26143,N,Y,2009-03-14
US,42153903,R1F9TEE07IWGR7,B00I15SB16,479473290,"Kindle, 6"" Glare-Free Touchscreen Display",PC,5,16982,17441,N,Y,2014-11-07
US,50821310,ROZW9HYI4CYCC,B007OZNZQ0,185327228,"Kindle Paperwhite, 6"" High Resolution Display with Built-in Light, Wi-Fi [Previous Generation]",PC,5,16563,16865,N,Y,2012-10-08
US,42793407,R1087TPNE2K7NA,B008GG93YE,74516567,"Kindle, 6"" E Ink Display, Wi-Fi",PC,4,15457,15985,N,Y,2012-09-12
US,38840093,R2VX6G023G4D9Y,B007Q1W586,391328525,"8.9"" HD display, 16 or 32GB with Wi-Fi, 32GB or 64GB with 4G LTE Wireless (Previous Generation - 2nd)",PC,5,13828,14145,N,Y,2012-11-22
US,53017806,R3KVJS35XJVP8B,B00IOY8XWQ,892988924,Kindle Voyage,PC,5,13557,13870,N,Y,2014-10-22
US,9509163,RKG6U75GQVDXX,B00AWH595M,816234934,"Kindle Paperwhite, 6"" High Resolution Display with Next-Gen Built-in Light, Wi-Fi",PC,3,12465,12970,N,N,2013-09-30
US,37757594,RJUKFI4PVQ6E0,B002Y27P3M,57096051,"Kindle Keyboard, Wi-Fi, 6"" E Ink Display",PC,3,11995,12278,N,Y,2010-08-31
US,53017806,R185WZUJYSEKU2,B00AWH595M,816234934,"Kindle Paperwhite, 6"" High Resolution Display with Next-Gen Built-in Light, Wi-Fi",PC,5,11526,11832,N,Y,2013-09-30
US,51364512,R193Q1UDE2JJ3S,B00KC6I06S,331269443,Fire HD 6,PC,5,11444,11819,N,Y,2014-10-04
US,52695008,R22YETXYSMXKHA,B000FI73MA,796637267,Kindle: Amazon's Original Wireless Reading Device (1st generation),PC,4,11426,11744,N,N,2007-11-19
