marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,18267561,R24H8HTMOJ72FJ,B00B0S7KUY,686904054,Tria Hair Removal Laser 4X - Blush - DISCONTINUED COLOR,Personal_Care_Appliances,4,2785,2876,N,N,2013-03-16
US,51045364,R25FZ8D6WMNZJJ,B000B76T52,250378019,Oster Fast Feed Clipper With Attachments,Personal_Care_Appliances,4,1266,1294,N,Y,2009-06-26
US,14150119,R13145X1S3YB23,B002PX4AO2,93662711,Powermatic 2 Electric Cigarette Injector Machine,Personal_Care_Appliances,5,1238,1272,N,Y,2012-07-16
US,19461001,R2DHB73KWP1FUB,B0015TIZGQ,762410749,Exergen Temporal Artery Thermometer,Personal_Care_Appliances,5,1029,1046,N,N,2010-09-06
US,19461001,RCQ1OP8YQ6U0O,B000LJAEPQ,762410749,Exergen Temporal Artery Thermometer MODEL# TAT-2000C,Personal_Care_Appliances,5,936,967,N,N,2010-09-06
US,52805839,R21ARDBMQY4SVT,B0006HCE5Q,209484538,REAL-EaSE Neck Support,Personal_Care_Appliances,5,873,921,N,N,2008-03-27
US,43712660,R2G7ST9PV1RECR,B0006VJ6TO,412568457,Body Back Company’s Body Back Buddy Trigger Point Therapy Self Massage Tool - PARENT,Personal_Care_Appliances,5,772,864,N,Y,2010-01-22
US,25584331,R2T17QIQYFSDPB,B00H9L7VIW,851045898,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,5,638,807,N,Y,2014-02-02
US,13641534,R35I7U2KIVSQBV,B0039C6AS2,346540281,Silk'n SensEpil Hair Removal Unit COMBO PACK,Personal_Care_Appliances,4,771,805,N,Y,2012-10-04
US,30681850,R365SBPAX5HX43,B000JPKLUU,247877963,"Merkur ""Futur"" Safety Razor, Satin Finish",Personal_Care_Appliances,5,769,796,N,N,2007-10-27
US,27545045,RZ8148I17EYDA,B003Y64RBA,755494860,Power Balance Silicone Wristband Black with Black - MEDIUM,Personal_Care_Appliances,1,702,771,N,N,2010-09-22
US,52194321,R28XBUVXIA5UY3,B000B76T52,250378019,Oster Fast Feed Clipper With Attachments,Personal_Care_Appliances,5,714,753,N,Y,2008-03-01
US,45452861,R3MYTXW7B4Z6YW,B0118Q011M,68185001,URPOWER 2nd Generation 300ml Aroma Essential Oil Diffuser Ultrasonic Air Humidifier with AUTO Shut off and 6-7 HOURS Continuous Diffusing - 7 Color Changing LED Lights and 4 Timer Settings,Personal_Care_Appliances,4,687,711,N,Y,2015-08-17
US,12166341,R3LWV0KKEPETYE,B00H9L7VIW,851045898,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,5,570,669,N,Y,2014-02-06
US,16052737,R35501GAQX2BK3,B00H9L7VIW,851045898,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,5,510,607,N,Y,2014-03-25
US,12077552,RGCT3NQL84COZ,B000LJAEPQ,762410749,Exergen Temporal Artery Thermometer MODEL# TAT-2000C,Personal_Care_Appliances,5,567,587,N,N,2007-01-22
US,49538328,R7H4XE9VF1L2I,B003DQSBSG,793051897,pStyle - Female Urination Device Pink,Personal_Care_Appliances,5,565,582,N,N,2010-11-14
US,42285937,R1FH4PL0D0XAPF,B000R8ZUWS,200666829,Wet-Stop3 Bedwetting Alarm System,Personal_Care_Appliances,5,532,572,N,N,2009-01-06
US,32637361,R2YMMOYEJWJKWS,B000JWBZUS,562093211,"BSN N.O.-Xplode 2.0 Extreme Pre-Training Performance Igniter 2.48 lbs, Fruit Punch",Personal_Care_Appliances,1,438,568,N,N,2008-01-09
US,36843885,R3B4F71FBP2EWW,B000O3OYDC,392253999,BackJoy Portable Orthotic Pelvic / Back Support (For Your Chair & Car),Personal_Care_Appliances,4,511,521,N,Y,2008-07-20
US,49475472,R2LKX8F2CZURVH,B001E0XYQ2,721195383,Hj-113 Pocket Pedometer,Personal_Care_Appliances,5,516,520,N,Y,2009-09-10
US,16397101,R30XX5WT0Z9IH9,B000SOMZNS,573434939,Waterfall Soap Saver,Personal_Care_Appliances,4,476,491,N,N,2010-12-08
US,21282704,R3EOY1KX899UH6,B00H9L7VIW,851045898,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,5,385,440,N,Y,2014-07-21
US,52763853,RL77ICXTF7ACR,B001HOKY22,730282743,Norelco 7310,Personal_Care_Appliances,4,431,439,N,N,2009-11-15
US,33918302,REDTF3LNWOP6A,B000EE5DTK,315552854,MEDIFLOW - Water Based Pillow - Water Pillow - Mediflow Fiber Padding,Personal_Care_Appliances,4,400,436,N,Y,2010-11-08
US,10512206,R2E20JQI2Q6JN1,B00063AS3K,592009016,Clean & Easy Deluxe Electrolysis,Personal_Care_Appliances,5,384,409,N,N,2007-01-20
US,41467824,R2YEF9TA6JKB12,B001B802Y4,67662247,Omron Full-Body Composition Monitor w/ Scale,Personal_Care_Appliances,5,385,405,N,N,2009-04-17
US,48384439,RBVHI6OTDI9Y9,B0044TQKIY,472225383,Steerable Knee Walker,Personal_Care_Appliances,4,392,399,N,Y,2011-03-01
US,23025457,R3QSM8KFPLDWRK,B0015Q2YAM,234908697,"Futuro Night Plantar Fasciitis Sleep Foot Support, Adjustable, Model No : 48507 - 1 Ea",Personal_Care_Appliances,5,384,395,N,N,2009-08-15
US,47582345,R905BT4XXN019,B004VTON72,183010622,Datastroyer Model 1000 Disintegrator,Personal_Care_Appliances,4,360,389,N,N,2012-07-17
US,52319320,R35FOLC839E0OF,B006CETVQW,623426564,Light Relief Therapy - Light Relief Therapy - LIGHT,Personal_Care_Appliances,4,369,384,N,N,2012-09-27
US,49111184,R21JREIYNBCTG4,B00B0S7KUY,686904054,Tria Hair Removal Laser 4X - Blush - DISCONTINUED COLOR,Personal_Care_Appliances,5,330,380,N,Y,2013-07-08
US,40758693,R6RI7FE3UO0K2,B0006HCE5Q,209484538,REAL-EaSE Neck Support,Personal_Care_Appliances,5,338,379,N,Y,2005-08-16
US,21846884,ROX6L7VJFS2P7,B0118Q011M,68185001,URPOWER 2nd Generation 300ml Aroma Essential Oil Diffuser Ultrasonic Air Humidifier with AUTO Shut off and 6-7 HOURS Continuous Diffusing - 7 Color Changing LED Lights and 4 Timer Settings,Personal_Care_Appliances,5,339,371,N,N,2015-08-09
US,47239834,R1EF934SEEB94B,B000SK8EKK,810362231,"Hugo Elite Rolling Walker, Folding Walker, Independent Mobility Aid, Walking Aid, with Built-in Seat, Cupholder, Lots More Storage!",Personal_Care_Appliances,5,351,361,N,N,2009-11-04
US,50442084,R4ZRRXVY7J2OM,B001E0XYQ2,721195383,Hj-113 Pocket Pedometer,Personal_Care_Appliances,5,348,356,N,N,2008-11-24
