marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,15794183,R3IK5S0V6BW0XX,B004GFN2ZA,636208950,Wisdom Panel Mixed Breed DNA Test Kit,Pet Products,4.0,5735.0,5811.0,N,Y,2011-11-28
US,16303350,R39DWT1KJ1OVSC,B00B8CG602,84647177,"Bayer Seresto Flea and Tick Collar for Dogs, 8 Month Protection",Pet Products,1.0,4085.0,4291.0,N,N,2013-05-12
US,25789090,RFA4C3GV4SB1J,B00427NU5O,732312640,FRONTLINE PLUS for Dogs Flea & Tick 0-22 lbs Orange 3 Months,Pet Products,1.0,3830.0,3975.0,N,N,2012-10-16
US,29698733,R39YUFJKTH4NEF,B005IZOB5M,259423137,"EcoSphere Closed Aquatic Ecosystem, Sphere",Pet Products,1.0,3028.0,3662.0,N,N,2012-07-22
US,52748535,R2LQGQJOIC6IHN,B000JJDI0G,989046470,"Carlson Extra Wide Pet Gate, with small pet door",Pet Products,4.0,3257.0,3387.0,N,Y,2011-11-16
US,19546556,R19VD5DVOES3G0,B0009X29WK,83672627,Precious Cat Ultra Premium Clumping Cat Litter,Pet Products,5.0,3172.0,3244.0,N,N,2009-08-06
US,21747354,RM525UNR8LKF0,B0009X29WK,83672627,Precious Cat Ultra Premium Clumping Cat Litter,Pet Products,2.0,2841.0,2913.0,N,Y,2014-04-16
US,23591471,R31TV82CVSSVZ1,B0002DK2DU,332136106,Roll n Clean Self Cleaning Litter Box,Pet Products,5.0,2823.0,2880.0,N,Y,2008-02-08
US,22725299,R1LVVCR5LOVUTD,B000F1OS20,837549188,"CitiKitty ""As Seen on Shark Tank"" Cat Toilet Training Kit",Pet Products,4.0,2747.0,2779.0,N,N,2009-11-17
US,31747168,R32RN0APNFZAUM,B000MKHQG4,783509930,"CatGenie-Self Washing, Self Flushing Cat Box",Pet Products,2.0,2306.0,2389.0,N,N,2007-09-18
US,21523253,R1TVG3Q3CN1D2V,B00AAPGA2W,376729476,Petmate Sky Kennel,Pet Products,5.0,2277.0,2285.0,N,Y,2014-12-14
US,43821373,RPYN23EBH4BAM,B0077I42S4,161978577,Tagg GPS Pet Tracker - Dog and Cat Collar Attachment,Pet Products,3.0,2147.0,2219.0,N,Y,2012-06-30
US,47240712,R77E3IAP2EA6I,B005E2S77C,110051275,"Omega Paw Self-Cleaning Litter Box, Pewter",Pet Products,5.0,2164.0,2203.0,N,Y,2012-04-23
US,35793312,R31RNXZ0DR5417,B000634MH8,511943805,Pioneer Pet SmartCat The Ultimate Scratching Post,Pet Products,5.0,2125.0,2147.0,N,Y,2010-02-07
US,51034904,R2YZ3ICUXADKT7,B003RQVGKC,268726266,Catit Jumbo Hooded Cat Litter Pan - Warm Gray,Pet Products,5.0,1876.0,1929.0,N,N,2012-11-13
US,52567314,R1U9OLSCXUM2I8,B003WGGWQA,91529005,Go Pet Club Cat Tree - 72 in.,Pet Products,5.0,1903.0,1921.0,N,N,2011-05-26
US,25101006,R3B27GAYT9GKDT,B000241NRI,941210592,PetSafe Automatic Pet Feeder,Pet Products,1.0,1722.0,1808.0,N,Y,2012-07-05
US,10562129,R2FYR77CBR10MV,B003ARUKTG,704496952,OurPets IQ Treat Ball Interactive Food Dispensing Dog Toy,Pet Products,5.0,1765.0,1784.0,N,Y,2010-11-26
US,12989034,RAMVR3VS2TYZK,B0001ZWZ8O,293424041,"PetSafe Wireless Fence Pet Containment System, Covers up to 1/2 Acre, for Dogs over 8 lb., Waterproof Receiver with Tone / Static Correction",Pet Products,4.0,1665.0,1767.0,N,N,2010-04-13
