marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,29357828,R3DSCOKAHD7WIT,B008KFY53K,686819096,Mizuno Women's Wave Rider 16 Running Shoe,Shoes,5,5070,5329,N,Y,2013-06-26
US,30731109,R236QGQ8RZO1WC,B00ABB6RT6,328968657,NIKE AIR FOAMPOSITE ONE NRG Style# 521286 MENS,Shoes,5,4646,4815,N,N,2013-11-18
US,42154210,RD6DLEJLLTOSK,B008KFY53K,686819096,Mizuno Women's Wave Rider 16 Running Shoe,Shoes,5,3828,4150,N,N,2013-06-26
US,41486119,RRO1L0B8YB0ZP,B008KFY53K,686819096,Mizuno Women's Wave Rider 16 Running Shoe,Shoes,5,2726,2927,N,N,2013-06-27
US,14080660,R18UGASH7JSUFF,B008KFY53K,686819096,Mizuno Women's Wave Rider 16 Running Shoe,Shoes,5,2571,2718,N,N,2013-06-27
US,53015365,R1ER6TRRB56AF1,B008KFY53K,686819096,Mizuno Women's Wave Rider 16 Running Shoe,Shoes,1,2293,2522,N,N,2013-06-26
US,14960762,R2PXSS1DUFGZ3W,B00ABB6RT6,328968657,NIKE AIR FOAMPOSITE ONE NRG Style# 521286 MENS,Shoes,5,2108,2194,N,N,2013-11-18
US,53023206,R379HVLHQ1Q8Q3,B008KFY53K,686819096,Mizuno Women's Wave Rider 16 Running Shoe,Shoes,5,1938,2124,N,N,2013-06-26
US,24237001,R2CI0EVX180EX4,B000KKTPD8,471179631,"Superfeet GREEN Full Length Insole, Green, F: 12.5+ US Womens / 11.5 - 13 US Mens",Shoes,5,1934,2019,N,N,2010-12-30
US,19516017,R1PQVLJBNQ6UNB,B010KK08LU,128319757,"Adidas Yeezy Boost 350 AQ4832 ""Turtle Dove""",Shoes,5,1762,1974,N,N,2015-07-15
US,15800271,R1YKVYLRU2QXJA,B008KFY53K,686819096,Mizuno Women's Wave Rider 16 Running Shoe,Shoes,5,1555,1698,N,N,2013-06-28
US,20109871,R1FAPWSE3D43SC,B008KFY53K,686819096,Mizuno Women's Wave Rider 16 Running Shoe,Shoes,5,1463,1598,N,N,2013-06-27
US,14859786,R2BIYA56LDH456,B008FFQULA,686819096,Mizuno Women's Wave Rider 16 Running Shoe,Shoes,5,1449,1587,N,N,2013-06-26
US,33505233,R3NRRBV13XO2NS,B008KFY53K,686819096,Mizuno Women's Wave Rider 16 Running Shoe,Shoes,1,1409,1547,N,N,2013-06-27
US,10199202,R24CKK27XPSE04,B008KFY53K,686819096,Mizuno Women's Wave Rider 16 Running Shoe,Shoes,5,1377,1508,N,N,2013-06-27
US,19671169,R915TJTMHO4WG,B000MSMDVE,368826813,Ray-Ban RB 2132 New Wayfarer sunglasses,Shoes,5,1305,1406,N,N,2008-06-30
US,34646656,R3ADLW504PFGYW,B007FXKMLW,619817529,NIKE AIR FOAMPOSITE ONE NRG Style# 521286 Size: 10 M US MENS,Shoes,5,1241,1373,N,N,2014-04-29
US,22324855,R2TBI77HU7TSZC,B00F6F6H6U,317743118,West Blvd Women's Casual Ballet Flat,Shoes,4,1338,1357,N,Y,2014-05-05
US,33501335,R21QUEYC1YCYHQ,B00CS4L4B0,570428744,Buxton RFID Wizard Wallet - Exclusive,Shoes,1,1232,1278,N,Y,2014-09-30
US,47205264,R1NBR2HF4QT9IW,B009NJYVEU,541467205,NIKE AIR FOAMPOSITE ONE NRG Style# 521286,Shoes,5,1237,1265,N,N,2012-11-27
US,34881354,R12E3SGY1E5LQ,B008JEW5XE,405998225,Salomon Men's Speedcross 3 Trail Running Shoe,Shoes,5,1145,1215,N,Y,2013-07-08
US,13057055,R3RCWRDK2KLHVC,B007FXKMLW,619817529,NIKE AIR FOAMPOSITE ONE NRG Style# 521286 Size: 10 M US MENS,Shoes,5,1004,1107,N,N,2014-04-29
