marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,13475240,R1XA40KBLZ4CU4,B004Q0PT3I,175631113,Windows 7 Home Premium SP1 64bit (OEM) System Builder DVD 1 Pack [Old Packaging],Software,1,2174,2394,N,N,2011-12-10
US,12734207,R1T218N24MEJ5R,B0046ZLW1G,46058487,PC Matic,Software,2,2243,2354,N,N,2011-09-13
US,47739285,R18ZOY9S9DM1H,B00CH6ATMO,151197936,Adobe Photoshop Lightroom 5,Software,5,1680,1707,N,N,2013-06-11
US,32076515,R30IZ2QYQS2DWV,B008H3SW4I,705407256,Microsoft Windows 8 Pro - Upgrade [Old Version],Software,5,922,1279,N,N,2012-09-05
US,26498296,R2A1JW7C3OQYAF,B003YJ5DKG,470091820,Quicken Deluxe 2011 - [Old Version],Software,1,1245,1262,N,N,2010-11-05
US,52851769,R7JDOLORZ62YR,B005MMMT6E,760917844,Adobe Photoshop Elements 10,Software,5,1231,1247,Y,N,2011-10-30
US,37676315,R16LOJY38E1TW4,B001LQO4P4,989529211,Roxio Easy VHS to DVD [Old Version],Software,1,1223,1241,N,N,2009-06-07
US,52042747,R1ES2G3495NNQ0,B003VNCROU,416322328,Dragon NaturallySpeaking Premium 11 [Old Version],Software,4,1153,1195,N,N,2010-09-06
US,52946148,R1245GLQ2SEYR6,B00MYXTCGY,39020414,TurboTax Deluxe Fed + Efile + State,Software,1,1142,1180,N,N,2014-11-28
US,31832170,R25YUADVMYKIGY,B0040FT30O,657576573,VHS to DVD 5.0 Deluxe,Software,5,1146,1180,N,N,2010-12-31
US,47968674,R1KG1DR722ZT3,B0000C0XT1,115152013,Microsoft Office2003 Students&#38; Teacher,Software,5,1149,1171,N,N,2003-10-20
US,13946721,R2DAVONCTCT2VJ,B00LX4BZAQ,484797539,Dragon NaturallySpeaking Home 13.0,Software,3,1142,1165,Y,N,2014-10-12
US,38376696,R1XZD4U75ML0P0,B003VNCROU,416322328,Dragon NaturallySpeaking Premium 11 [Old Version],Software,1,1089,1144,N,Y,2010-09-06
US,52851769,R2U1TVL9U0QG8,B0093FROMA,331026987,Adobe Photoshop Elements 11,Software,5,1084,1096,Y,N,2012-10-26
US,43169738,RKKOL67MRPHVG,B002ZF31NQ,466920814,"Learn Spanish: Fluenz Spanish Latin America 1+2+3+4+5 for Mac, PC, and Phone, Version 3",Software,4,1064,1096,N,Y,2010-01-31
US,51374151,R1ZP7OQELYMT63,B00MYXTCGY,39020414,TurboTax Deluxe Fed + Efile + State,Software,1,1037,1066,N,N,2014-11-30
US,48425727,R25YNFVR6FP97L,B003VNCRNQ,329462849,Dragon NaturallySpeaking Home 11 [Old Version],Software,1,971,1044,N,Y,2010-12-31
US,24746429,R1WFDFM4FG8WVI,B001B5J7T8,114981360,Dragon NaturallySpeaking 10 Standard [OLD VERSION],Software,5,1028,1039,N,N,2009-01-25
US,52851769,R23UCUOLXU9A10,B00N4OLCRO,776572654,Photoshop Elements 13,Software,5,1015,1031,N,N,2014-09-28
US,49161703,R3CTLLVIR7JL7T,B002DHLUWK,639351470,Microsoft Windows 7 Home Premium Upgrade [Old Version],Software,5,986,1030,N,N,2009-10-22
US,52632805,R2PXUMGIA7ANKY,B000HCZ8EO,185150928,Microsoft Office Home and Student 2007 [Old Version],Software,5,910,968,N,N,2007-02-25
US,52042747,R3FGSL0ZOIWXYH,B008NP76FQ,729878839,"Dragon NaturallySpeaking Premium 12, English (Old Version)",Software,2,915,941,N,N,2012-09-01
US,52487631,R4SGNX3YOD0XJ,B00005LBVU,807188196,Zoombinis Logical Journey - PC/Mac,Software,5,903,918,N,Y,2003-06-12
US,53096553,RVJOUAPJ72HT6,B000HCZ8EO,185150928,Microsoft Office Home and Student 2007 [Old Version],Software,3,859,893,N,N,2007-04-30
US,53064642,R1WVJT2R8NHMR9,B002DHLUWK,639351470,Microsoft Windows 7 Home Premium Upgrade [Old Version],Software,4,854,867,N,Y,2009-11-01
US,51385270,RRJ89J9DZY75I,B00LG242A0,784681048,Windows 7 Professional SP1 64bit (OEM) System Builder DVD 1 Pack (For Refurbished PC Installation),Software,2,713,861,N,Y,2014-12-07
US,40984165,R24NQ5BMK3I3E3,B005FIWUMS,584129792,QuickBooks Pro 2012 [OLD VERSION],Software,1,820,843,N,N,2011-11-07
US,39118194,R3UWKJLJ5UCASC,B0093FROMA,331026987,Adobe Photoshop Elements 11,Software,1,738,818,N,N,2013-01-01
US,50179048,R3SVVW1NCKTGXG,B003YCOJAI,598319936,Office for Mac 2011 Home & Student -Family Pack  (1 User/3 Installs) [OLD VERSION],Software,1,767,814,N,N,2010-11-12
US,46706180,R1SJMX4EHY1WI5,B008MR36FE,38217782,"Dragon NaturallySpeaking Home 12.0, English (Old Version)",Software,5,788,803,N,N,2012-09-03
US,19487467,R60DK719NH36H,B0040FT30O,657576573,VHS to DVD 5.0 Deluxe,Software,4,773,788,N,N,2011-01-07
US,50334795,R2CZAA83H36K9P,B00MYXTCGY,39020414,TurboTax Deluxe Fed + Efile + State,Software,1,754,788,N,N,2014-11-27
US,52910049,RRHZI8OAHBZ7K,B008RA5A00,534964191,Quicken Deluxe 2013,Software,4,728,753,N,N,2013-01-04
US,51751021,R292ANBEYMLOI4,B005FIWTHO,133033475,Quicken Premier 2012,Software,2,736,739,N,Y,2011-10-05
US,34204307,R3AN7RTO3NYJQ2,B004Q0PT3I,175631113,Windows 7 Home Premium SP1 64bit (OEM) System Builder DVD 1 Pack [Old Packaging],Software,5,675,737,N,N,2011-06-07
US,52500542,R7TKSUWIU1YAI,B002ID8R3Y,15013655,Adobe Photoshop Elements 8 -Old Version,Software,5,688,730,N,N,2009-10-14
US,19392149,R1NQD1AFAQ66I1,B002ZF31NQ,466920814,"Learn Spanish: Fluenz Spanish Latin America 1+2+3+4+5 for Mac, PC, and Phone, Version 3",Software,5,698,725,N,N,2010-03-11
US,51108984,R3QJ8INT45U26Z,B006GOFW3E,172383876,Roxio Easy VHS to DVD 3 Plus,Software,5,665,702,N,N,2012-05-22
US,52866296,R1JCJ8YTA2IZJN,B000X86ZAS,627099204,Microsoft Office 2008 for Mac Home & Student Edition [Old Version],Software,2,656,680,N,Y,2008-01-20
US,53064642,R35STWDZ8WGQ5X,B008H3SW4I,705407256,Microsoft Windows 8 Pro - Upgrade [Old Version],Software,3,579,673,N,Y,2012-10-26
US,44237863,R3F46I6L7EXVAS,B000HLV59W,381836207,Adobe Photoshop Elements 5.0 - Old Version,Software,5,643,656,N,N,2006-10-25
US,52253982,R35FI4XXUITUQ5,B001AFFZM2,995680661,Rosetta Stone V3: Spanish (Latin America) Level 1-3 Set with Audio Companion [OLD VERSION],Software,1,623,656,N,N,2008-09-07
US,52775087,R16Q6EESFWW6S3,B005FIWUMS,584129792,QuickBooks Pro 2012 [OLD VERSION],Software,2,610,625,N,Y,2011-10-18
US,52871372,R3EPJG1VGR2CBG,B00EDSI7QO,838012475,Microsoft Windows 8.1 - Full Version,Software,1,478,620,N,N,2014-03-17
US,52692289,R4FLUFK05R09W,B00LYYMXB0,499206730,PaintShop Pro X7 Ultimate,Software,1,575,603,N,Y,2014-11-05
US,30650271,R2V0VLBRWCMX3I,B00VWCKJVA,688031680,Lightroom 6,Software,1,563,601,N,N,2015-08-21
US,20907640,RNSKIDCQE4V5O,B003YJ5ESM,690806968,QuickBooks Pro 2011 - [Old Version],Software,1,586,599,N,N,2010-10-14
US,19185228,RU0BR91PJ2DG7,B00337D8U6,594602360,Microsoft Office 2010 Home & Student 3PC /1 User [OLD VERSION],Software,5,575,598,N,N,2010-06-16
US,48120625,R9KNNCF7ZM9NF,B003YGMEAQ,553509857,Adobe Photoshop Elements 9,Software,5,580,590,N,N,2010-09-29
US,19024866,R1JM51AXMS3IO2,B000WMUHEU,754353413,WinCleaner One-Click (Up to 3 Users) [Old Version],Software,1,534,590,N,N,2014-11-14
US,25213868,R3QUGP929YD78U,B009SPUE72,578141346,Microsoft Office Home and Student 2013 (1PC/1User),Software,1,556,590,N,N,2013-02-04
US,53071862,R332BXA5A70OL9,B002ID8R3Y,15013655,Adobe Photoshop Elements 8 -Old Version,Software,1,551,576,N,N,2009-10-25
US,49869134,R9GSIRPTQD6W4,B000077DD8,97143593,Rosetta Stone Spanish (Latin America) Level 1-2,Software,5,553,575,N,N,2004-01-11
US,44255765,R39MUCE76PA1UU,B00006ANW9,484016652,Adobe Photoshop Elements 2.0 [OLD VERSION],Software,5,567,575,N,N,2002-08-08
US,52885884,RBER28XHG8FU9,B001GL6QHS,546690459,TurboTax Deluxe Federal + State + eFile 2008,Software,3,558,574,N,Y,2009-01-11
US,52885884,R31LUWQAN5VOB9,B001ONRN98,355461065,TurboTax Deluxe Federal + State + eFile 2008 (Only One Return Included),Software,1,561,573,N,N,2008-11-21
US,49588108,R3170ZXV1DVWFF,B008H3SW4I,705407256,Microsoft Windows 8 Pro - Upgrade [Old Version],Software,1,286,566,N,N,2012-08-21
US,48250017,RVOIWBAH8BMB6,B008MR36FE,38217782,"Dragon NaturallySpeaking Home 12.0, English (Old Version)",Software,5,538,558,N,N,2012-09-11
US,52010664,R9JRQUAMWW03T,B002DHLUWK,639351470,Microsoft Windows 7 Home Premium Upgrade [Old Version],Software,3,483,556,N,N,2009-10-27
US,42525878,R15SEY5R9QRTWQ,B00EDSI7QO,838012475,Microsoft Windows 8.1 - Full Version,Software,3,485,555,N,N,2013-10-18
US,53058117,R1XXFM2Y2XIH9A,B00337D8U6,594602360,Microsoft Office 2010 Home & Student 3PC /1 User [OLD VERSION],Software,5,541,554,N,Y,2010-06-17
US,50668659,R2O39CGUW5EYKP,B00005BGB2,589543809,Nero 5.5 [OLD VERSION],Software,5,517,553,N,N,2001-06-10
US,38309820,RQ0IG9SGTI9HQ,B0010YBZ1I,886640932,"Learn Spanish: Fluenz Spanish 1+2 for Mac, PC, and iPhone",Software,5,538,544,N,N,2008-08-18
US,52645674,RSE1RPIJZZXSJ,B00B5P23SG,26353724,VHS to DVD 7.0 Deluxe,Software,4,528,538,N,Y,2013-08-19
US,52518705,R2JTGYSTLQB8C2,B001GL6QHS,546690459,TurboTax Deluxe Federal + State + eFile 2008,Software,1,469,538,N,N,2008-12-29
US,49191267,R242Q9AJJNY4CD,B003WVJ1KO,461686383,PDF Converter PRO 7.0 Retail [Old Version],Software,3,532,535,N,N,2010-10-23
US,52318215,R16S2VP97REPC2,B005MMMT6E,760917844,Adobe Photoshop Elements 10,Software,4,522,533,Y,N,2011-10-26
US,52265121,R3TYKCFZYZY2SA,B0000C0XT1,115152013,Microsoft Office2003 Students&#38; Teacher,Software,5,499,522,N,N,2003-10-21
US,38281947,R11K9YTH5HN39M,B003739DVY,940365500,Adobe Photoshop Lightroom 3 [OLD VERSION],Software,5,513,520,N,Y,2010-07-22
US,30145443,R2UKSNVGCJCJOA,B001AFFZM2,995680661,Rosetta Stone V3: Spanish (Latin America) Level 1-3 Set with Audio Companion [OLD VERSION],Software,1,500,515,N,N,2009-05-26
US,44261423,R3NNO8GSVFOPW0,B001B5J7T8,114981360,Dragon NaturallySpeaking 10 Standard [OLD VERSION],Software,1,471,513,N,N,2008-09-10
US,52822743,R2M6FX9JJR059X,B000077DD2,530144602,Rosetta Stone V2: French Level 1-2 [OLD VERSION],Software,5,499,511,N,N,2003-04-24
US,26364627,R12K0SLJUF9MZX,B003YJ5ESM,690806968,QuickBooks Pro 2011 - [Old Version],Software,4,499,509,N,N,2010-11-16
US,34377922,RABT6ZQ7SFPQ7,B002ZF31NQ,466920814,"Learn Spanish: Fluenz Spanish Latin America 1+2+3+4+5 for Mac, PC, and Phone, Version 3",Software,5,486,508,N,N,2010-10-06
US,52141309,R35DGAK560KT7Y,B000H2049I,988374675,Dragon NaturallySpeaking 9 Preferred [OLD VERSION],Software,4,480,498,N,N,2006-08-05
US,11769889,RN84HTIZEI2L6,B00MCLGAAO,652069521,QuickBooks Pro 2015,Software,1,483,496,N,Y,2014-11-23
US,13137585,RZT0IKJJ5R7OW,B001AFFZM2,995680661,Rosetta Stone V3: Spanish (Latin America) Level 1-3 Set with Audio Companion [OLD VERSION],Software,1,470,495,N,N,2008-12-09
