marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,9286343,R2TI0ELDS3R0DW,B000HKSSLQ,321626307,"Ninja Folding Grappling Hook w/ Black Finish & Rope, Functional",Sports,5,7379.0,7512.0,N,N,2013-06-23
US,48475025,R1R55KN190MLUP,B002QZ1RS6,82603157,INSANITY Base Kit - DVD Workout,Sports,5,7166.0,7340.0,N,Y,2011-02-28
US,52157977,R3UBGHNLTP98PR,B00GT388KG,616501602,FlipBelt - World's Best Running Belt & Fitness Workout Belt,Sports,4,6195.0,6426.0,N,Y,2015-01-10
US,15886460,R2NYSAHMCCU17D,B007O5B0LC,404399665,Weslo Cadence G 5.9 Treadmill,Sports,5,6246.0,6312.0,N,Y,2015-01-08
US,38813737,R7LXWW8PKVPE4,B007595TKU,326071070,Exerpeutic Folding Magnetic Upright Bike with Pulse,Sports,3,3212.0,3305.0,N,Y,2013-07-05
US,24093017,R1NNDZWSXZF8TY,B007595TKU,326071070,Exerpeutic Folding Magnetic Upright Bike with Pulse,Sports,5,3136.0,3208.0,N,Y,2012-05-05
US,49385241,R3W11SWNZZXWJX,B007O5B0LC,404399665,Weslo Cadence G 5.9 Treadmill,Sports,4,3083.0,3195.0,N,N,2013-04-20
US,52154543,R3IPNBTBB5KLBR,B000TG8D6I,798475011,P90X DVD Workout - Base Kit,Sports,4,2835.0,3103.0,N,N,2007-09-01
US,31440229,R85KB8IT8NIOD,B00DDBS2JE,835744251,FOCUS T25 Shaun T's NEW Workout DVD Program—Get It Done in 25 Minutes,Sports,5,2839.0,2996.0,N,N,2013-07-10
US,34140133,R2BTVXUTPR9LFK,B008IT2PNA,115469453,"Blast Knuckles 950,000 volt Stun Gun with Batteris & Magnetic Leather Holster",Sports,5,2671.0,2956.0,N,N,2013-05-06
US,29393276,R3N58KLPBYK8OJ,B001ND04U4,194659084,Iron Gym Total Upper Body Workout Bar - Extreme Edition,Sports,5,2784.0,2876.0,N,N,2009-04-13
US,15609412,R1HUUJOBH6XTSI,B00ZB4YJ52,574188104,CIZE Dance Workout Base Kit - Shaun T,Sports,2,2413.0,2543.0,N,N,2015-08-23
US,50374595,R33XSNBGDZJ525,B002QZ1RS6,82603157,INSANITY Base Kit - DVD Workout,Sports,4,2344.0,2491.0,N,N,2010-01-24
US,47930240,R1CEDY2FEDERS4,B0000AS7W2,618236054,Gazelle Edge,Sports,4,2410.0,2454.0,N,Y,2006-05-01
US,38614358,R2NN8NRK05JS7U,B000AMUFPS,644740270,Stamina Body Trac Glider 1050 Rowing Machine,Sports,5,2324.0,2371.0,N,Y,2010-09-26
US,26326972,RXPGB57FD09SG,B004O8YLGS,762965463,Zumba Exhilarate Body Shaping System DVD Set,Sports,4,2288.0,2328.0,N,Y,2011-06-02
US,14842358,R3LFWO3COZEC7X,B00K6ZURAW,212887041,Maxi Climber Vertical Climber,Sports,4,2140.0,2278.0,N,Y,2014-12-04
US,38963720,R3TOC8MMFPLONK,B002QZ1RS6,82603157,INSANITY Base Kit - DVD Workout,Sports,3,1816.0,2154.0,N,N,2010-01-05
US,31229561,R1GSSHO6XKEU8I,B00DDBS2JE,835744251,FOCUS T25 Shaun T's NEW Workout DVD Program—Get It Done in 25 Minutes,Sports,5,1929.0,2128.0,N,N,2013-07-13
US,49939323,R20UHXARF5EPX8,B001VC16KE,211521550,Slendertone 7 Program Abdominal Muscle Toning Belt (Unisex),Sports,5,2038.0,2123.0,N,Y,2012-06-24
US,51744990,RSLZ71PDPQMWK,B003EWECSC,27731829,The Daddle By Cashel,Sports,3,2076.0,2118.0,N,N,2010-12-31
US,21012418,R3BMOGZPJG5AQY,B00I89MAKS,343419616,Autumn Calabrese's 21 Day Fix - Essential Package,Sports,4.0,1946.0,2068.0,N,N,2014-05-02
US,51835976,RUMQ4CEYWW4OP,B001ARYU58,613173088,Bowflex SelectTech 552 Adjustable Dumbbells (Pair),Sports,5,1913.0,1982.0,N,Y,2010-02-16
US,42557178,R1FZ8ZNAC7XQHC,B001U0OFDM,934790170,Polar FT7 Women's Heart Rate Monitor Watch (Black / Gold),Sports,5,1922.0,1955.0,N,N,2010-01-31
US,21012418,R2TLZ69HENLDKG,B00DDBS2JE,835744251,FOCUS T25 Shaun T's NEW Workout DVD Program—Get It Done in 25 Minutes,Sports,4,1743.0,1954.0,N,N,2013-07-11
US,11983151,R1269MD87N92K8,B002HZ4XMC,330275710,Zumba Fitness Total Body Transformation System DVD Set,Sports,5,1807.0,1850.0,N,Y,2010-04-08
US,33158674,R1384FB37RL95T,B0064S0RJQ,48818489,OtterBox Commuter Series f/iPhone 4/4S - Viola Purple/White,Sports,4,1712.0,1754.0,N,N,2012-03-07
US,24639978,R3DGUK0F7I8DSU,B003EWECSC,27731829,The Daddle By Cashel,Sports,1,1533.0,1727.0,N,N,2011-12-10
US,46345243,R11OTAZIHNNF4Q,B003QCI4GG,487392651,Innova ITX9600 Heavy Duty Inversion Table,Sports,5,1607.0,1651.0,N,Y,2015-07-15
US,2029680,RXI5MSR70JNSL,B00FPE6UN2,834064091,Vipertek VTS-989B V Mini Stun Gun Rechargeable with LED Flashlight (Black),Sports,5,1572.0,1632.0,N,Y,2014-01-11
US,43552412,R1NH1QGYMBVBQO,B000UVVX28,933576150,McDavid Waist Trimmer Ab belt- Weight Loss- Abdominal Muscle & Back Supporter,Sports,5,1332.0,1621.0,N,Y,2011-09-05
US,42911171,R36ZK9OGPEIVW,B000BH7C9Y,180298417,Bowflex TC5000 Treadclimber,Sports,2,1592.0,1619.0,N,N,2008-03-13
US,29125301,R2QD42A071E316,B00DDBS2JE,835744251,FOCUS T25 Shaun T's NEW Workout DVD Program—Get It Done in 25 Minutes,Sports,3,1385.0,1587.0,N,Y,2013-08-02
US,14853594,R2XWTRGW19VG65,B000UVTDLG,862562677,Sabre Red Key Case Pepper Spray with Quick Release Key Ring - Police Strength - 25 Bursts & 10-Foot (3m) Range,Sports,5.0,1538.0,1583.0,N,Y,2013-01-22
US,47817576,RZKOKCC5VCKDA,B00LOXURO6,339383348,Chalene Johnson's PiYo Base Kit - DVD Workout with Exercise Videos + Fitness Tools and Nutrition Guide,Sports,5,1468.0,1569.0,N,Y,2014-08-12
US,11090791,R38YY7LYTYQ08I,B007O5B0LC,404399665,Weslo Cadence G 5.9 Treadmill,Sports,5,1497.0,1547.0,N,N,2014-08-05
US,14701649,R1QZEUJHB0025Y,B000VICRO8,517342972,Stamina In-Motion Elliptical Trainer,Sports,4,1436.0,1505.0,N,Y,2010-10-08
US,40100493,R3P7S5G5I5AEST,B000MT94QA,982868289,DuraMax Flo n' Go LE Fluid Transfer Pump and 14-Gallon Rolling Gas Can,Sports,5,1426.0,1487.0,N,Y,2010-05-24
US,14163269,R31SSUTZMHMUTG,B00I89MAKS,343419616,Autumn Calabrese's 21 Day Fix - Essential Package,Sports,5,1377.0,1480.0,N,N,2014-10-18
US,14691399,R2M1LCOA1GPCME,B007595TKU,326071070,Exerpeutic Folding Magnetic Upright Bike with Pulse,Sports,3,1436.0,1480.0,N,Y,2015-08-19
US,388098,R3VR65TPVQDO7K,B00COGQ9IK,716820400,"Confidence Fitness Slim Full Body Vibration Platform Fitness Machine, Black",Sports,5,1435.0,1477.0,N,Y,2015-05-08
US,46533876,RQBEWF2A8LNR7,B002HZ4XMC,330275710,Zumba Fitness Total Body Transformation System DVD Set,Sports,5,1414.0,1462.0,N,Y,2009-10-17
US,12931787,R3V5KQ01OLNUBZ,B00169CU66,605693953,Total Gym XLS – Universal Home Gym for Total Body Workout,Sports,5,1406.0,1439.0,N,N,2011-01-08
US,14853594,R1UU8XWGACOIUA,B004NKSPR8,465984134,Pepper Gel ORMD,Sports,5,1387.0,1420.0,N,Y,2013-01-31
US,49232717,R1AC4SWJI39A0B,B004O6TXVS,717499830,Exerpeutic 400XL Folding Recumbent Bike,Sports,5,1381.0,1398.0,N,Y,2011-10-22
US,27154568,R1YZ29HYCBSYC5,B002CVU2HG,172159300,Sunny Health & Fitness Pro Indoor Cycling Bike,Sports,5,1347.0,1390.0,N,Y,2012-12-16
US,22973820,R3FN3QG9F9YAAA,B00JF9E2WY,616501602,"FlipBelt - USA Original Patent, USA Designed, USA Shipped, USA Warranty",Sports,5,1295.0,1383.0,N,Y,2015-03-27
US,43598167,R28YCRNQU2Q3X7,B001CZ9MRY,836899939,"SABRE Red Pepper Spray - Police Strength - with Durable Pink Key Case, Finger Grip, Quick Release Key Ring, 25 Bursts (Up to 5x Other Brands) & 10-Foot (3M) Range - Supports National Breast Cancer Foundation (Over $1.25 Million Donated so Far!)",Sports,5,1338.0,1377.0,N,N,2012-07-10
US,37894558,R1YZPXRN6V2BL0,B000TG8D6I,798475011,P90X DVD Workout - Base Kit,Sports,5,1265.0,1372.0,N,N,2007-11-29
US,43601420,R12D2ACT7EEGC,B000VSKAI8,415554571,IRONMAN Gravity 4000 Highest Weight Capacity Inversion Table,Sports,4,1328.0,1372.0,N,Y,2012-04-22
US,48730344,R2ZVS7QIJB9NS9,B00GSBMW2Y,228508069,Tony Horton's P90X3 Base Kit - DVD Workout,Sports,4,1313.0,1362.0,N,N,2013-12-17
US,28468143,R21RHRVL3KXU0G,B001ARYU58,613173088,Bowflex SelectTech 552 Adjustable Dumbbells (Pair),Sports,5,1314.0,1360.0,N,N,2015-07-04
