marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,10857819,R16YG7R1B1FW0O,B001T7QJ9O,669820393,Howard Leight Impact Sport OD Electric,Tools,5,4760.0,4858.0,N,Y,2010-12-25
US,26181924,R27CY4T76BXU6U,B001DZTJRQ,651514388,Wenger 16999 Swiss Army Knife Giant,Tools,3,4154.0,4399.0,N,N,2011-01-23
US,37513314,R38VNY1PPHRU1M,B006E0QAFY,844836744,UltraFire? 1000 LM WF-502B CREE XM-L T6 5-Mode LED Flashlight Torch (With Batteries and Charger),Tools,1,3811.0,3900.0,N,Y,2012-10-16
US,31650872,RC0HYGDIAOIZH,B006E0QAFY,844836744,UltraFire? 1000 LM WF-502B CREE XM-L T6 5-Mode LED Flashlight Torch (With Batteries and Charger),Tools,3,3268.0,3335.0,N,Y,2013-08-25
US,12426375,R1ZPTPF9R0UK0Q,B001DZTJRQ,651514388,Wenger 16999 Swiss Army Knife Giant,Tools,5,2906.0,3298.0,N,N,2009-12-24
US,11563985,R36CDJ2L3X4NR3,B007RB82CS,532704912,Streamlight 88030 ProTac 1L 275 Lumen Professional Tactical Flashlight with High/Low/Strobe w/ 1 x CR123A Batteries,Tools,3,2984.0,3116.0,N,Y,2013-10-27
US,11898084,R2ACUB0R08GNEG,B003TU0XG4,545831295,Dremel 7300-PT 4.8-Volt Pet Grooming Kit,Tools,1,2753.0,2883.0,N,N,2011-10-23
US,13971002,R1FX1Y536M1OU3,B001DZTJRQ,651514388,Wenger 16999 Swiss Army Knife Giant,Tools,5,2228.0,2288.0,N,N,2013-12-31
US,51812639,R1XQ9XPKY15SN6,B000N5UHK0,584858648,PORTER-CABLE C2002 Oil-Free UMC Pancake Compressor,Tools,4,2225.0,2264.0,N,N,2011-05-14
US,15376474,R35G0NJIXX6655,B003TU0XG4,545831295,Dremel 7300-PT 4.8-Volt Pet Grooming Kit,Tools,5,2112.0,2137.0,N,N,2010-09-25
US,29085078,R203NW77FHQ471,B001DZTJRQ,651514388,Wenger 16999 Swiss Army Knife Giant,Tools,5,1817.0,1957.0,N,N,2010-10-28
US,17888618,R1J4G8G6J85RA1,B0010OI5WK,673254859,"55 Gallon Water Preserver Concentrate 5 Year Emergency Disaster Preparedness, Survival Kits, Emergency Water Storage, Earthquake, Hurricane, Safety",Tools,1,1813.0,1841.0,N,N,2010-11-16
US,40563352,R3JMZ5HDCZTPEN,B006E0QAFY,844836744,UltraFire? 1000 LM WF-502B CREE XM-L T6 5-Mode LED Flashlight Torch (With Batteries and Charger),Tools,5,1492.0,1578.0,N,Y,2012-08-29
US,21014060,RRB5ANTHSGXL8,B001DZTJRQ,651514388,Wenger 16999 Swiss Army Knife Giant,Tools,3,1392.0,1492.0,N,N,2014-05-28
US,11789849,R2ZUPKUCT877W5,B005E48K6I,448108483,"UltraFire Xml-t6 Best and Brightest LED Tactical Flashlight Rugged Construction. Trusted By Police, Businesses -Includes Rechargeable Batteries, Battery Charger",Tools,2,1383.0,1437.0,N,Y,2012-07-23
US,24948089,R2DI10B55VZW65,B0010O748Q,601818824,SE FS374 All-Weather Emergency 2-IN-1 Fire Starter & Magnesium Fuel Bar (Everything you need to start a fire!),Tools,4,1384.0,1435.0,N,Y,2010-03-28
US,15618679,RQJ16NEWHFW2J,B0018MRUN4,440530202,Rockwell RK9000 Jawhorse,Tools,4,1263.0,1287.0,N,N,2009-03-01
US,13897813,R3FSDBSNLC8JDX,B001DZTJRQ,651514388,Wenger 16999 Swiss Army Knife Giant,Tools,5,1115.0,1246.0,N,N,2011-12-14
US,31215072,R3I03FWKVTQV00,B001ID4ZY0,291942914,SE CC4580 MilitaryLensatic/Prismatic Sighting Compass with Pouch,Tools,1,1118.0,1198.0,N,Y,2011-01-14
US,15504455,R2YFOICZJGMDJF,B000GSLKIW,706435474,Neiko 01407A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 6 Inches | Inch/Fractions/Millimeter Conversion,Tools,1,1138.0,1174.0,N,Y,2014-02-04
US,37301725,RAIR7FJYUTMOE,B001T7QJ9O,669820393,Howard Leight Impact Sport OD Electric,Tools,3,1038.0,1154.0,N,Y,2009-10-27
US,15768229,R2JKEVSDVRP6HA,B000XU43IC,675882947,Leatherman 830850 Skeletool CX Multitool,Tools,5,1081.0,1102.0,N,Y,2008-06-25
US,51701763,R1XOLANAAMV42F,B004A1IXRC,181367767,Gerber Gator Machete JR [31-000759],Tools,1,1013.0,1066.0,N,Y,2012-01-01
US,49497827,R1ADMJXYDVQK8T,B001DZTJRQ,651514388,Wenger 16999 Swiss Army Knife Giant,Tools,3,1016.0,1066.0,N,N,2014-05-27
US,23351012,R3IKCUOHAY9QVJ,B002L3RUVG,444542929,Dremel 4000-2/30 120-Volt Variable Speed Rotary Tool Kit - Corded,Tools,5,1025.0,1056.0,N,N,2012-02-22
US,14397465,R33LM3JR9FGMNJ,B000HXT2N6,318297666,DEWALT DW745 10-Inch Compact Job-Site Table Saw with 20-Inch Max Rip Capacity - 120V,Tools,5,1023.0,1040.0,N,N,2009-07-20
US,15465223,RHFCJWUO2QAFX,B0064EICKG,53515083,ProSensor 710 Franklin Sensors ProSensor 710 Precision Stud Finder Yellow,Tools,5,976.0,995.0,N,Y,2012-11-26
US,40070482,R1NCKGMBLP7NCB,B00050WQ1G,992941133,Trifield 100XE EMF Meter,Tools,5,939.0,973.0,N,Y,2012-04-28
US,34208388,R7D2GUKXCXHTB,B001T7QJ9O,669820393,Howard Leight Impact Sport OD Electric,Tools,5,864.0,904.0,N,N,2009-11-11
US,1754960,RVY64W95MEBQO,B00NKSMPZW,824618679,"ClearArmor 141001 Shooters Hearing Protection Safety Ear Muffs Folding-Padded Head Band Ear Cups, Black",Tools,5,861.0,896.0,N,Y,2014-12-17
US,22040392,R2RFB75XZPQID0,B00NH3E95Y,157093972,Rotorazer Multi-purpose Circular Mini Saw with 3 Interchangeable Blades and Dust Extraction System - Red,Tools,1,801.0,881.0,N,N,2015-01-31
US,17299958,RN1XXHO2ULK45,B003R0LSMO,256096673,"Gerber Bear Grylls Ultimate Knife, Serrated Edge [31-000751]",Tools,3,852.0,881.0,N,Y,2010-11-11
US,34951955,R1G8YVPUFUMD4A,B001DZTJRQ,651514388,Wenger 16999 Swiss Army Knife Giant,Tools,1,806.0,876.0,N,N,2014-03-16
US,30669680,R19LDXP4LJKG36,B000IXAJVY,174267532,MagLite LED 2-Cell D Flashlight,Tools,5,833.0,855.0,N,N,2010-09-11
US,23497117,R1HOAH2UTCDOTK,B0018S4XIS,522843178,Rayovac Lantern,Tools,3,759.0,853.0,N,N,2009-10-30
US,16235368,R3F2B8CRB445AP,B000XFHJW4,996048589,SE KC5006S 7-IN-1 Multifunctional Camping Tool with Storage Case,Tools,5,827.0,850.0,N,Y,2010-06-08
US,53044910,R1094VKP1HE19F,B0052EK78O,700982135,Rockwell RK3440K VersaCut Circular Saw,Tools,1,781.0,847.0,N,Y,2011-11-17
US,51953557,R14P1E1E7LGJEV,B0015UC17E,928869196,"Streamlight  Stylus Pro Pen Light with  LED and Holster, Hardwood Blaze",Tools,5,803.0,843.0,N,Y,2008-05-14
US,47947979,R340QVDTZJD3U0,B000FJQQVI,719277452,"Ready America Emergency Kit, 2-Person",Tools,3,814.0,823.0,N,Y,2011-05-23
US,35644293,R2WGUAOM4EFH3W,B000USRG90,554435651,Uvex S1933X-3 Skyper Blue Light Blocking Computer Glasses with SCT-Orange Lens,Tools,5,799.0,813.0,N,Y,2014-09-16
US,52370753,R241TWK28A4C3H,B001DZTJRQ,651514388,Wenger 16999 Swiss Army Knife Giant,Tools,4,678.0,802.0,N,N,2011-10-15
US,13050004,RU8QEQ37LAC9Z,B0018S4XIS,522843178,Rayovac Lantern,Tools,4,773.0,793.0,N,Y,2009-03-07
US,44452462,ROTCDI24BRNGG,B0038A05X6,275616349,"SOG Entrenching Tool F08-N - Folding Shovel, High Carbon Steel Handle, Nylon Carry Case, Powder Coat Finish",Tools,1,751.0,781.0,N,N,2010-03-18
US,26472591,R1H0CZXINR8GB9,B0020MLI5C,465692425,Ready America 77100 Cat Evacuation Kit,Tools,3,697.0,780.0,N,N,2011-09-07
