marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,51394083,RGJ8WVRL6MWBD,B0002CYTL2,809260231,Playmobil Security Check Point (Discontinued by manufacturer),Toys,3.0,12188.0,12380.0,N,N,2005-09-09
US,9286343,R1HRPJJZE91CYX,B003G4IM4S,873299726,Accoutrements Horse Head Mask,Toys,4.0,10898.0,11106.0,N,N,2013-06-19
US,33209578,R1GYILYSNUT31G,B004S8F7QM,829220659,Cards Against Humanity,Toys,5.0,9127.0,9616.0,N,Y,2012-01-31
US,9286343,RUWEVV1S35VN5,B00BPMMQDG,579462056,Accoutrements Inflatable Unicorn Horn for Cats,Toys,1.0,8462.0,8579.0,N,N,2013-08-16
US,9286343,R1LA9V8FLQJ7TE,B004CRYE2C,244796398,Think Geek Canned Unicorn Meat,Toys,2.0,6036.0,6210.0,N,N,2013-07-09
US,14711211,R10R97A5LU3BDD,B0002CYTL2,809260231,Playmobil Security Check Point (Discontinued by manufacturer),Toys,2.0,5549.0,5823.0,N,N,2008-03-01
US,49460792,REX873G3JTYB6,B000UEQI1G,824071926,Moluk Bilibo,Toys,1.0,5182.0,5418.0,N,N,2009-12-29
US,46619727,R1DVSG6P7AG01T,B000OCEWGW,320546735,Liquid Ass,Toys,5.0,4694.0,4833.0,N,Y,2013-11-21
US,9286343,R2VWOYVBC4V1CY,B000SSV8AA,769968817,Adhesive Bandages,Toys,5.0,4215.0,4264.0,N,N,2013-07-21
US,9286343,R3DWERFSN8OB0E,B0010VS078,853385546,Accoutrements Yodelling Pickle,Toys,1.0,3730.0,3904.0,N,N,2013-05-22
US,45630905,R267EJHP1Y4PP1,B003G4IM4S,873299726,Accoutrements Horse Head Mask,Toys,5.0,3586.0,3674.0,N,Y,2010-11-05
US,9286343,R87IFI8OYFA9U,B004Y6JFU2,55838119,ASSHOLE REPELLENT....THE ULTIMATE GAG GIFT / PRODUCT !!,Toys,4.0,3442.0,3562.0,N,N,2013-06-07
US,9286343,R20LEA8C5EQ6AE,B004I03BCM,906353090,Accoutrements Squirrel Underpants,Toys,3.0,3455.0,3529.0,N,N,2013-08-28
US,32055727,R1IXYQNNHR3Z0K,B0002CYTL2,809260231,Playmobil Security Check Point (Discontinued by manufacturer),Toys,3.0,2980.0,3089.0,N,N,2008-03-08
US,12901952,R2C1SQE07GP8MZ,B00KI03U8Q,286256560,Syma X5C Explorers 2.4G 4CH 6-Axis Gyro RC Quadcopter With HD Camera,Toys,5.0,2938.0,3031.0,N,Y,2014-10-24
US,50957733,R22HV26K7FAWFH,B0002CYTL2,809260231,Playmobil Security Check Point (Discontinued by manufacturer),Toys,3.0,2969.0,3027.0,N,N,2013-01-14
US,9286343,R1ASRI3ODO5514,B005FYEAJ8,275514823,Air Swimmers Remote Control Flying Shark,Toys,5.0,2921.0,3021.0,N,N,2013-08-21
US,42379314,R2WT5D4JQGU3SK,B0002CYTL2,809260231,Playmobil Security Check Point (Discontinued by manufacturer),Toys,5.0,2744.0,2995.0,N,N,2008-02-27
US,14495273,RRS9UJ1166RI3,B004JFMOGK,147901978,"Maisto Fresh Metal Tailwinds 1:97 Scale Die Cast United States Military Aircraft - US Air Force Medium Altitude, Long Endurance, Unmanned Aerial Vehicle (UAV) RQ-1 Predator with Display Stand (Dimension: 6"" x 3-1/2"" x 1"")",Toys,5.0,2831.0,2955.0,N,N,2012-12-18
US,45540552,R3RP8IR1GBP75M,B003G4IM4S,873299726,Accoutrements Horse Head Mask,Toys,5.0,2828.0,2889.0,N,Y,2012-12-03
US,51789844,R19WA0IFJ4Z6CC,B004S8F7QM,829220659,Cards Against Humanity,Toys,4.0,2126.0,2613.0,N,N,2011-12-03
