marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,48557141,R3HI7AMO8MJ9PF,B007FTE2VW,265303108,SimCity - Limited Edition,Video Games,1,10498,10780,N,N,2013-03-06
US,34072304,RK9RKIUMYF757,B000FKBCX4,366059078,Spore,Video Games,1,8650,9459,N,N,2008-09-07
US,28309336,RTDOWG8IG081J,B00J48MUS4,928566066,Assassin's Creed Unity,Video Games,1,5141,5334,N,N,2014-11-12
US,22107425,R2E1992AEAUA8Z,B00178630A,111226018,Diablo III - PC/Mac,Video Games,5,4105,4649,N,N,2012-07-10
US,52759271,R1CY66TNX7N4RX,B0009VXBAQ,468471190,Nintendo Wii Console,Video Games,5,3873,4143,N,N,2006-11-19
US,46636994,R234OYV0YWWO93,B003VUO6H4,246695098,Sony Playstation 3 160GB System,Video Games,4,3744,4066,N,Y,2010-12-17
US,19684759,R1875IL2IWLFSZ,B00HVBPRUO,512137293,PlayStation Headsets,Video Games,5,3505,3658,N,Y,2014-05-21
US,40744456,R1HMZ8KIMMK4TD,B00178630A,111226018,Diablo III - PC/Mac,Video Games,1,2986,3351,N,Y,2012-06-20
US,50558363,R2BCG8O8BZKG5R,B000FKBCX4,366059078,Spore,Video Games,1,2829,3251,N,N,2008-09-07
US,49674958,R3BQ88T77DIPNS,B007FTE2VW,265303108,SimCity - Limited Edition,Video Games,5,2567,3029,N,N,2013-03-08
US,16884100,R2XTDZYK652OQA,B002BSA3EM,400972702,Wii Fit Plus with Balance Board,Video Games,5,2990,3018,N,N,2009-10-04
US,50648042,RA9LTNYZ1L6X2,B000ZKA0J6,39181653,StarCraft II,Video Games,3,2474,2873,N,N,2010-07-27
US,37393982,R2ZNA17DRXCXIW,B00BGA9WK2,636511565,PlayStation 4 500GB Console [Old Model],Video Games,5,2360,2799,N,Y,2013-12-24
US,52759271,R2BOJDNW0G80JJ,B0009VXAM0,320220176,PlayStation 3,Video Games,5,2403,2763,N,N,2006-11-18
US,16027121,RNHNYJBVYBAOG,B00O97ZVJ0,375499210,Nintendo Amiibo,Video Games,5,2361,2672,N,Y,2015-01-16
US,11426774,R1ADLMFZZPJIGY,B0038TT8QM,151985175,Sid Meier's Civilization V,Video Games,2,2211,2391,N,N,2010-10-16
US,52938899,R2KGL2PTIUMUKK,B002I0J4VQ,455914516,PlayStation 3 Slim 120GB (Old Model),Video Games,5,2189,2355,N,Y,2009-08-25
US,29681280,R1RCSQKLOCRHKA,B000FKBCX4,366059078,Spore,Video Games,1,1917,2272,N,N,2008-09-07
US,50648042,R3DYE5TLL1IIC6,B000MK694E,473728670,BioShock,Video Games,1,1953,2222,N,N,2007-08-24
US,33376525,R289KCM8XVQSQQ,B007FTE2VW,265303108,SimCity - Limited Edition,Video Games,1,2066,2154,N,Y,2013-03-06
US,35334320,RDQBQXOXTHLP7,B001COU9I6,933538010,Sony Playstation 3 Console 80GB - Black,Video Games,5,2098,2140,N,N,2008-08-22
US,51507006,RFYV2TXTC4CNI,B00AKIPBNS,617769830,Fire Emblem: Awakening,Video Games,1,22,1925,N,N,2013-02-04
US,46765732,R3Q3DZ8VTV5T50,B007FTE2VW,265303108,SimCity - Limited Edition,Video Games,1,1773,1900,N,Y,2013-03-06
US,32039478,R326VV67XAHBH0,B00EFRN2IQ,793022980,Sims 4,Video Games,2,1720,1851,N,N,2014-09-02
US,52777901,R2K2LPEAN3MYN3,B000B9RI14,225309182,Xbox 360 Live Points Card,Video Games,5,1594,1827,N,N,2006-11-15
US,10078290,R1HBH6SGD3DDTY,B005CMZJL6,746038909,Playstation 3 Avenger Controller,Video Games,1,1582,1765,N,N,2011-12-27
US,52768940,R257MWGVL6SF9M,B0007TFLLC,925456291,PlayStation Portable (PSP) Value Pack,Video Games,4,1698,1753,N,N,2005-04-07
US,32112984,R29FUVGTOLFG4D,B007FTE2VW,265303108,SimCity - Limited Edition,Video Games,1,1558,1669,N,Y,2013-03-06
US,10280532,R2256E2776CQ7V,B00166N6SA,72412442,The Sims 3,Video Games,3,1529,1572,N,N,2009-06-04
US,51133052,R2XO7QUS1LMW3A,B00BGA9WK2,636511565,PlayStation 4 500GB Console [Old Model],Video Games,3,1330,1507,N,N,2015-01-08
US,41768566,R35Y5RH3IHI1RZ,B00009WNZA,171514791,The Sims 2,Video Games,5,1411,1503,N,N,2003-09-11
US,16939213,R26BF1S6DHRKXN,B00178630A,111226018,Diablo III - PC/Mac,Video Games,1,1302,1494,N,N,2012-06-13
US,41201898,R1KZOXPCOEVHFO,B00NTDL4FU,250750486,Skylanders Trap Team: Traps,Video Games,1,1387,1488,N,N,2014-12-15
US,20934264,R6XZQF7072PY0,B00CMQTVUA,541259922,Xbox One + Kinect,Video Games,5,1333,1478,N,N,2013-11-29
US,44541070,RTXNKQ0IKO5LB,B003O6JKLC,465074932,Xbox 360 4GB Console,Video Games,3,1346,1466,N,N,2010-11-20
US,43774214,R3NNODLIW2BRMI,B000FKBCX4,366059078,Spore,Video Games,1,1310,1462,N,N,2008-09-08
US,12837778,R2PFPIDDEM3POT,B006VB2UNM,511733172,Madden NFL 13,Video Games,2,1286,1400,N,N,2012-09-04
US,14429528,R9BKJREDP6AH3,B00178630A,111226018,Diablo III - PC/Mac,Video Games,1,1129,1399,N,N,2012-05-30
