marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,19214708,R1J6047QVTM7X3,6301773551,635536816,"Star Wars - Episode IV, A New Hope [VHS]",Video,1,320,1026,N,N,2005-08-11
US,52450941,R3IG28Z9H9T0EQ,630426786X,412769484,Dead Man [VHS],Video,5,894,956,N,Y,2000-09-02
US,50126574,R1V7ISBJBDSE99,B00004WG2X,919373839,Pride and Prejudice: The Complete BBC Miniseries [VHS],Video,5,893,918,N,Y,2003-10-21
US,50887079,R5NVTS0NILL4I,6304119046,10707045,Citizen Kane [VHS],Video,5,825,866,N,N,2000-06-05
US,49502144,R1NAYL6O69WUMA,B00008G91Q,752363484,Yoga for the Rest of Us with Peggy Cappy [VHS],Video,5,792,800,N,Y,2003-12-12
US,48230524,RP0CLCIFP5PFW,6303459765,188441323,Michael Jackson: HIStory: Video Greatest Hits [VHS],Video,5,757,780,N,N,2001-02-24
US,50426251,R1BQ6DY28RDSGM,B00005LQ1L,740175484,Pilates for Dummies [VHS],Video,5,758,766,N,Y,2002-02-04
US,50143797,RY8RQF7RCG3O5,6300182371,959846058,Somewhere in Time [VHS],Video,5,729,747,N,N,2000-05-09
US,50817005,R35OCAPQDRGEE8,6300213714,760278522,The Warriors [VHS],Video,5,636,656,N,N,1999-11-08
US,35718616,R2Q3HJH8AGJSGO,B00004XPP0,745272701,Star Wars Trilogy [VHS],Video,3,379,637,N,N,2004-01-28
US,49333751,RVKIP1X5RCZ8B,6304718551,544398776,The Princess Bride [VHS],Video,5,584,635,N,N,2002-04-09
US,51968415,R9NYF6WVKB2J9,B000001BTW,783748257,Cosmos [VHS],Video,5,584,613,N,N,2000-04-16
US,45330588,RCN6N42LD0VFM,0800199936,48418735,TV Nation Double Feature [VHS],Video,1,8,612,N,N,2001-02-12
US,50813350,R1C1E7H4XQIO8O,1573300659,410096714,"Michael Jackson (History on Film, Vol. 2) [VHS]",Video,5,575,581,N,N,2001-10-10
