marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,15854281,R98ZYLB84KR5I,B001K3IXW8,728413681,Zenith Men's 96.0529.4035/51.M Defy Xtreme Tourbillon Titanium Chronograph Watch,Watches,5,4004,4249,N,N,2010-12-05
US,15855614,R2HXVIKJY27SHC,B001K3IXW8,728413681,Zenith Men's 96.0529.4035/51.M Defy Xtreme Tourbillon Titanium Chronograph Watch,Watches,5,2591,2887,N,N,2009-11-28
US,18765196,R3PA20VZXRWHTJ,B001K3IXW8,728413681,Zenith Men's 96.0529.4035/51.M Defy Xtreme Tourbillon Titanium Chronograph Watch,Watches,1,1372,1498,N,N,2010-06-21
US,15607913,RLS6K44P0V87V,B001K3IXW8,728413681,Zenith Men's 96.0529.4035/51.M Defy Xtreme Tourbillon Titanium Chronograph Watch,Watches,4,1288,1425,N,N,2012-01-26
US,15356952,R22O940WOHPL5H,B001K3IXW8,728413681,Zenith Men's 96.0529.4035/51.M Defy Xtreme Tourbillon Titanium Chronograph Watch,Watches,5,1019,1135,N,N,2010-06-30
US,51277649,R1CCAPD7CHQ6V7,B001K3IXW8,728413681,Zenith Men's 96.0529.4035/51.M Defy Xtreme Tourbillon Titanium Chronograph Watch,Watches,1,753,901,N,N,2009-12-02
US,13320632,R3I22M1QEOXAAZ,B004GYXO9U,830154760,Men's 18K Gold Rolex Yachtmaster II Model # 116688,Watches,5,748,895,N,N,2014-02-11
US,30480903,R1EW24Z16XE5BZ,B000GAWSDG,173033667,Casio F91W Digital Sports Watch,Watches,5,759,878,N,N,2011-04-26
US,39176083,R30LES7PE4O9LM,B000EQS1JW,958035625,Citizen Men's BM8180-03E Eco-Drive Stainless Steel Watch with Green Canvas Band,Watches,5,803,820,N,Y,2011-11-12
US,52990425,R3V539242QE3L3,B000M0XJ88,354933056,Seiko Wrist Watches-Seiko 5 Military Automatic Mechanical Self-Winding NYLON STRAP SNK809K2 Water Resistance Men's Watch,Watches,5,738,782,N,N,2010-03-15
US,16303652,R3OWSMRC33P0FM,B004GYXO9U,830154760,Men's 18K Gold Rolex Yachtmaster II Model # 116688,Watches,5,635,754,N,N,2013-12-23
US,15830099,R3K634QWBXXOAZ,B002T4V3W4,817083665,Breguet Classique Complications Men's Rose Gold Tourbillon Messidor Swiss Made Mechanical Watch 5335BR/42/9W6,Watches,5,706,725,N,N,2010-10-17
US,49002929,R264317PFNOCXI,B000XSVIFK,835010224,Seiko 5 Automatic Military Blue Watch,Watches,5,671,700,N,Y,2008-06-14
US,11137529,R1ZE2ANR28UKLR,B004GYXO9U,830154760,Men's 18K Gold Rolex Yachtmaster II Model # 116688,Watches,3,562,698,N,N,2013-12-24
US,12532535,R18DS7SAHWB8AB,B0074W9YUO,179096911,Zenith Class Tourbillon Men's Automatic Watch 65-0520-4035-21-C492,Watches,5,638,692,N,N,2012-04-23
US,13145407,R2LMX8YLNV6JRO,B000GAYQKY,282878315,Casio Men's G-Shock Classic Digital Watch,Watches,5,675,690,N,N,2009-02-20
US,51848150,R19HPR0EYCVHYV,B00E4WSB0G,955602177,Montegrappa Chaos Gold and Enamel Automatic Watch,Watches,5,607,640,N,N,2014-03-16
US,49561790,R31GXD6EP91CGT,B000JQJS6M,926299553,Invicta Men's 8928OB Pro Diver Gold Stainless Steel Two-Tone Automatic Watch,Watches,5,531,635,N,N,2009-06-02
US,16212784,REEFHLH2OYQUX,B00ML5AGRY,976495788,Rolex Cosmograph Daytona Ice Blue Dial Platinum Mens Watch 116506IBLSO,Watches,5,554,634,N,N,2014-11-30
US,13598312,RUK6NH8WBIC7S,B005JVP0LE,559701518,Casio Men's Sport Analog Dive Watch,Watches,5,626,633,N,Y,2012-09-12
US,26074292,R2IOQ0YUVQX09V,B001K3IXW8,728413681,Zenith Men's 96.0529.4035/51.M Defy Xtreme Tourbillon Titanium Chronograph Watch,Watches,5,522,582,N,N,2010-10-07
US,13776164,R3KDWZLUN7G12L,B000GB1R7S,606319199,Casio Men's CA53W-1 Calculator Watch,Watches,4,562,572,N,Y,2015-01-31
US,52776138,R2MDZHWUZHQPKC,B00NC8PMUK,944169262,Motorola Moto 360 Modern Timepiece Smart Watch - Black Leather 00418NARTL,Watches,1,462,568,N,N,2014-10-18
US,27561723,R2Y86VFYWS7GQ7,B000T9VK56,688076877,SE JT6216 21-Piece Watch Repair Kit,Watches,1,503,547,N,Y,2009-03-23
US,12230338,R3SRB8CXJCO1N7,B000GAWSDG,173033667,Casio F91W Digital Sports Watch,Watches,5,503,524,N,N,2013-04-18
US,16008983,R2DILSDAAYRBV7,B000EQS0WK,794616617,Citizen Men's BL5250-02L Titanium Eco-Drive Watch with Leather Band,Watches,4,486,504,N,N,2008-06-11
US,48313110,R1LAV8JJXJ68M0,B00K78PO2E,627996723,Patek Philippe Grand Complication Men's Platinium - 5496P-001,Watches,5,446,499,N,N,2014-09-07
US,35823327,R11AA3P14K5KEJ,B000G6R7B8,469687057,Seiko Men's SNK803 Seiko 5 Automatic Watch with Beige Canvas Strap,Watches,4,475,491,N,N,2010-02-18
US,12414783,R2O8QBM9JLL53A,B002SSUQFG,354933056,Seiko Men's SNK809 Seiko 5 Automatic Stainless Steel Watch with Black Canvas Strap,Watches,4,446,471,N,Y,2010-07-14
US,5127638,RKOGDGTXF6USI,B00ML5AGRY,976495788,Rolex Cosmograph Daytona Ice Blue Dial Platinum Mens Watch 116506IBLSO,Watches,5,360,449,N,N,2014-09-17
US,44806887,R2G00WIG4X49WN,B003MOIVI4,76330291,Casio Men's PAG240T-7CR Pathfinder Triple-Sensor Stainless Steel Watch with Titanium Bracelet,Watches,5,427,440,N,N,2013-01-06
US,12824067,R1EBC7D05N4A5T,B00ML5AGRY,976495788,Rolex Cosmograph Daytona Ice Blue Dial Platinum Mens Watch 116506IBLSO,Watches,5,372,435,N,N,2015-01-13
US,18385410,R2POJ0AVZAHU6C,B004YM2FV2,649128875,Bling Jewelry Plated Classic Round CZ Ladies Watch,Watches,5,389,426,N,Y,2011-08-08
US,18212311,R20CCL5WNH39MV,B008B9JWK6,529419245,Zenith Defy Xtreme Tourbillon Men's Automatic Watch 96-0528-4035-21-M528,Watches,5,369,422,N,N,2012-10-06
US,44978927,R11VX3YGMD2WZ7,B001L13UJA,386281429,IWC Men's IW504207 Portuguese Tourbillon Myst?re Watch,Watches,5,393,421,N,N,2010-07-06
US,51947692,R2PJKB0SHVU6CF,B00309HQPK,621635806,G-Rescue Solar Atomic Classic Color Watch,Watches,5,367,409,N,Y,2012-10-03
US,12297921,R2I9PZ5JPN36CO,B005JVP0LE,559701518,Casio Men's Sport Analog Dive Watch,Watches,5,391,409,N,Y,2012-01-08
US,14838578,R11VZYJ5PV4J07,B0002H7UKE,410993902,Rolex Mens Submariner 16610 Watch,Watches,4,361,406,N,N,2005-12-11
US,53079379,R1BSQPMN007U1F,B0007UA1FM,567026869,SeikoClock - QXE011ALH (Size: unisex-adult),Watches,5,386,391,N,N,2007-04-05
US,42525022,R2QJISLFNN9M7P,B0083XFHIG,567232341,Timex Men's Expedition Field Chronograph Watch,Watches,4,372,384,N,N,2013-12-28
