marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,51632887,R3B581VNKYCP16,B00HFPOXM4,114966677,Garmin Vivofit Fitness Band,Wireless,5,5854.0,6063.0,N,Y,2014-03-12
US,49452274,RT0KPKVSQD0HI,B00A17IAO0,979081054,UP by Jawbone Wristband,Wireless,5,4856.0,5029.0,N,Y,2012-11-27
US,44086587,RYBUAAD9JZ1VW,B001S2RCWI,835787812,Garmin Portable Friction Dashboard Mount,Wireless,5,4017.0,4048.0,N,Y,2009-06-14
US,49452274,R2Z0F95XGL71C6,B00GOGV314,190508754,"UP24 by Jawbone Wristband, Retail Packaging",Wireless,5,3914.0,4022.0,N,N,2013-12-08
US,18464808,RZ0J3PVMPU4CJ,B00DGEGJ02,212863722,"Wemo Wi-Fi enabled, Works with Amazon Alexa",Wireless,1,3667.0,3894.0,N,Y,2013-11-01
US,33924485,R3TIJPKMWLUP9Q,B0052YFYFK,97226392,LG Tone Wireless Bluetooth Stereo Headset - Retail Packaging,Wireless,5,3667.0,3726.0,N,Y,2011-09-11
US,52215168,R1YY5H7O6P9NYQ,B005DIBHA6,26681904,Garmin Nuvi 2595LMT,Wireless,4,3477.0,3593.0,N,N,2011-11-26
US,7154102,R1CJRR7AVOIFK,B00FDWN8RM,526049974,Misfit Shine Activity Monitor,Wireless,5,3378.0,3468.0,N,Y,2014-06-22
US,41501220,R3J523QBQS9DV8,B003B3P2CY,778294373,TomTom XXL 540TM 5-Inch Widescreen Portable GPS Navigator,Wireless,4,3293.0,3323.0,N,Y,2010-05-14
US,31864966,R9GESWE5H839D,B003ZX8B3W,164315283,Garmin nuvi 1490LMT 5-Inch Bluetooth Portable GPS Navigator with Lifetime Map & Traffic Updates,Wireless,4,3143.0,3193.0,N,Y,2010-12-05
US,51401593,RUJEHXIMDIOR,B00JRGOKQ8,889017363,iOttie Easy One Touch 2 Car Mount Universal Phone Holder for iPhone X 8/8s 7 7 Plus 6s Plus 6s 6 SE Samsung Galaxy S8 Plus S8 Edge S7 S6 Note 8 5,Wireless,1,3054.0,3186.0,N,Y,2015-02-27
US,12839561,R121GB30BXP2DT,B0015EWMX8,885667467,Garmin nüvi 255W 4.3-Inch Portable GPS Navigator (Discontinued by Manufacturer),Wireless,5,3068.0,3083.0,N,Y,2008-07-01
US,52857791,R37LQF99ZNANHP,B00UV3MCK2,291136638,"Mpow Selfie Stick Bluetooth, iSnap X Extendable Monopod with Built-in Bluetooth Remote Shutter for iPhone 8/7/7P/6s/6P/5S, Galaxy S5/S6/S7/S8, Google, LG V20, Huawei and More",Wireless,5,3005.0,3018.0,N,Y,2015-07-30
US,41113014,RK98HF01PB2OH,B001F0RPGG,49705334,Escort Passport Radar Detector,Wireless,4,2918.0,3004.0,N,N,2009-07-29
US,52810080,R2RNYAZ84JLRS2,B001U0O7SA,385810871,Garmin nüvi 1350 4.3-Inch Portable GPS Navigator,Wireless,2,2934.0,2977.0,N,Y,2009-07-25
US,25497213,R1A89VPUMM477F,B005SUHR6C,668258793,OtterBox Defender Series Case and Holster for iPhone 4/4S  - Blue/Navy,Wireless,5,2673.0,2759.0,N,Y,2012-02-16
US,20047667,R2WNP17XIAIDXX,B001UE6MJ8,6976241,moto radio,Wireless,5,2730.0,2751.0,N,Y,2009-09-23
US,35997480,R152DMXENPY51P,B00X528FNE,368168652,"Rexing V1 Car Dash Cam 2.4"" LCD FHD 1080p 170 Degree Wide Angle Dashboard Camera Recorder with Sony Exmor Video Sensor, G-Sensor, WDR, Loop Recording",Wireless,5,2548.0,2604.0,N,Y,2015-08-06
US,42489434,RH14N4CKT2SSX,B00HFPOXM4,114966677,Garmin Vivofit Fitness Band,Wireless,5,2433.0,2543.0,N,N,2014-03-11
US,35799875,R3NCL9VOEKHSRJ,B002771V48,378570501,Garmin nüvi 1490/1490T 5-Inch Bluetooth Portable GPS Navigator,Wireless,1,2437.0,2535.0,N,N,2010-07-09
US,48596720,R24L1ZTXIJYGFF,B005DIBH4M,383057537,Garmin nüvi 2400 Series,Wireless,5,2372.0,2495.0,N,N,2011-10-28
US,51828006,R1BSQFGYMS2DCH,B00622AG6S,461575321,PowerGen Dual USB Car Charger for Apple And Android,Wireless,4,2273.0,2354.0,N,Y,2012-01-29
US,30669680,R1NUE7R3GY091T,B00JM59JPG,676414542,KMASHI Power bank portable charger,Wireless,4,2275.0,2343.0,N,Y,2014-06-05
US,52981496,R1CQ5XM4QRKTM4,B000LRMS66,471222439,Garmin Portable friction mount no installation required,Wireless,4,2291.0,2325.0,N,Y,2007-06-01
US,37547919,RUBM3GIB0IQFY,B00JRGOKQ8,889017363,iOttie Easy One Touch 2 Car Mount Universal Phone Holder for iPhone X 8/8s 7 7 Plus 6s Plus 6s 6 SE Samsung Galaxy S8 Plus S8 Edge S7 S6 Note 8 5,Wireless,1,2171.0,2324.0,N,Y,2015-04-04
US,18577549,R2A9IL1CTI43SM,B0057ODOCA,728947659,Garmin nüvi 40/50 Series,Wireless,5,2186.0,2252.0,N,Y,2011-10-13
