user,total_pos_rating,total_neg_rating,total_pos_pur,total_neg_pur
0,64,10,65,9
1,246,45,205,86
2,294,53,260,87
3,342,62,315,89
4,650,147,546,251
5,850,189,691,348
6,861,190,694,357
7,924,207,741,390
8,1281,284,1017,548
9,1528,341,1211,658
10,1582,349,1272,659
11,1804,400,1443,761
12,1977,448,1592,833
13,1989,449,1602,836
14,2000,453,1610,843
15,2017,454,1615,856
16,2353,533,1887,999
17,2511,577,2011,1077
18,2742,632,2197,1177
19,2804,645,2266,1183
20,2873,660,2314,1219
21,3182,751,2562,1371
22,3184,752,2564,1372
23,3232,770,2623,1379
24,3274,777,2664,1387
25,3275,777,2665,1387
26,3277,777,2667,1387
27,3345,794,2731,1408
28,3578,841,2915,1504
29,3600,849,2925,1524
30,3892,922,3144,1670
31,4154,984,3390,1748
32,4469,1057,3629,1897
33,4509,1067,3667,1909
34,4547,1082,3719,1910
35,4679,1118,3826,1971
36,5038,1202,4100,2140
37,5152,1217,4215,2154
38,5220,1239,4264,2195
39,5323,1261,4338,2246
40,5492,1292,4468,2316
41,5539,1303,4525,2317
42,5720,1351,4674,2397
43,5727,1355,4682,2400
44,6067,1433,4952,2548
45,6110,1448,5009,2549
46,6115,1449,5012,2552
47,6132,1453,5024,2561
48,6138,1458,5029,2567
49,6187,1466,5059,2594
50,6234,1474,5114,2594
51,6282,1484,5149,2617
52,6448,1519,5282,2685
53,6505,1529,5346,2688
54,6543,1535,5372,2706
55,6576,1543,5394,2725
56,6599,1549,5409,2739
57,6747,1587,5530,2804
58,6762,1590,5543,2809
59,6768,1591,5548,2811
60,6879,1617,5627,2869
61,6919,1632,5681,2870
62,6925,1634,5686,2873
63,6959,1642,5718,2883
64,7084,1658,5842,2900
65,7325,1696,6024,2997
66,7665,1768,6272,3161
67,7693,1776,6293,3176
68,199,46,151,94
69,418,97,323,192
70,432,101,327,206
71,715,168,534,349
72,771,179,596,354
73,803,186,629,360
74,1158,271,901,528
75,1163,272,903,532
76,1215,280,961,534
77,1393,327,1100,620
78,1439,335,1154,620
79,1452,339,1158,633
80,1459,343,1168,634
81,1639,380,1301,718
82,1666,388,1330,724
83,1675,390,1337,728
84,1955,457,1573,839
85,2011,470,1632,849
86,2018,472,1635,855
87,2048,477,1657,868
88,2071,486,1661,896
89,2086,490,1677,899
90,2103,497,1687,913
91,2128,503,1716,915
92,2176,509,1769,916
93,2265,538,1832,971
94,2574,614,2069,1119
95,2815,665,2256,1224
96,2823,668,2260,1231
97,2862,677,2296,1243
98,2983,719,2388,1314
99,3022,731,2419,1334
100,3034,733,2426,1341
101,3062,741,2456,1347
102,3095,749,2490,1354
103,3311,804,2677,1438
104,3356,814,2731,1439
105,3548,860,2887,1521
106,3874,943,3132,1685
107,3993,968,3237,1724
108,4041,976,3292,1725
109,4065,985,3305,1745
110,4076,987,3310,1753
111,4314,1039,3496,1857
112,4339,1044,3512,1871
113,4665,1124,3781,2008
114,4678,1126,3795,2009
115,4702,1133,3823,2012
116,4907,1175,3989,2093
117,5203,1271,4223,2251
118,5332,1297,4316,2313
119,5424,1315,4378,2361
120,5486,1324,4441,2369
121,5498,1327,4453,2372
122,5545,1337,4508,2374
123,5770,1394,4782,2382
124,5972,1440,4933,2479
125,6163,1487,5082,2568
126,6450,1548,5331,2667
127,6636,1593,5471,2758
128,6877,1646,5650,2873
129,6894,1648,5658,2884
130,7025,1702,5763,2964
131,7047,1707,5789,2965
132,7389,1790,6046,3133
133,7394,1790,6048,3136
134,7453,1813,6109,3157
135,7456,1814,6110,3160
136,7472,1821,6120,3173
137,7488,1824,6125,3187
138,7534,1835,6167,3202
139,7571,1839,6190,3220
140,7582,1841,6195,3228
141,7913,1920,6459,3374
142,8002,1935,6514,3423
143,8170,1981,6656,3495
144,8219,1988,6711,3496
145,8233,1991,6717,3507
146,8270,2003,6766,3507
147,8313,2019,6823,3509
148,8456,2052,6929,3579
149,8603,2098,7045,3656
150,8893,2170,7275,3788
151,9170,2227,7485,3912
152,9215,2236,7530,3921
153,9381,2279,7667,3993
154,9382,2279,7668,3993
155,9415,2291,7712,3994
156,9728,2373,7981,4120
157,9857,2405,8094,4168
158,10173,2496,8324,4345
159,10200,2504,8354,4350
160,10208,2510,8362,4356
161,10223,2511,8376,4358
162,10243,2514,8391,4366
163,10516,2574,8640,4450
164,10525,2580,8642,4463
165,10603,2598,8730,4471
166,10873,2670,8937,4606
167,11056,2714,9072,4698
168,11104,2722,9127,4699
169,11164,2734,9178,4720
170,11473,2810,9422,4861
171,11477,2811,9422,4866
172,11509,2817,9454,4872
173,11519,2820,9460,4879
174,11520,2820,9461,4879
175,11735,2876,9636,4975
176,11754,2881,9639,4996
177,12015,2945,9845,5115
178,12047,2951,9869,5129
179,12166,2974,9991,5149
180,12356,3016,10138,5234
181,12411,3025,10198,5238
182,12437,3033,10216,5254
183,12445,3033,10222,5256
184,12455,3034,10230,5259
185,12472,3038,10237,5273
186,12555,3060,10295,5320
187,12752,3121,10451,5422
188,12764,3124,10460,5428
189,12764,3124,10460,5428
190,13103,3205,10740,5568
191,13118,3206,10747,5577
192,13431,3286,10985,5732
193,13460,3294,11015,5739
194,13465,3296,11017,5744
195,13587,3313,11140,5760
196,13588,3313,11141,5760
197,13640,3323,11185,5778
198,13777,3356,11300,5833
199,13797,3359,11307,5849
200,14097,3431,11568,5960
201,14426,3497,11813,6110
202,14475,3508,11844,6139
203,14522,3516,11899,6139
204,14617,3523,11984,6156
205,14921,3602,12232,6291
206,15066,3642,12357,6351
207,15149,3665,12436,6378
208,15474,3740,12672,6542
209,15686,3783,12833,6636
210,15841,3820,12957,6704
211,15848,3823,12965,6706
212,15910,3833,13030,6713
213,16040,3873,13123,6790
214,16046,3876,13125,6797
215,16081,3890,13173,6798
216,16160,3908,13248,6820
217,16170,3909,13256,6823
218,16506,3997,13538,6965
219,16584,4009,13608,6985
220,16609,4018,13621,7006
221,16658,4023,13671,7010
222,16707,4027,13720,7014
223,16807,4046,13792,7061
224,16867,4059,13848,7078
225,16878,4064,13852,7090
226,17198,4144,14096,7246
227,17247,4156,14145,7258
228,17543,4221,14380,7384
229,17591,4232,14437,7386
230,17595,4236,14438,7393
231,17767,4279,14608,7438
232,17817,4285,14659,7443
233,18059,4339,14841,7557
234,18458,4442,15129,7771
235,18471,4443,15137,7777
236,18477,4444,15138,7783
237,18512,4458,15186,7784
238,18518,4462,15189,7791
239,18840,4532,15443,7929
240,19189,4625,15707,8107
241,19241,4637,15747,8131
242,19571,4722,16024,8269
243,19618,4735,16074,8279
244,19902,4803,16307,8398
245,19902,4803,16307,8398
246,19945,4818,16363,8400
247,19948,4818,16363,8403
248,20228,4882,16572,8538
249,20234,4884,16578,8540
250,20297,4893,16638,8552
251,20309,4895,16640,8564
252,20334,4902,16653,8583
253,20361,4908,16683,8586
254,20714,4989,16961,8742
255,20730,4993,16974,8749
256,20749,4995,16977,8767
257,20812,5006,17043,8775
258,20815,5007,17043,8779
259,20824,5011,17050,8785
260,21131,5085,17311,8905
261,21235,5101,17372,8964
262,21320,5122,17427,9015
263,21699,5208,17700,9207
264,21736,5219,17718,9237
265,21741,5219,17719,9241
266,21775,5227,17739,9263
267,21787,5228,17742,9273
268,21942,5261,17862,9341
269,21975,5267,17894,9348
270,22323,5346,18159,9510
271,22342,5350,18175,9517
272,22396,5358,18236,9518
273,22398,5358,18237,9519
274,22460,5371,18307,9524
275,22762,5435,18546,9651
276,22762,5435,18546,9651
277,22928,5483,18679,9732
278,22944,5491,18692,9743
279,23241,5563,18931,9873
280,23241,5563,18931,9873
281,23263,5571,18941,9893
282,23417,5599,19057,9959
283,23578,5633,19190,10021
284,23923,5723,19458,10188
285,23970,5734,19514,10190
286,24115,5771,19658,10228
287,24362,5829,19843,10348
288,24600,5872,20019,10453
289,24960,5974,20301,10633
290,25141,6018,20439,10720
291,25197,6026,20498,10725
292,25515,6097,20745,10867
293,25521,6104,20750,10875
294,25528,6105,20755,10878
295,25573,6111,20802,10882
296,25809,6173,20981,11001
297,25951,6204,21120,11035
298,26276,6283,21382,11177
299,26278,6284,21384,11178
300,26434,6323,21563,11194
301,26496,6334,21627,11203
302,26641,6367,21739,11269
303,26779,6425,21851,11353
304,26852,6442,21921,11373
305,27092,6496,22120,11468
306,27109,6499,22134,11474
307,27182,6515,22204,11493
308,27271,6543,22275,11539
309,27282,6546,22282,11546
310,27309,6552,22311,11550
311,27318,6557,22320,11555
312,27330,6560,22328,11562
313,27655,6638,22576,11717
314,27669,6641,22582,11728
315,27846,6682,22719,11809
316,27886,6688,22759,11815
317,28148,6749,22960,11937
318,28197,6755,22992,11960
319,28535,6823,23254,12104
320,28539,6825,23259,12105
321,28551,6829,23262,12118
322,28648,6847,23337,12158
323,28684,6859,23366,12177
324,28685,6859,23367,12177
325,28686,6861,23367,12180
326,28711,6869,23385,12195
327,28732,6876,23408,12200
328,28759,6883,23428,12214
329,28773,6888,23430,12231
330,28798,6894,23459,12233
331,28951,6933,23567,12317
332,29001,6950,23625,12326
333,29220,7000,23789,12431
334,29380,7037,23910,12507
335,29400,7042,23917,12525
336,29440,7056,23970,12526
337,29487,7067,24027,12527
338,29493,7069,24031,12531
339,29494,7069,24031,12532
340,29859,7147,24305,12701
341,29906,7164,24361,12709
342,29927,7167,24378,12716
343,29928,7168,24379,12717
344,30105,7205,24521,12789
345,30398,7283,24769,12912
346,30444,7294,24825,12913
347,30577,7324,24938,12963
348,30587,7326,24944,12969
349,30606,7329,24953,12982
350,30650,7336,24997,12989
351,30677,7341,25017,13001
352,30683,7343,25022,13004
353,30813,7396,25125,13084
354,30828,7397,25130,13095
355,30847,7400,25136,13111
356,30896,7411,25194,13113
357,31198,7482,25463,13217
358,31368,7526,25599,13295
359,31393,7534,25616,13311
360,31425,7538,25647,13316
361,31579,7584,25772,13391
362,31583,7586,25773,13396
363,31772,7631,25915,13488
364,31946,7669,26058,13557
365,31956,7675,26065,13566
366,32106,7710,26176,13640
367,32123,7716,26176,13663
368,32134,7716,26180,13670
369,32298,7758,26306,13750
370,32306,7760,26312,13754
371,32601,7829,26539,13891
372,32648,7837,26594,13891
373,32956,7918,26837,14037
374,33043,7929,26919,14053
375,33043,7929,26919,14053
376,33056,7936,26923,14069
377,33056,7936,26923,14069
378,33093,7945,26958,14080
379,33104,7948,26966,14086
380,33143,7956,27006,14093
381,33305,7993,27136,14162
382,33311,7996,27137,14170
383,33550,8041,27323,14268
384,33711,8076,27453,14334
385,34000,8145,27670,14475
386,34000,8145,27670,14475
387,34190,8198,27820,14568
388,34200,8198,27822,14576
389,34333,8231,27936,14628
390,34381,8237,27985,14633
391,34381,8237,27985,14633
392,34607,8298,28148,14757
393,34761,8339,28267,14833
394,34789,8345,28296,14838
395,34789,8345,28296,14838
396,34996,8398,28449,14945
397,35004,8399,28453,14950
398,35306,8477,28712,15071
399,35429,8502,28805,15126
400,35476,8506,28852,15130
401,35781,8584,29095,15270
402,35829,8595,29152,15272
403,35859,8600,29160,15299
404,35859,8600,29160,15299
405,35990,8649,29260,15379
406,36034,8666,29317,15383
407,36047,8671,29325,15393
408,36051,8671,29325,15397
409,36064,8672,29338,15398
410,36071,8674,29345,15400
411,36108,8681,29376,15413
412,36260,8714,29482,15492
413,36294,8728,29505,15517
414,36632,8824,29754,15702
415,36632,8824,29754,15702
416,36958,8901,29994,15865
417,37302,8963,30246,16019
418,37314,8964,30253,16025
419,37328,8966,30262,16032
420,37416,8984,30318,16082
421,37425,8990,30328,16087
422,37436,8993,30331,16098
423,37486,8998,30382,16102
424,37499,8999,30392,16106
425,37547,9010,30450,16107
426,37594,9019,30488,16125
427,37765,9056,30615,16206
428,37826,9066,30680,16212
429,37899,9080,30730,16249
430,37909,9082,30733,16258
431,37918,9082,30742,16258
432,38217,9146,30973,16390
433,38436,9200,31133,16503
434,38638,9246,31282,16602
435,38783,9275,31386,16672
436,39128,9366,31671,16823
437,39140,9370,31675,16835
438,39188,9378,31731,16835
439,39209,9382,31742,16849
440,39218,9384,31745,16857
441,39243,9387,31760,16870
442,39474,9442,31925,16991
443,39481,9448,31926,17003
444,39638,9487,32050,17075
445,39642,9487,32054,17075
446,39648,9490,32057,17081
447,39707,9497,32114,17090
448,39870,9544,32253,17161
449,39995,9577,32340,17232
450,40008,9578,32348,17238
451,40239,9625,32525,17339
452,40307,9638,32588,17357
453,40480,9683,32731,17432
454,40550,9690,32783,17457
455,40711,9735,32909,17537
456,40713,9737,32910,17540
457,40725,9739,32918,17546
458,40759,9748,32953,17554
459,40782,9751,32962,17571
460,40784,9751,32963,17572
461,40987,9801,33212,17576
462,41183,9852,33377,17658
463,41467,9924,33618,17773
464,41490,9927,33622,17795
465,41540,9932,33672,17800
466,41589,9943,33730,17802
467,41613,9947,33744,17816
